Reaction,Dataset,Reference,Reference_in_kcal_mol,Stoichiometry
ISOC7_0090_C6H6_35,ISOC7,0.1410232094616972,88.4934,"1,C6H6_35,-1,C6H6_56"
ISOC7_0091_C6H6_36,ISOC7,0.1392023604590492,87.3508,"1,C6H6_36,-1,C6H6_56"
ISOC7_0092_C6H6_37,ISOC7,0.1370288474582513,85.9869,"1,C6H6_37,-1,C6H6_56"
ISOC7_0093_C6H6_38,ISOC7,0.1367965003686433,85.8411,"1,C6H6_38,-1,C6H6_56"
ISOC7_0094_C6H6_39,ISOC7,0.1338320829743444,83.9809,"1,C6H6_39,-1,C6H6_56"
ISOC7_0095_C6H6_40,ISOC7,0.1329181525498575,83.4074,"1,C6H6_40,-1,C6H6_56"
ISOC7_0096_C6H6_41,ISOC7,0.1308461519606373,82.1072,"1,C6H6_41,-1,C6H6_56"
ISOC7_0097_C6H6_42,ISOC7,0.1290519161019979,80.9813,"1,C6H6_42,-1,C6H6_56"
ISOC7_0098_C6H6_43,ISOC7,0.1281612522585006,80.4224,"1,C6H6_43,-1,C6H6_56"
ISOC7_0099_C6H6_44,ISOC7,0.1272055694763476,79.8227,"1,C6H6_44,-1,C6H6_56"
ISOC7_0100_C6H6_45,ISOC7,0.1266564144209367,79.4781,"1,C6H6_45,-1,C6H6_56"
ISOC7_0101_C6H6_46,ISOC7,0.1250183515031860,78.4502,"1,C6H6_46,-1,C6H6_56"
ISOC7_0102_C6H6_47,ISOC7,0.1244763676542444,78.1101,"1,C6H6_47,-1,C6H6_56"
ISOC7_0103_C6H6_48,ISOC7,0.1235920782164977,77.5552,"1,C6H6_48,-1,C6H6_56"
ISOC7_0104_C6H6_49,ISOC7,0.1228996583918429,77.1207,"1,C6H6_49,-1,C6H6_56"
ISOC7_0105_C6H6_50,ISOC7,0.1199097433745418,75.2445,"1,C6H6_50,-1,C6H6_56"
ISOC7_0106_C6H6_51,ISOC7,0.1136903950438621,71.3418,"1,C6H6_51,-1,C6H6_56"
ISOC7_0107_C6H6_52,ISOC7,0.1065464391590635,66.8589,"1,C6H6_52,-1,C6H6_56"
ISOC7_0108_C6H6_53,ISOC7,0.1059596751097242,66.4907,"1,C6H6_53,-1,C6H6_56"
ISOC7_0109_C6H6_54,ISOC7,0.1049000895138371,65.8258,"1,C6H6_54,-1,C6H6_56"
ISOC7_0110_C6H6_55,ISOC7,0.1020196549153018,64.0183,"1,C6H6_55,-1,C6H6_56"
ISOC7_0111_C6H6_56,ISOC7,0e-42,0,"1,C6H6_56,-1,C6H6_56"
ISOC7_0112_C6H8_1,ISOC7,0.1126665061201781,70.6993,"1,C6H8_1,-1,C6H8_90"
ISOC7_0113_C6H8_2,ISOC7,0.1077016408412091,67.5838,"1,C6H8_2,-1,C6H8_90"
ISOC7_0114_C6H8_3,ISOC7,0.1067964752246293,67.0158,"1,C6H8_3,-1,C6H8_90"
ISOC7_0115_C6H8_4,ISOC7,0.1035683167924009,64.9901,"1,C6H8_4,-1,C6H8_90"
ISOC7_0116_C6H8_5,ISOC7,0.1010064431212500,63.3825,"1,C6H8_5,-1,C6H8_90"
ISOC7_0117_C6H8_6,ISOC7,0.09822019036767930,61.6341,"1,C6H8_6,-1,C6H8_90"
ISOC7_0118_C6H8_7,ISOC7,0.09657862152676581,60.604,"1,C6H8_7,-1,C6H8_90"
ISOC7_0119_C6H8_8,ISOC7,0.09625671403636242,60.402,"1,C6H8_8,-1,C6H8_90"
ISOC7_0120_C6H8_9,ISOC7,0.09561544881785588,59.9996,"1,C6H8_9,-1,C6H8_90"
ISOC7_0121_C6H8_10,ISOC7,0.09533864024813772,59.8259,"1,C6H8_10,-1,C6H8_90"
ISOC7_0122_C6H8_11,ISOC7,0.09406248421687520,59.0251,"1,C6H8_11,-1,C6H8_90"
ISOC7_0123_C6H8_12,ISOC7,0.09324480731922185,58.512,"1,C6H8_12,-1,C6H8_90"
ISOC7_0124_C6H8_13,ISOC7,0.09249294616094305,58.0402,"1,C6H8_13,-1,C6H8_90"
ISOC7_0125_C6H8_14,ISOC7,0.09228275013131827,57.9083,"1,C6H8_14,-1,C6H8_90"
ISOC7_0126_C6H8_15,ISOC7,0.09223988225264574,57.8814,"1,C6H8_15,-1,C6H8_90"
ISOC7_0127_C6H8_16,ISOC7,0.09035162390918549,56.6965,"1,C6H8_16,-1,C6H8_90"
ISOC7_0128_C6H8_17,ISOC7,0.08921650160515415,55.9842,"1,C6H8_17,-1,C6H8_90"
ISOC7_0129_C6H8_18,ISOC7,0.08690147679669378,54.5315,"1,C6H8_18,-1,C6H8_90"
ISOC7_0130_C6H8_19,ISOC7,0.08657590402298382,54.3272,"1,C6H8_19,-1,C6H8_90"
ISOC7_0131_C6H8_20,ISOC7,0.08579041787437081,53.8343,"1,C6H8_20,-1,C6H8_90"
ISOC7_0132_C6H8_21,ISOC7,0.08573735094649738,53.801,"1,C6H8_21,-1,C6H8_90"
ISOC7_0133_C6H8_22,ISOC7,0.08558022184474603,53.7024,"1,C6H8_22,-1,C6H8_90"
ISOC7_0134_C6H8_23,ISOC7,0.08483473509221779,53.2346,"1,C6H8_23,-1,C6H8_90"
ISOC7_0135_C6H8_24,ISOC7,0.08451633352497722,53.0348,"1,C6H8_24,-1,C6H8_90"
ISOC7_0136_C6H8_25,ISOC7,0.08291030199612311,52.027,"1,C6H8_25,-1,C6H8_90"
ISOC7_0137_C6H8_26,ISOC7,0.08132769640840231,51.0339,"1,C6H8_26,-1,C6H8_90"
ISOC7_0138_C6H8_27,ISOC7,0.08034173519893412,50.4152,"1,C6H8_27,-1,C6H8_90"
ISOC7_0139_C6H8_28,ISOC7,0.08018970562178322,50.3198,"1,C6H8_28,-1,C6H8_90"
ISOC7_0140_C6H8_29,ISOC7,0.07920231017102115,49.7002,"1,C6H8_29,-1,C6H8_90"
ISOC7_0141_C6H8_30,ISOC7,0.07835164572360865,49.1664,"1,C6H8_30,-1,C6H8_90"
ISOC7_0142_C6H8_31,ISOC7,0.07775516070549980,48.7921,"1,C6H8_31,-1,C6H8_90"
ISOC7_0143_C6H8_32,ISOC7,0.07697764256407499,48.3042,"1,C6H8_32,-1,C6H8_90"
ISOC7_0144_C6H8_33,ISOC7,0.07652187255290981,48.0182,"1,C6H8_33,-1,C6H8_90"
ISOC7_0145_C6H8_34,ISOC7,0.07608506639885254,47.7441,"1,C6H8_34,-1,C6H8_90"
ISOC7_0146_C6H8_35,ISOC7,0.07563184614998758,47.4597,"1,C6H8_35,-1,C6H8_90"
ISOC7_0147_C6H8_36,ISOC7,0.07527201094536835,47.2339,"1,C6H8_36,-1,C6H8_90"
ISOC7_0148_C6H8_37,ISOC7,0.07497655723882980,47.0485,"1,C6H8_37,-1,C6H8_90"
ISOC7_0149_C6H8_38,ISOC7,0.07415664929916375,46.534,"1,C6H8_38,-1,C6H8_90"
ISOC7_0150_C6H8_39,ISOC7,0.07273627233779476,45.6427,"1,C6H8_39,-1,C6H8_90"
ISOC7_0151_C6H8_40,ISOC7,0.07210329384676395,45.2455,"1,C6H8_40,-1,C6H8_90"
ISOC7_0152_C6H8_41,ISOC7,0.06997966057096420,43.9129,"1,C6H8_41,-1,C6H8_90"
ISOC7_0153_C6H8_42,ISOC7,0.06855896488930768,43.0214,"1,C6H8_42,-1,C6H8_90"
ISOC7_0154_C6H8_43,ISOC7,0.06677062535598749,41.8992,"1,C6H8_43,-1,C6H8_90"
ISOC7_0155_C6H8_44,ISOC7,0.06544267727800165,41.0659,"1,C6H8_44,-1,C6H8_90"
ISOC7_0156_C6H8_45,ISOC7,0.06536538760827608,41.0174,"1,C6H8_45,-1,C6H8_90"
ISOC7_0157_C6H8_46,ISOC7,0.06517192439374653,40.896,"1,C6H8_46,-1,C6H8_90"
ISOC7_0158_C6H8_47,ISOC7,0.06495933796196528,40.7626,"1,C6H8_47,-1,C6H8_90"
ISOC7_0159_C6H8_48,ISOC7,0.06461464197100364,40.5463,"1,C6H8_48,-1,C6H8_90"
ISOC7_0160_C6H8_49,ISOC7,0.06443615860998790,40.4343,"1,C6H8_49,-1,C6H8_90"
ISOC7_0161_C6H8_50,ISOC7,0.06429528424290048,40.3459,"1,C6H8_50,-1,C6H8_90"
ISOC7_0162_C6H8_51,ISOC7,0.06130552858574311,38.4698,"1,C6H8_51,-1,C6H8_90"
ISOC7_0163_C6H8_52,ISOC7,0.06075892329263241,38.1268,"1,C6H8_52,-1,C6H8_90"
ISOC7_0164_C6H8_53,ISOC7,0.06005152361446379,37.6829,"1,C6H8_53,-1,C6H8_90"
ISOC7_0165_C6H8_54,ISOC7,0.05988116762078001,37.576,"1,C6H8_54,-1,C6H8_90"
ISOC7_0166_C6H8_55,ISOC7,0.05960499649163691,37.4027,"1,C6H8_55,-1,C6H8_90"
ISOC7_0167_C6H8_56,ISOC7,0.05949583479315854,37.3342,"1,C6H8_56,-1,C6H8_90"
ISOC7_0168_C6H8_57,ISOC7,0.05763227727198172,36.1648,"1,C6H8_57,-1,C6H8_90"
ISOC7_0169_C6H8_58,ISOC7,0.05718399718757344,35.8835,"1,C6H8_58,-1,C6H8_90"
ISOC7_0170_C6H8_59,ISOC7,0.05543215112717522,34.7842,"1,C6H8_59,-1,C6H8_90"
ISOC7_0171_C6H8_60,ISOC7,0.05411472081867781,33.9575,"1,C6H8_60,-1,C6H8_90"
ISOC7_0172_C6H8_61,ISOC7,0.05371058349409217,33.7039,"1,C6H8_61,-1,C6H8_90"
ISOC7_0173_C6H8_62,ISOC7,0.05354500830472132,33.6,"1,C6H8_62,-1,C6H8_90"
ISOC7_0174_C6H8_63,ISOC7,0.05311776375928990,33.3319,"1,C6H8_63,-1,C6H8_90"
ISOC7_0175_C6H8_64,ISOC7,0.05131093844929309,32.1981,"1,C6H8_64,-1,C6H8_90"
ISOC7_0176_C6H8_65,ISOC7,0.05127332945536477,32.1745,"1,C6H8_65,-1,C6H8_90"
ISOC7_0177_C6H8_66,ISOC7,0.05094472883892330,31.9683,"1,C6H8_66,-1,C6H8_90"
ISOC7_0178_C6H8_67,ISOC7,0.04987829075685426,31.2991,"1,C6H8_67,-1,C6H8_90"
ISOC7_0179_C6H8_68,ISOC7,0.04965693951716599,31.1602,"1,C6H8_68,-1,C6H8_90"
ISOC7_0180_C6H8_69,ISOC7,0.04874970221871725,30.5909,"1,C6H8_69,-1,C6H8_90"
ISOC7_0181_C6H8_70,ISOC7,0.04821807677912037,30.2573,"1,C6H8_70,-1,C6H8_90"
ISOC7_0182_C6H8_71,ISOC7,0.04810971188136082,30.1893,"1,C6H8_71,-1,C6H8_90"
ISOC7_0183_C6H8_72,ISOC7,0.04753760896524787,29.8303,"1,C6H8_72,-1,C6H8_90"
ISOC7_0184_C6H8_73,ISOC7,0.04704422996015437,29.5207,"1,C6H8_73,-1,C6H8_90"
ISOC7_0185_C6H8_74,ISOC7,0.04691371400241161,29.4388,"1,C6H8_74,-1,C6H8_90"
ISOC7_0186_C6H8_75,ISOC7,0.04625539724852231,29.0257,"1,C6H8_75,-1,C6H8_90"
ISOC7_0187_C6H8_76,ISOC7,0.04588042283024550,28.7904,"1,C6H8_76,-1,C6H8_90"
ISOC7_0188_C6H8_77,ISOC7,0.04420315731712886,27.7379,"1,C6H8_77,-1,C6H8_90"
ISOC7_0189_C6H8_78,ISOC7,0.04341926476995349,27.246,"1,C6H8_78,-1,C6H8_90"
ISOC7_0190_C6H8_79,ISOC7,0.04251840187725530,26.6807,"1,C6H8_79,-1,C6H8_90"
ISOC7_0191_C6H8_80,ISOC7,0.04241354290265856,26.6149,"1,C6H8_80,-1,C6H8_90"
ISOC7_0192_C6H8_81,ISOC7,0.03569125395825957,22.3966,"1,C6H8_81,-1,C6H8_90"
ISOC7_0193_C6H8_82,ISOC7,0.02800467678394431,17.5732,"1,C6H8_82,-1,C6H8_90"
ISOC7_0194_C6H8_83,ISOC7,0.02037244141865259,12.7839,"1,C6H8_83,-1,C6H8_90"
ISOC7_0195_C6H8_84,ISOC7,0.01097768286333046,6.8886,"1,C6H8_84,-1,C6H8_90"
ISOC7_0196_C6H8_85,ISOC7,0.004509892068522659,2.83,"1,C6H8_85,-1,C6H8_90"
ISOC7_0197_C6H8_86,ISOC7,0.004381925873080126,2.7497,"1,C6H8_86,-1,C6H8_90"
ISOC7_0198_C6H8_87,ISOC7,0.002332713784418187,1.4638,"1,C6H8_87,-1,C6H8_90"
ISOC7_0199_C6H8_88,ISOC7,0.002305303839690770,1.4466,"1,C6H8_88,-1,C6H8_90"
ISOC7_0200_C6H8_89,ISOC7,0.0003936195550972074,0.247,"1,C6H8_89,-1,C6H8_90"
ISOC7_0201_C6H8_90,ISOC7,0e-42,0,"1,C6H8_90,-1,C6H8_90"
ISOC7_0202_C6H10_1,ISOC7,0.08553193572118552,53.6721,"1,C6H10_1,-1,C6H10_76"
ISOC7_0203_C6H10_2,ISOC7,0.08296591868629676,52.0619,"1,C6H10_2,-1,C6H10_76"
ISOC7_0204_C6H10_3,ISOC7,0.08181725077004548,51.3411,"1,C6H10_3,-1,C6H10_76"
ISOC7_0205_C6H10_4,ISOC7,0.08006444854878467,50.2412,"1,C6H10_4,-1,C6H10_76"
ISOC7_0206_C6H10_5,ISOC7,0.07804806464973813,48.9759,"1,C6H10_5,-1,C6H10_76"
ISOC7_0207_C6H10_6,ISOC7,0.07720058740520090,48.4441,"1,C6H10_6,-1,C6H10_76"
ISOC7_0208_C6H10_7,ISOC7,0.07718720115312472,48.4357,"1,C6H10_7,-1,C6H10_76"
ISOC7_0209_C6H10_8,ISOC7,0.07374326908623980,46.2746,"1,C6H10_8,-1,C6H10_76"
ISOC7_0210_C6H10_9,ISOC7,0.07250950285321852,45.5004,"1,C6H10_9,-1,C6H10_76"
ISOC7_0211_C6H10_10,ISOC7,0.06993982053502318,43.8879,"1,C6H10_10,-1,C6H10_76"
ISOC7_0212_C6H10_11,ISOC7,0.06942540599095283,43.5651,"1,C6H10_11,-1,C6H10_76"
ISOC7_0213_C6H10_12,ISOC7,0.06795212146185417,42.6406,"1,C6H10_12,-1,C6H10_76"
ISOC7_0214_C6H10_13,ISOC7,0.06590067833117953,41.3533,"1,C6H10_13,-1,C6H10_76"
ISOC7_0215_C6H10_14,ISOC7,0.06501447657170764,40.7972,"1,C6H10_14,-1,C6H10_76"
ISOC7_0216_C6H10_15,ISOC7,0.06343617370786848,39.8068,"1,C6H10_15,-1,C6H10_76"
ISOC7_0217_C6H10_16,ISOC7,0.06252989257028232,39.2381,"1,C6H10_16,-1,C6H10_76"
ISOC7_0218_C6H10_17,ISOC7,0.05862285992561906,36.7864,"1,C6H10_17,-1,C6H10_76"
ISOC7_0219_C6H10_18,ISOC7,0.05856182499055743,36.7481,"1,C6H10_18,-1,C6H10_76"
ISOC7_0220_C6H10_19,ISOC7,0.05797522030136196,36.38,"1,C6H10_19,-1,C6H10_76"
ISOC7_0221_C6H10_20,ISOC7,0.05656360814789999,35.4942,"1,C6H10_20,-1,C6H10_76"
ISOC7_0222_C6H10_21,ISOC7,0.05534609664954264,34.7302,"1,C6H10_21,-1,C6H10_76"
ISOC7_0223_C6H10_22,ISOC7,0.05483933139237295,34.4122,"1,C6H10_22,-1,C6H10_76"
ISOC7_0224_C6H10_23,ISOC7,0.05386691579512471,33.802,"1,C6H10_23,-1,C6H10_76"
ISOC7_0225_C6H10_24,ISOC7,0.05272557844548657,33.0858,"1,C6H10_24,-1,C6H10_76"
ISOC7_0226_C6H10_25,ISOC7,0.05231586351586919,32.8287,"1,C6H10_25,-1,C6H10_76"
ISOC7_0227_C6H10_26,ISOC7,0.05168702838857625,32.4341,"1,C6H10_26,-1,C6H10_76"
ISOC7_0228_C6H10_27,ISOC7,0.05108114112198532,32.0539,"1,C6H10_27,-1,C6H10_76"
ISOC7_0229_C6H10_28,ISOC7,0.05103253627813729,32.0234,"1,C6H10_28,-1,C6H10_76"
ISOC7_0230_C6H10_29,ISOC7,0.05102950843540577,32.0215,"1,C6H10_29,-1,C6H10_76"
ISOC7_0231_C6H10_30,ISOC7,0.05024386292664900,31.5285,"1,C6H10_30,-1,C6H10_76"
ISOC7_0232_C6H10_31,ISOC7,0.04991494358991999,31.3221,"1,C6H10_31,-1,C6H10_76"
ISOC7_0233_C6H10_32,ISOC7,0.04904451848468074,30.7759,"1,C6H10_32,-1,C6H10_76"
ISOC7_0234_C6H10_33,ISOC7,0.04881758963996073,30.6335,"1,C6H10_33,-1,C6H10_76"
ISOC7_0235_C6H10_34,ISOC7,0.04851480536680904,30.4435,"1,C6H10_34,-1,C6H10_76"
ISOC7_0236_C6H10_35,ISOC7,0.04817855546346689,30.2325,"1,C6H10_35,-1,C6H10_76"
ISOC7_0237_C6H10_36,ISOC7,0.04745665401221573,29.7795,"1,C6H10_36,-1,C6H10_76"
ISOC7_0238_C6H10_37,ISOC7,0.04654989479419828,29.2105,"1,C6H10_37,-1,C6H10_76"
ISOC7_0239_C6H10_38,ISOC7,0.04583962663344190,28.7648,"1,C6H10_38,-1,C6H10_76"
ISOC7_0240_C6H10_39,ISOC7,0.04543548930885627,28.5112,"1,C6H10_39,-1,C6H10_76"
ISOC7_0241_C6H10_40,ISOC7,0.04511549414017805,28.3104,"1,C6H10_40,-1,C6H10_76"
ISOC7_0242_C6H10_41,ISOC7,0.04484251021391023,28.1391,"1,C6H10_41,-1,C6H10_76"
ISOC7_0243_C6H10_42,ISOC7,0.04436984802750606,27.8425,"1,C6H10_42,-1,C6H10_76"
ISOC7_0244_C6H10_43,ISOC7,0.04411694347935251,27.6838,"1,C6H10_43,-1,C6H10_76"
ISOC7_0245_C6H10_44,ISOC7,0.04358723036148080,27.3514,"1,C6H10_44,-1,C6H10_76"
