Reaction,Dataset,Reference,Reference_in_kcal_mol,TAE_in_kcal_mol,Number_of_atoms,Stoichiometry,Subset
TAE-PTComp_0016_s_li_16,TAE-PTComp,0.0747419563414743,46.9012857142857,328.309,7,"-0.142857142857143,s_li_16,0.142857142857143,H,0.714285714285714,Li,0.142857142857143,C",s_li
TAE-PTComp_0017_s_li_17,TAE-PTComp,0.120711391297735,75.7475416666667,1817.941,24,"-0.0416666666666667,s_li_17,0.5,H,0.25,Li,0.25,N",s_li
TAE-PTComp_0018_s_li_18,TAE-PTComp,0.0367245451304257,23.045,184.36,8,"-0.125,s_li_18,1,Li",s_li
TAE-PTComp_0019_s_li_19,TAE-PTComp,0.148087405594542,92.92625,371.705,4,"-0.25,s_li_19,0.25,H,0.25,Li,0.5,C",s_li
TAE-PTComp_0020_s_li_20,TAE-PTComp,0.113585536069265,71.276,356.38,5,"-0.2,s_li_20,0.6,H,0.2,Li,0.2,C",s_li
TAE-PTComp_0021_s_li_21,TAE-PTComp,0.106924879660467,67.096375,536.771,8,"-0.125,s_li_21,0.5,Li,0.5,Cl",s_li
TAE-PTComp_0022_s_li_22,TAE-PTComp,0.150835757193921,94.6508666666667,1419.763,15,"-0.0666666666666667,s_li_22,0.533333333333333,H,0.0666666666666667,Li,0.266666666666667,C,0.0666666666666667,O,0.0666666666666667,F",s_li
TAE-PTComp_0023_s_li_23,TAE-PTComp,0.0982095132380471,61.6274,308.137,5,"-0.2,s_li_23,0.6,H,0.2,Li,0.2,O",s_li
TAE-PTComp_0024_s_li_24,TAE-PTComp,0.0933972618567561,58.6076666666667,175.823,3,"-0.333333333333333,s_li_24,0.666666666666667,Li,0.333333333333333,O",s_li
TAE-PTComp_0025_s_li_25,TAE-PTComp,0.120675468865328,75.725,454.35,6,"-0.166666666666667,s_li_25,0.5,H,0.166666666666667,Li,0.166666666666667,C,0.166666666666667,S",s_li
TAE-PTComp_0026_s_li_26,TAE-PTComp,0.106984938514648,67.1340625,1074.145,16,"-0.0625,s_li_26,0.3125,H,0.25,Li,0.0625,C,0.0625,N,0.125,O,0.0625,F,0.0625,S,0.0625,Cl",s_li
TAE-PTComp_0027_s_li_27,TAE-PTComp,0.175085891284101,109.868055555556,1977.625,18,"-0.0555555555555556,s_li_27,0.222222222222222,H,0.222222222222222,Li,0.555555555555556,C",s_li
TAE-PTComp_0028_s_li_28,TAE-PTComp,0.173488881310053,108.865916666667,1306.391,12,"-0.0833333333333333,s_li_28,0.416666666666667,H,0.0833333333333333,Li,0.5,C",s_li
TAE-PTComp_0029_s_li_29,TAE-PTComp,0.1644443697907,103.1904,515.952,5,"-0.2,s_li_29,0.2,H,0.2,Li,0.4,F",s_li
TAE-PTComp_0030_s_li_30,TAE-PTComp,0.186680719322846,117.14392,2928.598,25,"-0.04,s_li_30,0.48,H,0.04,Li,0.04,C_cation,0.44,C",s_li
TAE-PTComp_0031_s_li_31,TAE-PTComp,0.192522192880632,120.8095,483.238,4,"-0.25,s_li_31,0.25,H,0.25,Li,0.25,C_cation,0.25,N",s_li
TAE-PTComp_0032_s_li_32,TAE-PTComp,0.135470066212023,85.00875,340.035,4,"-0.25,s_li_32,0.75,Li,0.25,S_cation",s_li
TAE-PTComp_0033_s_li_33,TAE-PTComp,0.108812887246054,68.2811176470588,1160.779,17,"-0.0588235294117647,s_li_33,0.705882352941177,H,0.0588235294117647,Li,0.0588235294117647,P_cation,0.176470588235294,P",s_li
TAE-PTComp_0034_s_li_34,TAE-PTComp,0.188006590406958,117.975916666667,1415.711,12,"-0.0833333333333333,s_li_34,0.416666666666667,H,0.0833333333333333,Li,0.0833333333333333,C_cation,0.333333333333333,C,0.0833333333333333,N",s_li
TAE-PTComp_0035_s_li_35,TAE-PTComp,0.112751224424298,70.7524615384615,919.782,13,"-0.0769230769230769,s_li_35,0.615384615384615,H,0.0769230769230769,Li,0.0769230769230769,S_cation,0.230769230769231,S",s_li
TAE-PTComp_0036_s_li_36,TAE-PTComp,0.1520194843418,95.3936666666667,858.543,9,"-0.111111111111111,s_li_36,0.555555555555556,H,0.111111111111111,Li,0.222222222222222,N",s_li
TAE-PTComp_0037_s_be_1,TAE-PTComp,0.0861863481515526,54.08275,216.331,4,"-0.25,s_be_1,0.25,H_anion,0.5,H,0.25,Be",s_be
TAE-PTComp_0038_s_be_2,TAE-PTComp,0.103057806571853,64.66975,517.358,8,"-0.125,s_be_2,0.125,H_anion,0.625,H,0.125,Be,0.125,N",s_be
TAE-PTComp_0039_s_be_3,TAE-PTComp,0.124234512076059,77.9583333333333,467.75,6,"-0.166666666666667,s_be_3,0.333333333333333,H,0.333333333333333,Be,0.166666666666667,O,0.166666666666667,F_anion",s_be
TAE-PTComp_0040_s_be_4,TAE-PTComp,0.163515821694844,102.607727272727,1128.685,11,"-0.0909090909090909,s_be_4,0.363636363636364,H,0.0909090909090909,Be,0.181818181818182,B,0.272727272727273,C,0.0909090909090909,O",s_be
TAE-PTComp_0041_s_be_5,TAE-PTComp,0.158581124282325,99.5111578947368,1890.712,19,"-0.0526315789473684,s_be_5,0.263157894736842,H,0.0526315789473684,Be,0.315789473684211,C,0.368421052631579,F",s_be
TAE-PTComp_0042_s_be_6,TAE-PTComp,0.126348955583568,79.2851666666667,475.711,6,"-0.166666666666667,s_be_6,0.333333333333333,Be,0.666666666666667,Cl",s_be
TAE-PTComp_0043_s_be_7,TAE-PTComp,0.173895116876531,109.120833333333,654.725,6,"-0.166666666666667,s_be_7,0.333333333333333,Be,0.666666666666667,F",s_be
TAE-PTComp_0044_s_be_8,TAE-PTComp,0.0913922456479647,57.3495,688.194,12,"-0.0833333333333333,s_be_8,0.666666666666667,H,0.333333333333333,Be",s_be
TAE-PTComp_0045_s_be_9,TAE-PTComp,0.16929446764378,106.233882352941,1805.976,17,"-0.0588235294117647,s_be_9,0.294117647058824,H,0.235294117647059,Be,0.117647058823529,C,0.0588235294117647,N,0.294117647058824,O",s_be
TAE-PTComp_0046_s_be_10,TAE-PTComp,0.136607897638499,85.72275,685.782,8,"-0.125,s_be_10,0.5,Be,0.5,S",s_be
TAE-PTComp_0047_s_be_11,TAE-PTComp,0.167526738208329,105.124615384615,1366.62,13,"-0.0769230769230769,s_be_11,0.461538461538462,H,0.0769230769230769,Be,0.461538461538462,C",s_be
TAE-PTComp_0048_s_be_12,TAE-PTComp,0.119623691916485,75.065,225.195,3,"-0.333333333333333,s_be_12,0.333333333333333,Be,0.666666666666667,Cl",s_be
TAE-PTComp_0049_s_be_13,TAE-PTComp,0.176813114937525,110.951904761905,2329.99,21,"-0.0476190476190476,s_be_13,0.476190476190476,H,0.0476190476190476,Be,0.476190476190476,C",s_be
TAE-PTComp_0050_s_be_14,TAE-PTComp,0.106295340692539,66.7013333333333,400.208,6,"-0.166666666666667,s_be_14,0.666666666666667,H,0.166666666666667,Be,0.166666666666667,O",s_be
TAE-PTComp_0051_s_be_15,TAE-PTComp,0.0906233329543032,56.867,398.069,7,"-0.142857142857143,s_be_15,0.714285714285714,H,0.142857142857143,Be,0.142857142857143,P",s_be
TAE-PTComp_0052_s_be_16,TAE-PTComp,0.123200795943509,77.3096666666667,231.929,3,"-0.333333333333333,s_be_16,0.333333333333333,H,0.333333333333333,Be,0.333333333333333,F",s_be
TAE-PTComp_0053_s_be_17,TAE-PTComp,0.134872509939615,84.6337777777778,761.704,9,"-0.111111111111111,s_be_17,0.666666666666667,H,0.111111111111111,Be,0.222222222222222,C",s_be
TAE-PTComp_0054_s_be_18,TAE-PTComp,0.128429933460887,80.591,564.137,7,"-0.142857142857143,s_be_18,0.571428571428571,H,0.142857142857143,Be,0.285714285714286,N",s_be
TAE-PTComp_0055_s_be_19,TAE-PTComp,0.0861724041389732,54.074,108.148,2,"-0.5,s_be_19,0.5,Be,0.5,O",s_be
TAE-PTComp_0056_s_be_20,TAE-PTComp,0.162299034560777,101.844181818182,3360.858,33,"-0.0303030303030303,s_be_20,0.363636363636364,H,0.272727272727273,Be,0.0909090909090909,C,0.272727272727273,O",s_be
TAE-PTComp_0057_s_be_21,TAE-PTComp,0.197456176747958,123.905621621622,4584.508,37,"-0.027027027027027,s_be_21,0.324324324324324,H,0.027027027027027,Be,0.540540540540541,C,0.108108108108108,N",s_be
TAE-PTComp_0058_s_be_22,TAE-PTComp,0.132762887478879,83.3099696969697,2749.229,33,"-0.0303030303030303,s_be_22,0.363636363636364,H,0.272727272727273,Be,0.0909090909090909,C,0.272727272727273,S",s_be
TAE-PTComp_0059_s_be_23,TAE-PTComp,0.113137335664929,70.99475,567.958,8,"-0.125,s_be_23,0.75,H,0.125,Be,0.125,C",s_be
TAE-PTComp_0060_s_be_24,TAE-PTComp,0.136739312842767,85.8052142857143,1201.273,14,"-0.0714285714285714,s_be_24,0.285714285714286,H,0.285714285714286,Be,0.0714285714285714,C,0.0714285714285714,N,0.142857142857143,O,0.0714285714285714,F,0.0714285714285714,S",s_be
TAE-PTComp_0061_s_be_25,TAE-PTComp,0.133761227470423,83.9364375,1342.983,16,"-0.0625,s_be_25,0.1875,H,0.25,Be,0.1875,C,0.0625,O,0.0625,F,0.0625,P,0.125,S,0.0625,Cl",s_be
TAE-PTComp_0062_s_be_26,TAE-PTComp,0.122548747355274,76.9005,1076.607,14,"-0.0714285714285714,s_be_26,0.5,H,0.285714285714286,Be,0.0714285714285714,C,0.0714285714285714,N,0.0714285714285714,O",s_be
TAE-PTComp_0063_s_be_27,TAE-PTComp,0.153826044051557,96.5273,965.273,10,"-0.1,s_be_27,0.3,H,0.1,Be_cation,0.3,C,0.2,N,0.1,O",s_be
TAE-PTComp_0064_s_be_28,TAE-PTComp,0.0318983231765314,20.0165,40.033,2,"-0.5,s_be_28,0.5,Be,0.5,B_cation",s_be
TAE-PTComp_0065_s_be_29,TAE-PTComp,0.114958423707793,72.1375,144.275,2,"-0.5,s_be_29,0.5,Be_cation,0.5,F",s_be
TAE-PTComp_0066_s_be_30,TAE-PTComp,0.142284610618472,89.2849411764706,1517.844,17,"-0.0588235294117647,s_be_30,0.352941176470588,H,0.0588235294117647,Be_cation,0.176470588235294,Be,0.0588235294117647,C,0.0588235294117647,N,0.117647058823529,O,0.0588235294117647,F,0.0588235294117647,S,0.0588235294117647,Cl",s_be
TAE-PTComp_0067_s_na_1,TAE-PTComp,0.119644843353749,75.0782727272727,825.861,11,"-0.0909090909090909,s_na_1,0.363636363636364,H,0.272727272727273,C,0.181818181818182,Na,0.0909090909090909,Si_anion,0.0909090909090909,P",s_na
TAE-PTComp_0068_s_na_2,TAE-PTComp,0.109586158908354,68.7663529411765,1169.028,17,"-0.0588235294117647,s_na_2,0.0588235294117647,H_anion,0.647058823529412,H,0.235294117647059,B,0.0588235294117647,Na",s_na
TAE-PTComp_0069_s_na_3,TAE-PTComp,0.0528443548726387,33.1603333333333,99.481,3,"-0.333333333333333,s_na_3,0.333333333333333,H_anion,0.333333333333333,H,0.333333333333333,Na",s_na
TAE-PTComp_0070_s_na_4,TAE-PTComp,0.172618361347585,108.319657142857,3791.188,35,"-0.0285714285714286,s_na_4,0.285714285714286,H,0.342857142857143,C,0.114285714285714,N,0.142857142857143,O,0.0571428571428571,Na,0.0571428571428571,S",s_na
TAE-PTComp_0071_s_na_5,TAE-PTComp,0.138744177279993,87.0632857142857,1218.886,14,"-0.0714285714285714,s_na_5,0.642857142857143,H,0.285714285714286,C,0.0714285714285714,Na",s_na
TAE-PTComp_0072_s_na_6,TAE-PTComp,0.10800645126476,67.7750714285714,948.851,14,"-0.0714285714285714,s_na_6,0.571428571428571,H,0.0714285714285714,C,0.0714285714285714,N,0.0714285714285714,O,0.214285714285714,Na",s_na
TAE-PTComp_0073_s_na_7,TAE-PTComp,0.112707461677125,70.725,1131.6,16,"-0.0625,s_na_7,0.4375,H,0.125,C,0.0625,N,0.125,O,0.25,Na",s_na
TAE-PTComp_0074_s_na_8,TAE-PTComp,0.156581434057286,98.2563333333333,589.538,6,"-0.166666666666667,s_na_8,0.166666666666667,C,0.5,O,0.333333333333333,Na",s_na
TAE-PTComp_0075_s_na_9,TAE-PTComp,0.0625616052388914,39.258,117.774,3,"-0.333333333333333,s_na_9,0.333333333333333,O,0.666666666666667,Na",s_na
TAE-PTComp_0076_s_na_10,TAE-PTComp,0.081629843240979,51.2235,204.894,4,"-0.25,s_na_10,0.5,O,0.5,Na",s_na
TAE-PTComp_0077_s_na_11,TAE-PTComp,0.157921387266102,99.0971666666667,2378.332,24,"-0.0416666666666667,s_na_11,0.333333333333333,H,0.333333333333333,C,0.166666666666667,N,0.166666666666667,Na",s_na
TAE-PTComp_0078_s_na_12,TAE-PTComp,0.143006980776029,89.7382352941176,1525.55,17,"-0.0588235294117647,s_na_12,0.294117647058824,H,0.117647058823529,C,0.0588235294117647,N,0.0588235294117647,O,0.235294117647059,F,0.235294117647059,Na",s_na
TAE-PTComp_0079_s_na_13,TAE-PTComp,0.114198389650712,71.6605714285714,1003.248,14,"-0.0714285714285714,s_na_13,0.428571428571429,H,0.142857142857143,C,0.285714285714286,Na,0.142857142857143,Cl",s_na
TAE-PTComp_0080_s_na_14,TAE-PTComp,0.108628837997664,68.165625,1090.65,16,"-0.0625,s_na_14,0.5,H,0.25,N,0.25,Na",s_na
TAE-PTComp_0081_s_na_15,TAE-PTComp,0.0247500247278151,15.530875,124.247,8,"-0.125,s_na_15,1,Na",s_na
TAE-PTComp_0082_s_na_16,TAE-PTComp,0.141552046098778,88.82525,355.301,4,"-0.25,s_na_16,0.25,H,0.5,C,0.25,Na",s_na
TAE-PTComp_0083_s_na_17,TAE-PTComp,0.0876691942892771,55.01325,220.053,4,"-0.25,s_na_17,0.5,Na,0.5,Cl",s_na
TAE-PTComp_0084_s_na_18,TAE-PTComp,0.0946153045555927,59.372,474.976,8,"-0.125,s_na_18,0.5,Na,0.5,Cl",s_na
TAE-PTComp_0085_s_na_19,TAE-PTComp,0.166952640504403,104.764363636364,1152.408,11,"-0.0909090909090909,s_na_19,0.454545454545455,H,0.454545454545455,C,0.0909090909090909,Na",s_na
TAE-PTComp_0086_s_na_20,TAE-PTComp,0.0917691323879667,57.586,115.172,2,"-0.5,s_na_20,0.5,F,0.5,Na",s_na
TAE-PTComp_0087_s_na_21,TAE-PTComp,0.163243067495537,102.436571428571,717.056,7,"-0.142857142857143,s_na_21,0.571428571428571,H,0.142857142857143,C_cation,0.142857142857143,C,0.142857142857143,Na",s_na
TAE-PTComp_0088_s_na_22,TAE-PTComp,0.160951696285558,100.998714285714,706.991,7,"-0.142857142857143,s_na_22,0.428571428571429,H,0.285714285714286,O,0.142857142857143,Na",s_na
TAE-PTComp_0089_s_na_23,TAE-PTComp,0.162612684298276,102.041,510.205,5,"-0.2,s_na_23,0.2,H,0.4,F,0.2,Na",s_na
TAE-PTComp_0090_s_na_24,TAE-PTComp,0.128820834519414,80.8362941176471,1374.217,17,"-0.0588235294117647,s_na_24,0.294117647058824,H,0.0588235294117647,C,0.0588235294117647,N,0.117647058823529,O,0.0588235294117647,F,0.294117647058824,Na,0.0588235294117647,S_cation,0.0588235294117647,Cl",s_na
TAE-PTComp_0091_s_na_25,TAE-PTComp,0.156256339364007,98.0523333333333,294.157,3,"-0.333333333333333,s_na_25,0.333333333333333,H,0.333333333333333,Na,0.333333333333333,Cl_cation",s_na
TAE-PTComp_0092_s_na_26,TAE-PTComp,0.195023518084528,122.379105263158,2325.203,19,"-0.0526315789473684,s_na_26,0.421052631578947,H,0.0526315789473684,C_cation,0.473684210526316,C,0.0526315789473684,Na",s_na
TAE-PTComp_0093_s_na_27,TAE-PTComp,0.138078440235712,86.6455294117647,1472.974,17,"-0.0588235294117647,s_na_27,0.647058823529412,H,0.235294117647059,N,0.0588235294117647,Na",s_na
TAE-PTComp_0094_s_na_28,TAE-PTComp,0.187003152701723,117.34625,1408.155,12,"-0.0833333333333333,s_na_28,0.416666666666667,H,0.0833333333333333,C_cation,0.333333333333333,C,0.0833333333333333,N,0.0833333333333333,Na",s_na
TAE-PTComp_0095_s_na_29,TAE-PTComp,0.113328080903673,71.1144444444444,640.03,9,"-0.111111111111111,s_na_29,0.666666666666667,H,0.111111111111111,Na,0.111111111111111,P_cation,0.111111111111111,P",s_na
TAE-PTComp_0096_s_mg_1,TAE-PTComp,0.170087935097761,106.731790697674,4589.467,43,"-0.0232558139534884,s_mg_1,0.488372093023256,H,0.348837209302326,C,0.0232558139534884,O_anion,0.116279069767442,O,0.0232558139534884,Mg",s_mg
TAE-PTComp_0097_s_mg_2,TAE-PTComp,0.136292762954205,85.525,342.1,4,"-0.25,s_mg_2,0.25,F_anion,0.5,F,0.25,Mg",s_mg
TAE-PTComp_0098_s_mg_3,TAE-PTComp,0.0687901964579093,43.1665,172.666,4,"-0.25,s_mg_3,0.25,H_anion,0.5,H,0.25,Mg",s_mg
TAE-PTComp_0099_s_mg_4,TAE-PTComp,0.113666390373786,71.3267368421053,1355.208,19,"-0.0526315789473684,s_mg_4,0.368421052631579,H,0.105263157894737,C,0.105263157894737,O,0.105263157894737,F,0.210526315789474,Mg,0.0526315789473684,P,0.0526315789473684,Cl_anion",s_mg
TAE-PTComp_0100_s_mg_5,TAE-PTComp,0.12295725450275,77.1568421052632,1465.98,19,"-0.0526315789473684,s_mg_5,0.368421052631579,H,0.105263157894737,C,0.105263157894737,O,0.105263157894737,F,0.210526315789474,Mg,0.0526315789473684,P,0.0526315789473684,Cl_anion",s_mg
TAE-PTComp_0101_s_mg_6,TAE-PTComp,0.122272747844748,76.7273076923077,997.455,13,"-0.0769230769230769,s_mg_6,0.307692307692308,H,0.0769230769230769,C,0.307692307692308,F,0.0769230769230769,Mg,0.153846153846154,P,0.0769230769230769,S",s_mg
TAE-PTComp_0102_s_mg_7,TAE-PTComp,0.145631267378779,91.385,1279.39,14,"-0.0714285714285714,s_mg_7,0.357142857142857,H,0.142857142857143,C,0.0714285714285714,N,0.142857142857143,O,0.142857142857143,F,0.0714285714285714,Mg,0.0714285714285714,S",s_mg
TAE-PTComp_0103_s_mg_8,TAE-PTComp,0.112730037697492,70.7391666666667,424.435,6,"-0.166666666666667,s_mg_8,0.333333333333333,Mg,0.666666666666667,Cl",s_mg
TAE-PTComp_0104_s_mg_9,TAE-PTComp,0.149024044839515,93.514,561.084,6,"-0.166666666666667,s_mg_9,0.666666666666667,F,0.333333333333333,Mg",s_mg
TAE-PTComp_0105_s_mg_10,TAE-PTComp,0.116889603049973,73.3493333333333,880.192,12,"-0.0833333333333333,s_mg_10,0.333333333333333,Mg,0.666666666666667,Cl",s_mg
TAE-PTComp_0106_s_mg_11,TAE-PTComp,0.0695555235483362,43.64675,523.761,12,"-0.0833333333333333,s_mg_11,0.666666666666667,H,0.333333333333333,Mg",s_mg
TAE-PTComp_0107_s_mg_12,TAE-PTComp,0.149951614617483,94.0960588235294,1599.633,17,"-0.0588235294117647,s_mg_12,0.294117647058824,H,0.117647058823529,C,0.0588235294117647,N,0.294117647058824,O,0.235294117647059,Mg",s_mg
TAE-PTComp_0108_s_mg_13,TAE-PTComp,0.112874391427718,70.82975,566.638,8,"-0.125,s_mg_13,0.5,Mg,0.5,S",s_mg
TAE-PTComp_0109_s_mg_14,TAE-PTComp,0.167594159807614,105.166923076923,1367.17,13,"-0.0769230769230769,s_mg_14,0.461538461538462,H,0.461538461538462,C,0.0769230769230769,Mg",s_mg
TAE-PTComp_0110_s_mg_15,TAE-PTComp,0.121977006621306,76.5417272727273,841.959,11,"-0.0909090909090909,s_mg_15,0.545454545454545,H,0.181818181818182,N,0.0909090909090909,Mg,0.181818181818182,Cl",s_mg
TAE-PTComp_0111_s_mg_16,TAE-PTComp,0.173977357334723,109.17244,2729.311,25,"-0.04,s_mg_16,0.48,H,0.48,C,0.04,Mg",s_mg
TAE-PTComp_0112_s_mg_17,TAE-PTComp,0.135023643286213,84.7286153846154,1101.472,13,"-0.0769230769230769,s_mg_17,0.615384615384615,H,0.307692307692308,C,0.0769230769230769,Mg",s_mg
TAE-PTComp_0113_s_mg_18,TAE-PTComp,0.134779018655273,84.5751111111111,761.176,9,"-0.111111111111111,s_mg_18,0.444444444444444,H,0.222222222222222,O,0.222222222222222,F,0.111111111111111,Mg",s_mg
TAE-PTComp_0114_s_mg_19,TAE-PTComp,0.107850695695676,67.6773333333333,406.064,6,"-0.166666666666667,s_mg_19,0.666666666666667,H,0.166666666666667,C,0.166666666666667,Mg",s_mg
TAE-PTComp_0115_s_mg_20,TAE-PTComp,0.125201828148706,78.5653333333333,707.088,9,"-0.111111111111111,s_mg_20,0.666666666666667,H,0.222222222222222,C,0.111111111111111,Mg",s_mg
TAE-PTComp_0116_s_mg_21,TAE-PTComp,0.11993125699395,75.258,451.548,6,"-0.166666666666667,s_mg_21,0.5,H,0.166666666666667,N,0.166666666666667,O,0.166666666666667,Mg",s_mg
TAE-PTComp_0117_s_mg_22,TAE-PTComp,0.197057302615147,123.655324324324,4575.247,37,"-0.027027027027027,s_mg_22,0.324324324324324,H,0.540540540540541,C,0.108108108108108,N,0.027027027027027,Mg",s_mg
TAE-PTComp_0118_s_mg_23,TAE-PTComp,0.124185329161101,77.9274705882353,1324.767,17,"-0.0588235294117647,s_mg_23,0.294117647058824,H,0.0588235294117647,C,0.0588235294117647,N,0.117647058823529,O,0.0588235294117647,F,0.294117647058824,Mg,0.0588235294117647,S,0.0588235294117647,Cl",s_mg
TAE-PTComp_0119_s_mg_24,TAE-PTComp,0.0607512740057317,38.122,76.244,2,"-0.5,s_mg_24,0.5,Mg_cation,0.5,Cl",s_mg
TAE-PTComp_0120_s_mg_25,TAE-PTComp,0.142519646743111,89.4324285714286,626.027,7,"-0.142857142857143,s_mg_25,0.428571428571429,H,0.428571428571429,C,0.142857142857143,Mg_cation",s_mg
TAE-PTComp_0121_s_mg_26,TAE-PTComp,0.0826154857301596,51.842,103.684,2,"-0.5,s_mg_26,0.5,F,0.5,Mg_cation",s_mg
TAE-PTComp_0122_s_mg_27,TAE-PTComp,0.110787171944769,69.52,1181.84,17,"-0.0588235294117647,s_mg_27,0.352941176470588,H,0.0588235294117647,C,0.0588235294117647,N,0.117647058823529,O,0.0588235294117647,F,0.0588235294117647,Mg_cation,0.176470588235294,Mg,0.0588235294117647,S,0.0588235294117647,Cl",s_mg
TAE-PTComp_0123_s_mg_28,TAE-PTComp,0.123406901729444,77.439,774.39,10,"-0.1,s_mg_28,0.2,H,0.1,C,0.1,N,0.1,Mg_cation,0.1,Mg,0.2,Si,0.2,S",s_mg
TAE-PTComp_0124_s_k_1,TAE-PTComp,0.0477804207042964,29.9826666666667,89.948,3,"-0.333333333333333,s_k_1,0.333333333333333,H_anion,0.333333333333333,H,0.333333333333333,K",s_k
TAE-PTComp_0125_s_k_2,TAE-PTComp,0.0985643817181857,61.8500833333333,742.201,12,"-0.0833333333333333,s_k_2,0.416666666666667,H,0.0833333333333333,C,0.0833333333333333,N,0.0833333333333333,O_anion,0.0833333333333333,O,0.25,K",s_k
TAE-PTComp_0126_s_k_3,TAE-PTComp,0.138311488221518,86.7917692307692,1128.293,13,"-0.0769230769230769,s_k_3,0.230769230769231,H,0.230769230769231,B,0.0769230769230769,C_anion,0.0769230769230769,C,0.153846153846154,N,0.230769230769231,K",s_k
TAE-PTComp_0127_s_k_4,TAE-PTComp,0.172731051734961,108.390371428571,3793.663,35,"-0.0285714285714286,s_k_4,0.285714285714286,H,0.342857142857143,C,0.114285714285714,N,0.142857142857143,O,0.0571428571428571,S,0.0571428571428571,K",s_k
TAE-PTComp_0128_s_k_5,TAE-PTComp,0.156529642010562,98.2238333333333,589.343,6,"-0.166666666666667,s_k_5,0.166666666666667,C,0.5,O,0.333333333333333,K",s_k
TAE-PTComp_0129_s_k_6,TAE-PTComp,0.11427118308781,71.70625,286.825,4,"-0.25,s_k_6,0.5,F,0.5,K",s_k
TAE-PTComp_0130_s_k_7,TAE-PTComp,0.0611390503555576,38.3653333333333,115.096,3,"-0.333333333333333,s_k_7,0.333333333333333,O,0.666666666666667,K",s_k
TAE-PTComp_0131_s_k_8,TAE-PTComp,0.0837445523487279,52.5505,210.202,4,"-0.25,s_k_8,0.5,S,0.5,K",s_k
TAE-PTComp_0132_s_k_9,TAE-PTComp,0.157919528064425,99.096,2378.304,24,"-0.0416666666666667,s_k_9,0.333333333333333,H,0.333333333333333,C,0.166666666666667,N,0.166666666666667,K",s_k
TAE-PTComp_0133_s_k_10,TAE-PTComp,0.141737161654012,88.9414117647059,1512.004,17,"-0.0588235294117647,s_k_10,0.294117647058824,H,0.117647058823529,C,0.0588235294117647,N,0.0588235294117647,O,0.235294117647059,F,0.235294117647059,K",s_k
