Unnamed: 0,wB97M2,B3LYP,BMK,CAMB3LYP,CF22D,M052X,M062X,M08HX,MN15,PBE0,PW6B95,SOGGA11X,r2SCAN0,wB97M-V,wB97X-V,revDSD-PBEP86-D4
02a_formaldehyde_dimAB_3B-69,-229.1754553155,-229.1265555756,-228.9927093835,-229.0264037682,-228.9735623,-229.0808798874,-229.0203038533,-229.0381033732,-228.973867983,-228.8537146838,-229.3804244701,-229.0321233702,-228.9501122859,-229.0330196618,-229.0377642772,-228.762342245062
02a_formaldehyde_dimAC_3B-69,-229.172556385,-229.1246351245,-228.9915756639,-229.0237905448,-228.97070159,-229.0776629011,-229.0175443675,-229.0353472279,-228.9709634224,-228.8513279329,-229.377922591,-229.0306617817,-228.9474784719,-229.0301306545,-229.0347318803,-228.759399568542
02a_formaldehyde_dimBC_3B-69,-229.1754553156,-229.1265555757,-228.9927093836,-229.0264037684,-228.97356232,-229.0808798875,-229.0203038534,-229.0381033733,-228.9738679831,-228.8537146839,-229.3804244702,-229.0321233703,-228.950112286,-229.0330196619,-229.0377642773,-228.762342260976
02a_formaldehyde_monA_3B-69,-114.5861078323,-114.5621492847,-114.4956039116,-114.5117145196,-114.48517787,-114.5386335119,-114.5085933045,-114.5174945944,-114.4853088456,-114.4254963232,-114.6887925525,-114.515153909,-114.473563726,-114.5148890925,-114.5171844953,-114.379530690909
02a_formaldehyde_monB_3B-69,-114.5861078323,-114.5621492848,-114.4956039117,-114.5117145196,-114.48517787,-114.538633512,-114.5085933046,-114.5174945945,-114.4853088456,-114.4254963233,-114.6887925526,-114.5151539091,-114.4735637261,-114.5148890926,-114.5171844953,-114.379530690908
02a_formaldehyde_monC_3B-69,-114.5861078324,-114.5621492848,-114.4956039118,-114.5117145197,-114.48517789,-114.538633512,-114.5085933046,-114.5174945945,-114.4853088457,-114.4254963234,-114.6887925527,-114.5151539091,-114.4735637261,-114.5148890927,-114.5171844954,-114.379530690903
02a_formaldehyde_trim_3B-69,-343.7654337979,-343.6915988885,-343.4905131826,-343.5417706693,-343.46259627,-343.6238633747,-343.5326826641,-343.5593726291,-343.4630879857,-343.2825636079,-344.0726901776,-343.5497512334,-343.4273173246,-343.5518075576,-343.5590174682,-343.145783056924
02b_formaldehyde_dimAB_3B-69,-229.1754553149,-229.126555575,-228.9927093829,-229.0264037676,-228.97356225,-229.0808798867,-229.0203038526,-229.0381033725,-228.9738679823,-228.8537146832,-229.3804244695,-229.0321233696,-228.9501122852,-229.0330196611,-229.0377642765,-228.762342245052
02b_formaldehyde_dimAC_3B-69,-229.173019296,-229.123446276,-228.9898070729,-229.023281748,-228.97106705,-229.0780053678,-229.0178647795,-229.0354905333,-228.9713865185,-228.8508302597,-229.3776059219,-229.029286108,-228.9476733205,-229.0305316659,-229.0351637529,-228.760030877199
02b_formaldehyde_dimBC_3B-69,-229.1730192959,-229.123446276,-228.9898070728,-229.0232817479,-228.97106706,-229.0780053678,-229.0178647795,-229.0354905332,-228.9713865185,-228.8508302596,-229.3776059218,-229.0292861079,-228.9476733205,-229.0305316658,-229.0351637529,-228.760030885201
02b_formaldehyde_monA_3B-69,-114.5861078316,-114.562149284,-114.4956039109,-114.5117145189,-114.48517784,-114.5386335112,-114.5085933038,-114.5174945937,-114.4853088449,-114.4254963226,-114.6887925519,-114.5151539083,-114.4735637253,-114.5148890918,-114.5171844946,-114.379530691029
02b_formaldehyde_monB_3B-69,-114.586107832,-114.5621492844,-114.4956039114,-114.5117145193,-114.48517784,-114.5386335116,-114.5085933042,-114.5174945941,-114.4853088453,-114.425496323,-114.6887925523,-114.5151539087,-114.4735637257,-114.5148890923,-114.517184495,-114.379530691027
02b_formaldehyde_monC_3B-69,-114.586107832,-114.5621492844,-114.4956039114,-114.5117145193,-114.48517784,-114.5386335116,-114.5085933042,-114.5174945942,-114.4853088453,-114.425496323,-114.6887925523,-114.5151539087,-114.4735637258,-114.5148890923,-114.517184495,-114.379530690911
02b_formaldehyde_trim_3B-69,-343.7629396253,-343.6867490357,-343.4861079989,-343.5375060558,-343.45998479,-343.6208150124,-343.5301719857,-343.5564511199,-343.4607533952,-343.2784753608,-344.0689182112,-343.5453675947,-343.4245218149,-343.5492208192,-343.5563154566,-343.143497187042
02c_formaldehyde_dimAB_3B-69,-229.1754553151,-229.1265555752,-228.9927093831,-229.0264037678,-228.97356228,-229.0808798869,-229.0203038528,-229.0381033727,-228.9738679825,-228.8537146834,-229.3804244697,-229.0321233698,-228.9501122854,-229.0330196613,-229.0377642767,-228.762342245042
02c_formaldehyde_dimAC_3B-69,-229.171851545,-229.1234790414,-228.9895903737,-229.022694583,-228.97008315,-229.0766391151,-229.0166470355,-229.034350556,-228.9702444096,-228.8504749873,-229.3771565191,-229.0290543641,-228.9464673891,-229.029358017,-229.0339643035,-228.758793003318
02c_formaldehyde_dimBC_3B-69,-229.1791879501,-229.1291331459,-228.996582871,-229.0296548236,-228.97749361,-229.0853478146,-229.0248640559,-229.0424046114,-228.9781118535,-228.8568106208,-229.3836272597,-229.0357451953,-228.9543261086,-229.0369330795,-229.0415702913,-228.765996123132
02c_formaldehyde_monA_3B-69,-114.586107832,-114.5621492845,-114.4956039114,-114.5117145194,-114.48517786,-114.5386335117,-114.5085933043,-114.5174945942,-114.4853088453,-114.425496323,-114.6887925523,-114.5151539088,-114.4735637258,-114.5148890923,-114.5171844951,-114.379530690903
02c_formaldehyde_monB_3B-69,-114.5861078321,-114.5621492845,-114.4956039115,-114.5117145194,-114.48517786,-114.5386335118,-114.5085933043,-114.5174945943,-114.4853088454,-114.4254963231,-114.6887925524,-114.5151539089,-114.4735637259,-114.5148890924,-114.5171844951,-114.379530690907
02c_formaldehyde_monC_3B-69,-114.586107832,-114.5621492844,-114.4956039113,-114.5117145193,-114.48517786,-114.5386335116,-114.5085933042,-114.5174945941,-114.4853088453,-114.425496323,-114.6887925523,-114.5151539087,-114.4735637257,-114.5148890922,-114.517184495,-114.379530691033
02c_formaldehyde_trim_3B-69,-343.7683599879,-343.6929120191,-343.4929720329,-343.5437850702,-343.46587316,-343.6273100161,-343.5363558679,-343.5626463864,-343.466676834,-343.2845786529,-344.0748853059,-343.5519878274,-343.4305273918,-343.554902337,-343.5619820967,-343.148670931606
03_HCN-dimer_0p9_dim_A21x12,-187.0007944176,-186.9420280658,-186.8259461745,-186.8471101956,-186.79683838,-186.9135556655,-186.8651195148,-186.8829156937,-186.8073869378,-186.7040575432,-187.1654854749,-186.8618093245,-186.7874240381,-186.8768547566,-186.8715352752,-186.62642977514
03_HCN-dimer_1p0_dim_A21x12,-187.005390801,-186.9468822759,-186.8309544062,-186.851542373,-186.8021473,-186.9188782623,-186.8700033772,-186.887572979,-186.812921576,-186.7082380653,-187.1705132345,-186.8663605631,-186.7917324924,-186.8817201743,-186.8764840735,-186.631189946319
03_HCN-dimer_1p1_dim_A21x12,-187.0039624086,-186.9457094757,-186.8294611273,-186.850038139,-186.80110004,-186.9176755577,-186.8687011956,-186.8860146544,-186.8118486005,-186.7068652483,-187.1694290465,-186.8647009603,-186.7903676992,-186.8803480736,-186.875165012,-186.629759165995
03_HCN-dimer_1p2_dim_A21x12,-187.0022352791,-186.9441919284,-186.8279780266,-186.8483148312,-186.79953851,-186.9159784814,-186.8672197138,-186.8842961851,-186.8101285952,-186.7052394857,-187.1678885712,-186.8632575816,-186.7887641197,-186.8786701437,-186.8734309126,-186.627993028927
03_HCN-dimer_1p4_dim_A21x12,-187.0001851887,-186.9424197211,-186.8267817148,-186.8463599387,-186.79752385,-186.91389641,-186.8652968963,-186.8824458923,-186.8080554463,-186.7032857129,-187.1659365773,-186.8618671843,-186.7868814976,-186.8766736728,-186.8713472542,-186.625899115741
03_HCN-dimer_1p6_dim_A21x12,-186.9992407129,-186.9415930464,-186.8259704647,-186.8454740293,-186.79658243,-186.9129821622,-186.8643221005,-186.8815470831,-186.8071673865,-186.7023842076,-187.1649874563,-186.8609937458,-186.7859901404,-186.8757296065,-186.8703961927,-186.624937932417
03_HCN-dimer_2p0_dim_A21x12,-186.9984573375,-186.9408587693,-186.8251886191,-186.8447052839,-186.79580062,-186.9122026467,-186.8635403541,-186.8807807438,-186.8064232379,-186.7016302636,-187.1642278867,-186.8602256673,-186.7852185598,-186.8749412222,-186.8696011687,-186.624134423427
03a_methanol_ethyne_dimAB_3B-69,-231.6169176768,-231.5783348179,-231.426758656,-231.4718892213,-231.40432743,-231.5295795099,-231.4609972371,-231.4949962634,-231.4130182811,-231.2992273285,-231.8268537049,-231.4919684188,-231.40131903,-231.4562096854,-231.4854108388,-231.201679538671
03a_methanol_ethyne_dimAC_3B-69,-231.6169176767,-231.5783348177,-231.4267586558,-231.4718892211,-231.40432743,-231.5295795097,-231.460997237,-231.4949962632,-231.413018281,-231.2992273284,-231.8268537048,-231.4919684187,-231.4013190299,-231.4562096852,-231.4854108386,-231.201679550929
03a_methanol_ethyne_dimBC_3B-69,-231.611226287,-231.5736340305,-231.4218671817,-231.4657897543,-231.39944753,-231.5240903205,-231.455673041,-231.4897397513,-231.4081862431,-231.2937800511,-231.8225374822,-231.4867983639,-231.3951584028,-231.450814649,-231.4800127898,-231.196053005463
03a_methanol_ethyne_monA_3B-69,-115.8047288225,-115.7863043702,-115.7107899804,-115.7322538056,-115.6987535,-115.7612247297,-115.7269698955,-115.7441906323,-115.7032605359,-115.6461685997,-115.9104590953,-115.7430344941,-115.6968599117,-115.7244894177,-115.7390703129,-115.597099106499
03a_methanol_ethyne_monB_3B-69,-115.8047288225,-115.7863043701,-115.7107899803,-115.7322538055,-115.6987535,-115.7612247296,-115.7269698955,-115.7441906323,-115.7032605358,-115.6461685996,-115.9104590953,-115.7430344941,-115.6968599116,-115.7244894176,-115.7390703128,-115.597099106477
03a_methanol_ethyne_monC_3B-69,-115.8047288224,-115.7863043701,-115.7107899802,-115.7322538055,-115.6987535,-115.7612247295,-115.7269698954,-115.7441906322,-115.7032605358,-115.6461685995,-115.9104590952,-115.743034494,-115.6968599116,-115.7244894176,-115.7390703128,-115.597099106401
03a_methanol_ethyne_trim_3B-69,-347.4329980231,-347.3737339309,-347.1455338017,-347.2150370864,-347.11402398,-347.3018114097,-347.198793602,-347.2492214277,-347.1266997775,-346.9558937084,-347.746883849,-347.2438218053,-347.1094209799,-347.1919478282,-347.2358207825,-346.81023134012
03b_methanol_ethyne_dimAB_3B-69,-231.6112262875,-231.5736340308,-231.4218671819,-231.4657897545,-231.39944755,-231.5240903208,-231.4556730412,-231.4897397515,-231.4081862433,-231.2937800513,-231.8225374824,-231.4867983641,-231.395158403,-231.4508146492,-231.4800127901,-231.196053005486
03b_methanol_ethyne_dimAC_3B-69,-193.1921332358,-193.1568051057,-193.018462631,-193.0522627129,-192.98750315,-193.1171441147,-193.0599497483,-193.093744936,-193.0124355326,-192.9080296353,-193.3768018732,-193.0801062678,-192.9976745297,-193.0546915137,-193.076756071,-192.818531027557
03b_methanol_ethyne_dimBC_3B-69,-193.1928688237,-193.1572009183,-193.0185614737,-193.0528025761,-192.98828705,-193.1180414157,-193.0607760989,-193.0942005321,-193.0132891414,-192.9085147825,-193.3775281151,-193.0801559309,-192.9983775862,-193.0553801802,-193.0774957624,-192.819276418252
03b_methanol_ethyne_monA_3B-69,-115.8047288225,-115.7863043702,-115.7107899804,-115.7322538056,-115.6987535,-115.7612247297,-115.7269698955,-115.7441906323,-115.7032605359,-115.6461685997,-115.9104590953,-115.7430344941,-115.6968599117,-115.7244894177,-115.7390703129,-115.597099106499
03b_methanol_ethyne_monB_3B-69,-115.8047288225,-115.7863043702,-115.7107899804,-115.7322538056,-115.69875351,-115.7612247297,-115.7269698955,-115.7441906323,-115.7032605359,-115.6461685996,-115.9104590953,-115.7430344941,-115.6968599117,-115.7244894177,-115.7390703129,-115.597099106473
03b_methanol_ethyne_monC_3B-69,-77.3865455517,-77.3707108458,-77.3084306681,-77.3198277379,-77.28782093,-77.3552254566,-77.3323985141,-77.3488215269,-77.3081845961,-77.2614501386,-77.4658926838,-77.3374135664,-77.3003410934,-77.3292768595,-77.3367040036,-77.220394768321
03b_methanol_ethyne_trim_3B-69,-309.000192016,-308.9442861703,-308.7290833496,-308.7864656125,-308.6899146,-308.8816778781,-308.7900263026,-308.8403385835,-308.7193527641,-308.5564072501,-309.289905004,-308.8235604461,-308.6971308599,-308.7826042249,-308.8194161805,-308.419189947016
03c_methanol_ethyne_dimAB_3B-69,-231.6169176768,-231.5783348178,-231.426758656,-231.4718892213,-231.40432746,-231.5295795098,-231.4609972371,-231.4949962633,-231.4130182811,-231.2992273285,-231.8268537049,-231.4919684188,-231.40131903,-231.4562096854,-231.4854108388,-231.201679546686
03c_methanol_ethyne_dimAC_3B-69,-193.1928688238,-193.1572009184,-193.0185614738,-193.0528025762,-192.98828707,-193.1180414158,-193.060776099,-193.0942005322,-193.0132891415,-192.9085147826,-193.3775281152,-193.0801559309,-192.9983775863,-193.0553801803,-193.0774957624,-192.819276455075
03c_methanol_ethyne_dimBC_3B-69,-193.1911743123,-193.1562232674,-193.0175335114,-193.0514852412,-192.98654416,-193.1161600329,-193.0590792806,-193.09246905,-193.0112974583,-192.9071960607,-193.3760771924,-193.0791666412,-192.9968181472,-193.0536381118,-193.0756917757,-192.817497986622
03c_methanol_ethyne_monA_3B-69,-115.8047288225,-115.7863043702,-115.7107899804,-115.7322538056,-115.69875352,-115.7612247297,-115.7269698955,-115.7441906323,-115.7032605359,-115.6461685996,-115.9104590953,-115.7430344941,-115.6968599117,-115.7244894177,-115.7390703129,-115.597099106476
03c_methanol_ethyne_monB_3B-69,-115.8047288225,-115.7863043702,-115.7107899803,-115.7322538056,-115.69875352,-115.7612247296,-115.7269698955,-115.7441906323,-115.7032605358,-115.6461685996,-115.9104590953,-115.7430344941,-115.6968599116,-115.7244894177,-115.7390703129,-115.597099106497
03c_methanol_ethyne_monC_3B-69,-77.3865455518,-77.3707108459,-77.3084306682,-77.3198277379,-77.28782094,-77.3552254567,-77.3323985142,-77.3488215269,-77.3081845961,-77.2614501386,-77.4658926839,-77.3374135665,-77.3003410935,-77.3292768596,-77.3367040037,-77.220394767693
03c_methanol_ethyne_trim_3B-69,-309.0049869759,-308.9484889081,-308.7334593126,-308.791850837,-308.69387227,-308.8862218997,-308.794557829,-308.8444993483,-308.7230843394,-308.5610648934,-309.2935677187,-308.8280626418,-308.702494327,-308.7870159956,-308.823806825,-308.423836832002
04_HF-dimer_0p9_dim_A21x12,-201.0389762353,-201.0052630442,-200.9170650438,-200.9566453125,-200.94217665,-200.979203282,-200.9286379847,-200.9291477821,-200.9112278303,-200.8072242403,-201.2046673992,-200.9278037366,-200.8863657527,-200.9408293394,-200.9273701543,-200.757794650853
04_HF-dimer_1p0_dim_A21x12,-201.0412821107,-201.0075873271,-200.9194064734,-200.9583540171,-200.94460608,-200.9814184937,-200.9308097725,-200.931658498,-200.9136799312,-200.8091969193,-201.2071130903,-200.9297470016,-200.8880450564,-200.9432138893,-200.9297829363,-200.760175641062
04_HF-dimer_1p1_dim_A21x12,-201.0402843862,-201.0065968883,-200.9181224264,-200.9569654357,-200.94370712,-200.9802891972,-200.9296056873,-200.9306270267,-200.9127948678,-200.808123686,-201.2062593658,-200.928376416,-200.8867338995,-200.9422215354,-200.9288600506,-200.759230318814
04_HF-dimer_1p2_dim_A21x12,-201.0388096921,-201.0051399566,-200.9163952126,-200.9552596971,-200.94232682,-200.9786811923,-200.928029575,-200.9291242607,-200.9113281517,-200.8066557497,-201.2048858356,-200.9267824887,-200.8851018174,-200.9407534049,-200.9274059842,-200.75777698019
04_HF-dimer_1p4_dim_A21x12,-201.0366482434,-201.0030669634,-200.9146659841,-200.9529343578,-200.94019136,-200.9763377067,-200.9259869885,-200.9269694923,-200.9090179049,-200.804523848,-201.2028051535,-200.9251195229,-200.8828355721,-200.9386454365,-200.9252118991,-200.755609577981
04_HF-dimer_1p6_dim_A21x12,-201.0355292601,-201.0020452489,-200.9141431862,-200.9518102664,-200.93903182,-200.9751261265,-200.9248552863,-200.9259113132,-200.9078206657,-200.803401898,-201.2016512354,-200.9243894984,-200.8816977511,-200.9375420138,-200.9240596661,-200.754475305474
04_HF-dimer_2p0_dim_A21x12,-201.0346096614,-201.0012251067,-200.9134153244,-200.9509258322,-200.93806674,-200.9741942018,-200.9238274302,-200.924953009,-200.9068967067,-200.8024791051,-201.200657924,-200.9235400742,-200.8807710419,-200.9365977397,-200.9231196549,-200.753538530993
04a_acetonitrile_dimAB_3B-69,-265.7114556099,-265.6414493959,-265.462190948,-265.4948420278,-265.40543874,-265.5989841054,-265.5212814947,-265.5651561271,-265.4387167913,-265.3025519914,-265.9631643066,-265.541508719,-265.4283593574,-265.5232911719,-265.544058762,-265.170081523326
04a_acetonitrile_dimAC_3B-69,-265.7154171946,-265.6442618662,-265.465806411,-265.4982122797,-265.4093571,-265.6030522968,-265.5255390467,-265.5692096417,-265.4430842336,-265.3055782751,-265.9666590079,-265.5448652708,-265.4322449266,-265.5274120404,-265.5481794162,-265.174177625713
04a_acetonitrile_dimBC_3B-69,-265.7068270948,-265.6360861505,-265.456854752,-265.489557412,-265.40060675,-265.5938586896,-265.5166142858,-265.5602465717,-265.4341468864,-265.2971750955,-265.9581889508,-265.5362507293,-265.4232104255,-265.5184894355,-265.5391763268,-265.16560611535
04a_acetonitrile_monA_3B-69,-132.8535469084,-132.8194354041,-132.7301953538,-132.7457799669,-132.70044394,-132.7972539727,-132.7586098545,-132.7806190932,-132.7170575026,-132.6495015669,-132.9797274518,-132.769670514,-132.7121991392,-132.7593723033,-132.7696812165,-132.58278438045
04a_acetonitrile_monB_3B-69,-132.8535469014,-132.8194354169,-132.7301953792,-132.7457799943,-132.70044394,-132.797253996,-132.7586098762,-132.7806191238,-132.717057514,-132.6495015816,-132.9797274685,-132.7696705284,-132.712199162,-132.7593723193,-132.7696812335,-132.582784366254
04a_acetonitrile_monC_3B-69,-132.8535469013,-132.8194354168,-132.7301953791,-132.7457799942,-132.70044394,-132.797253996,-132.7586098761,-132.7806191237,-132.7170575139,-132.6495015815,-132.9797274684,-132.7696705283,-132.7121991619,-132.7593723192,-132.7696812335,-132.58278436643
04a_acetonitrile_trim_3B-69,-398.5728478966,-398.4631436672,-398.1953614921,-398.2448739118,-398.11392844,-398.4040320022,-398.2877957853,-398.3530579516,-398.1653202562,-397.956271148,-398.9487095306,-398.3140870473,-398.1469642729,-398.2909268305,-398.3221794264,-397.76112117379
04b_acetonitrile_dimAB_3B-69,-265.7120711994,-265.6429490071,-265.4639821474,-265.496193532,-265.40561966,-265.599237257,-265.5217068657,-265.565973731,-265.438918409,-265.3036500464,-265.9639454186,-265.5432910389,-265.428972325,-265.5237111206,-265.5444423968,-265.170702429982
04b_acetonitrile_dimAC_3B-69,-265.7091203307,-265.6391626218,-265.459822514,-265.4924365202,-265.40289278,-265.5962665307,-265.5188089646,-265.562525626,-265.4362337976,-265.2999708976,-265.9607455324,-265.5390782472,-265.4257837484,-265.5207899573,-265.5415191834,-265.1678108096
04b_acetonitrile_dimBC_3B-69,-265.7068271057,-265.6360861532,-265.4568547651,-265.4895574137,-265.40060681,-265.5938586999,-265.5166142939,-265.560246576,-265.4341468926,-265.2971750887,-265.9581889499,-265.5362507357,-265.4232104198,-265.5184894458,-265.5391763377,-265.165606144351
04b_acetonitrile_monA_3B-69,-132.8535469118,-132.8194354096,-132.7301953673,-132.7457799745,-132.70044396,-132.7972539823,-132.7586098638,-132.7806191041,-132.7170575091,-132.6495015682,-132.9797274544,-132.7696705218,-132.7121991409,-132.7593723126,-132.7696812275,-132.582784383275
