Reaction,Dataset,Reference,Reference_in_kcal_mol,Stoichiometry,Reference_Uncertainty_kcal_mol
H2X100_016_H2S_3_O_2C_td_td,H2X100,-0.001699841534014417,-1.066666667,"0.3333333333,H2S_3_O_2C_td_td,-0.3333333333,H2S_3_O_2C_td_td_mon1,-0.3333333333,H2S_3_O_2C_td_td_mon2,-0.3333333333,H2S_3_O_2C_td_td_mon3",0.006666666667
H2X100_017_H2S_3_O_2H_ta_ta,H2X100,-0.001683905519638012,-1.056666667,"0.3333333333,H2S_3_O_2H_ta_ta,-0.3333333333,H2S_3_O_2H_ta_ta_mon1,-0.3333333333,H2S_3_O_2H_ta_ta_mon2,-0.3333333333,H2S_3_O_2H_ta_ta_mon3",0.01
H2X100_018_H2S_3_O_2H_ta_ca,H2X100,-0.001641409480769731,-1.03,"0.3333333333,H2S_3_O_2H_ta_ca,-0.3333333333,H2S_3_O_2H_ta_ca_mon1,-0.3333333333,H2S_3_O_2H_ta_ca_mon2,-0.3333333333,H2S_3_O_2H_ta_ca_mon3",0.01
H2X100_019_H2Se_3_R_3H_ttc,H2X100,-0.002517890271472015,-1.58,"0.3333333333,H2Se_3_R_3H_ttc,-0.3333333333,H2Se_3_R_3H_ttc_mon1,-0.3333333333,H2Se_3_R_3H_ttc_mon2,-0.3333333333,H2Se_3_R_3H_ttc_mon3",0.01
H2X100_020_H2Se_3_R_3H_ccc,H2X100,-0.002507266261356544,-1.573333333,"0.3333333333,H2Se_3_R_3H_ccc,-0.3333333333,H2Se_3_R_3H_ccc_mon1,-0.3333333333,H2Se_3_R_3H_ccc_mon2,-0.3333333333,H2Se_3_R_3H_ccc_mon3",0.01
H2X100_021_H2Se_3_R_2H1C_ctt,H2X100,-0.002459458218227329,-1.543333333,"0.3333333333,H2Se_3_R_2H1C_ctt,-0.3333333333,H2Se_3_R_2H1C_ctt_mon1,-0.3333333333,H2Se_3_R_2H1C_ctt_mon2,-0.3333333333,H2Se_3_R_2H1C_ctt_mon3",0.006666666667
H2X100_022_H2Se_3_R_2H1C_tct,H2X100,-0.002454146213966394,-1.54,"0.3333333333,H2Se_3_R_2H1C_tct,-0.3333333333,H2Se_3_R_2H1C_tct_mon1,-0.3333333333,H2Se_3_R_2H1C_tct_mon2,-0.3333333333,H2Se_3_R_2H1C_tct_mon3",0.006666666667
H2X100_023_H2Se_3_R_1H2C_ctt,H2X100,-0.002422274185213584,-1.52,"0.3333333333,H2Se_3_R_1H2C_ctt,-0.3333333333,H2Se_3_R_1H2C_ctt_mon1,-0.3333333333,H2Se_3_R_1H2C_ctt_mon2,-0.3333333333,H2Se_3_R_1H2C_ctt_mon3",0.01
H2X100_024_H2Se_3_R_2H1C_ttc,H2X100,-0.002411650175098113,-1.513333333,"0.3333333333,H2Se_3_R_2H1C_ttc,-0.3333333333,H2Se_3_R_2H1C_ttc_mon1,-0.3333333333,H2Se_3_R_2H1C_ttc_mon2,-0.3333333333,H2Se_3_R_2H1C_ttc_mon3",0.006666666667
H2X100_025_H2Se_3_R_1H2C_ttc,H2X100,-0.002390402156460773,-1.5,"0.3333333333,H2Se_3_R_1H2C_ttc,-0.3333333333,H2Se_3_R_1H2C_ttc_mon1,-0.3333333333,H2Se_3_R_1H2C_ttc_mon2,-0.3333333333,H2Se_3_R_1H2C_ttc_mon3",0.01
H2X100_026_H2Se_3_R_2H1C_ccc,H2X100,-0.002390402156460773,-1.5,"0.3333333333,H2Se_3_R_2H1C_ccc,-0.3333333333,H2Se_3_R_2H1C_ccc_mon1,-0.3333333333,H2Se_3_R_2H1C_ccc_mon2,-0.3333333333,H2Se_3_R_2H1C_ccc_mon3",0.01
H2X100_027_H2Se_3_R_1H2C_tct,H2X100,-0.002347906117592493,-1.473333333,"0.3333333333,H2Se_3_R_1H2C_tct,-0.3333333333,H2Se_3_R_1H2C_tct_mon1,-0.3333333333,H2Se_3_R_1H2C_tct_mon2,-0.3333333333,H2Se_3_R_1H2C_tct_mon3",0.01
H2X100_028_H2Se_3_R_3C_ttc,H2X100,-0.002337282109070623,-1.466666667,"0.3333333333,H2Se_3_R_3C_ttc,-0.3333333333,H2Se_3_R_3C_ttc_mon1,-0.3333333333,H2Se_3_R_3C_ttc_mon2,-0.3333333333,H2Se_3_R_3C_ttc_mon3",0.006666666667
H2X100_029_H2Se_3_R_1H2C_ccc,H2X100,-0.002331970103216087,-1.463333333,"0.3333333333,H2Se_3_R_1H2C_ccc,-0.3333333333,H2Se_3_R_1H2C_ccc_mon1,-0.3333333333,H2Se_3_R_1H2C_ccc_mon2,-0.3333333333,H2Se_3_R_1H2C_ccc_mon3",0.01
H2X100_030_H2Se_3_R_3C_ccc,H2X100,-0.002316034088839682,-1.453333333,"0.3333333333,H2Se_3_R_3C_ccc,-0.3333333333,H2Se_3_R_3C_ccc_mon1,-0.3333333333,H2Se_3_R_3C_ccc_mon2,-0.3333333333,H2Se_3_R_3C_ccc_mon3",0.006666666667
H2X100_031_H2Se_3_O_2C_ta_ta,H2X100,-0.001848577667662998,-1.16,"0.3333333333,H2Se_3_O_2C_ta_ta,-0.3333333333,H2Se_3_O_2C_ta_ta_mon1,-0.3333333333,H2Se_3_O_2C_ta_ta_mon2,-0.3333333333,H2Se_3_O_2C_ta_ta_mon3",0.003333333333
H2X100_032_H2Se_3_O_2C_td_td,H2X100,-0.001731713562767227,-1.086666667,"0.3333333333,H2Se_3_O_2C_td_td,-0.3333333333,H2Se_3_O_2C_td_td_mon1,-0.3333333333,H2Se_3_O_2C_td_td_mon2,-0.3333333333,H2Se_3_O_2C_td_td_mon3",0.006666666667
H2X100_033_H2Se_3_O_1H1C_ta_ta,H2X100,-0.001657345495146136,-1.04,"0.3333333333,H2Se_3_O_1H1C_ta_ta,-0.3333333333,H2Se_3_O_1H1C_ta_ta_mon1,-0.3333333333,H2Se_3_O_1H1C_ta_ta_mon2,-0.3333333333,H2Se_3_O_1H1C_ta_ta_mon3",0.003333333333
H2X100_034_H2Se_3_O_2H_ta_ta,H2X100,-0.001519233370497505,-0.9533333333,"0.3333333333,H2Se_3_O_2H_ta_ta,-0.3333333333,H2Se_3_O_2H_ta_ta_mon1,-0.3333333333,H2Se_3_O_2H_ta_ta_mon2,-0.3333333333,H2Se_3_O_2H_ta_ta_mon3",0.003333333333
H2X100_035_H2Se_3_O_2H_ta_ca,H2X100,-0.001503297356121100,-0.9433333333,"0.3333333333,H2Se_3_O_2H_ta_ca,-0.3333333333,H2Se_3_O_2H_ta_ca_mon1,-0.3333333333,H2Se_3_O_2H_ta_ca_mon2,-0.3333333333,H2Se_3_O_2H_ta_ca_mon3",0.003333333333
H2X100_036_H2Te_3_R_3C_ttc,H2X100,-0.003245634928525717,-2.036666667,"0.3333333333,H2Te_3_R_3C_ttc,-0.3333333333,H2Te_3_R_3C_ttc_mon1,-0.3333333333,H2Te_3_R_3C_ttc_mon2,-0.3333333333,H2Te_3_R_3C_ttc_mon3",0.03666666667
H2X100_037_H2Te_3_R_3C_ccc,H2X100,-0.003240322922671181,-2.033333333,"0.3333333333,H2Te_3_R_3C_ccc,-0.3333333333,H2Te_3_R_3C_ccc_mon1,-0.3333333333,H2Te_3_R_3C_ccc_mon2,-0.3333333333,H2Te_3_R_3C_ccc_mon3",0.03333333333
H2X100_038_H2Te_3_R_1H2C_ttc,H2X100,-0.002841922563261052,-1.783333333,"0.3333333333,H2Te_3_R_1H2C_ttc,-0.3333333333,H2Te_3_R_1H2C_ttc_mon1,-0.3333333333,H2Te_3_R_1H2C_ttc_mon2,-0.3333333333,H2Te_3_R_1H2C_ttc_mon3",0.03666666667
H2X100_039_H2Te_3_R_1H2C_ctt,H2X100,-0.002831298554739183,-1.776666667,"0.3333333333,H2Te_3_R_1H2C_ctt,-0.3333333333,H2Te_3_R_1H2C_ctt_mon1,-0.3333333333,H2Te_3_R_1H2C_ctt_mon2,-0.3333333333,H2Te_3_R_1H2C_ctt_mon3",0.03333333333
H2X100_040_H2Te_3_R_1H2C_tct,H2X100,-0.002815362540362778,-1.766666667,"0.3333333333,H2Te_3_R_1H2C_tct,-0.3333333333,H2Te_3_R_1H2C_tct_mon1,-0.3333333333,H2Te_3_R_1H2C_tct_mon2,-0.3333333333,H2Te_3_R_1H2C_tct_mon3",0.03333333333
H2X100_041_H2Te_3_R_1H2C_ccc,H2X100,-0.002804738530247307,-1.76,"0.3333333333,H2Te_3_R_1H2C_ccc,-0.3333333333,H2Te_3_R_1H2C_ccc_mon1,-0.3333333333,H2Te_3_R_1H2C_ccc_mon2,-0.3333333333,H2Te_3_R_1H2C_ccc_mon3",0.03333333333
H2X100_042_H2Te_3_R_2H1C_ctt,H2X100,-0.002454146213966394,-1.54,"0.3333333333,H2Te_3_R_2H1C_ctt,-0.3333333333,H2Te_3_R_2H1C_ctt_mon1,-0.3333333333,H2Te_3_R_2H1C_ctt_mon2,-0.3333333333,H2Te_3_R_2H1C_ctt_mon3",0.03666666667
H2X100_043_H2Te_3_R_2H1C_ccc,H2X100,-0.002921602635143078,-1.833333333,"0.3333333333,H2Te_3_R_2H1C_ccc,-0.3333333333,H2Te_3_R_2H1C_ccc_mon1,-0.3333333333,H2Te_3_R_2H1C_ccc_mon2,-0.3333333333,H2Te_3_R_2H1C_ccc_mon3",0.03666666667
H2X100_044_H2Te_3_R_2H1C_tct,H2X100,-0.002491330246980139,-1.563333333,"0.3333333333,H2Te_3_R_2H1C_tct,-0.3333333333,H2Te_3_R_2H1C_tct_mon1,-0.3333333333,H2Te_3_R_2H1C_tct_mon2,-0.3333333333,H2Te_3_R_2H1C_tct_mon3",0.03666666667
H2X100_045_H2Te_3_R_2H1C_ttc,H2X100,-0.002422274185213584,-1.52,"0.3333333333,H2Te_3_R_2H1C_ttc,-0.3333333333,H2Te_3_R_2H1C_ttc_mon1,-0.3333333333,H2Te_3_R_2H1C_ttc_mon2,-0.3333333333,H2Te_3_R_2H1C_ttc_mon3",0.03666666667
H2X100_046_H2Te_3_O_2C_ta_ta,H2X100,-0.002156673945075631,-1.353333333,"0.3333333333,H2Te_3_O_2C_ta_ta,-0.3333333333,H2Te_3_O_2C_ta_ta_mon1,-0.3333333333,H2Te_3_O_2C_ta_ta_mon2,-0.3333333333,H2Te_3_O_2C_ta_ta_mon3",0.02
H2X100_047_H2Te_3_O_2C_td_td,H2X100,-0.002151361940814696,-1.35,"0.3333333333,H2Te_3_O_2C_td_td,-0.3333333333,H2Te_3_O_2C_td_td_mon1,-0.3333333333,H2Te_3_O_2C_td_td_mon2,-0.3333333333,H2Te_3_O_2C_td_td_mon3",0.02
H2X100_048_H2Te_3_O_2C_ta_ca,H2X100,-0.002146049936553761,-1.346666667,"0.3333333333,H2Te_3_O_2C_ta_ca,-0.3333333333,H2Te_3_O_2C_ta_ca_mon1,-0.3333333333,H2Te_3_O_2C_ta_ca_mon2,-0.3333333333,H2Te_3_O_2C_ta_ca_mon3",0.02
H2X100_049_H2Te_3_O_2C_td_cd,H2X100,-0.002140737930699225,-1.343333333,"0.3333333333,H2Te_3_O_2C_td_cd,-0.3333333333,H2Te_3_O_2C_td_cd_mon1,-0.3333333333,H2Te_3_O_2C_td_cd_mon2,-0.3333333333,H2Te_3_O_2C_td_cd_mon3",0.02
H2X100_050_H2Te_3_O_2C_ca_ca,H2X100,-0.002124801916322820,-1.333333333,"0.3333333333,H2Te_3_O_2C_ca_ca,-0.3333333333,H2Te_3_O_2C_ca_ca_mon1,-0.3333333333,H2Te_3_O_2C_ca_ca_mon2,-0.3333333333,H2Te_3_O_2C_ca_ca_mon3",0.02333333333
H2X100_051_H2Te_3_O_2C_cd_cd,H2X100,-0.002124801916322820,-1.333333333,"0.3333333333,H2Te_3_O_2C_cd_cd,-0.3333333333,H2Te_3_O_2C_cd_cd_mon1,-0.3333333333,H2Te_3_O_2C_cd_cd_mon2,-0.3333333333,H2Te_3_O_2C_cd_cd_mon3",0.02
H2X100_052_H2Te_3_R_3H_ccc,H2X100,-0.002087617883309075,-1.31,"0.3333333333,H2Te_3_R_3H_ccc,-0.3333333333,H2Te_3_R_3H_ccc_mon1,-0.3333333333,H2Te_3_R_3H_ccc_mon2,-0.3333333333,H2Te_3_R_3H_ccc_mon3",0.04
H2X100_053_H2Te_3_R_3H_ttc,H2X100,-0.002045121844440795,-1.283333333,"0.3333333333,H2Te_3_R_3H_ttc,-0.3333333333,H2Te_3_R_3H_ttc_mon1,-0.3333333333,H2Te_3_R_3H_ttc_mon2,-0.3333333333,H2Te_3_R_3H_ttc_mon3",0.03666666667
H2X100_054_H2S_4_P_6H,H2X100,-0.002302754077390545,-1.445,"0.1666666667,H2S_4_P_6H,-0.1666666667,H2S_4_P_6H_mon1,-0.1666666667,H2S_4_P_6H_mon2,-0.1666666667,H2S_4_P_6H_mon3,-0.1666666667,H2S_4_P_6H_mon4",0.005
H2X100_055_H2S_4_P_5H1C,H2X100,-0.002239010019884924,-1.405,"0.1666666667,H2S_4_P_5H1C,-0.1666666667,H2S_4_P_5H1C_mon1,-0.1666666667,H2S_4_P_5H1C_mon2,-0.1666666667,H2S_4_P_5H1C_mon3,-0.1666666667,H2S_4_P_5H1C_mon4",0.005
H2X100_056_H2S_4_F_5H_I,H2X100,-0.002196513981016644,-1.378333333,"0.1666666667,H2S_4_F_5H_I,-0.1666666667,H2S_4_F_5H_I_mon1,-0.1666666667,H2S_4_F_5H_I_mon2,-0.1666666667,H2S_4_F_5H_I_mon3,-0.1666666667,H2S_4_F_5H_I_mon4",0.005
H2X100_057_H2S_4_P_3H3C,H2X100,-0.002175265962379304,-1.365,"0.1666666667,H2S_4_P_3H3C,-0.1666666667,H2S_4_P_3H3C_mon1,-0.1666666667,H2S_4_P_3H3C_mon2,-0.1666666667,H2S_4_P_3H3C_mon3,-0.1666666667,H2S_4_P_3H3C_mon4",0.005
H2X100_058_H2S_4_P_5H,H2X100,-0.002167297955191101,-1.36,"0.1666666667,H2S_4_P_5H,-0.1666666667,H2S_4_P_5H_mon1,-0.1666666667,H2S_4_P_5H_mon2,-0.1666666667,H2S_4_P_5H_mon3,-0.1666666667,H2S_4_P_5H_mon4",0.008333333333
H2X100_059_H2S_4_B_4H2C,H2X100,-0.002167297955191101,-1.36,"0.1666666667,H2S_4_B_4H2C,-0.1666666667,H2S_4_B_4H2C_mon1,-0.1666666667,H2S_4_B_4H2C_mon2,-0.1666666667,H2S_4_B_4H2C_mon3,-0.1666666667,H2S_4_B_4H2C_mon4",0.005
H2X100_060_H2S_4_F_5H_II,H2X100,-0.002140737930699225,-1.343333333,"0.1666666667,H2S_4_F_5H_II,-0.1666666667,H2S_4_F_5H_II_mon1,-0.1666666667,H2S_4_F_5H_II_mon2,-0.1666666667,H2S_4_F_5H_II_mon3,-0.1666666667,H2S_4_F_5H_II_mon4",0.01
H2X100_061_H2S_4_P_4H2C,H2X100,-0.002138081929365559,-1.341666667,"0.1666666667,H2S_4_P_4H2C,-0.1666666667,H2S_4_P_4H2C_mon1,-0.1666666667,H2S_4_P_4H2C_mon2,-0.1666666667,H2S_4_P_4H2C_mon3,-0.1666666667,H2S_4_P_4H2C_mon4",0.003333333333
H2X100_062_H2S_4_F_5H_III,H2X100,-0.002130113922177356,-1.336666667,"0.1666666667,H2S_4_F_5H_III,-0.1666666667,H2S_4_F_5H_III_mon1,-0.1666666667,H2S_4_F_5H_III_mon2,-0.1666666667,H2S_4_F_5H_III_mon3,-0.1666666667,H2S_4_F_5H_III_mon4",0.008333333333
H2X100_063_H2S_4_R_4H_tttt,H2X100,-0.002116833909134618,-1.328333333,"0.1666666667,H2S_4_R_4H_tttt,-0.1666666667,H2S_4_R_4H_tttt_mon1,-0.1666666667,H2S_4_R_4H_tttt_mon2,-0.1666666667,H2S_4_R_4H_tttt_mon3,-0.1666666667,H2S_4_R_4H_tttt_mon4",0.008333333333
H2X100_064_H2S_4_R_4H_tctc,H2X100,-0.002095585890497278,-1.315,"0.1666666667,H2S_4_R_4H_tctc,-0.1666666667,H2S_4_R_4H_tctc_mon1,-0.1666666667,H2S_4_R_4H_tctc_mon2,-0.1666666667,H2S_4_R_4H_tctc_mon3,-0.1666666667,H2S_4_R_4H_tctc_mon4",0.008333333333
H2X100_065_H2S_4_F_5H_IV,H2X100,-0.002050433850295331,-1.286666667,"0.1666666667,H2S_4_F_5H_IV,-0.1666666667,H2S_4_F_5H_IV_mon1,-0.1666666667,H2S_4_F_5H_IV_mon2,-0.1666666667,H2S_4_F_5H_IV_mon3,-0.1666666667,H2S_4_F_5H_IV_mon4",0.01
H2X100_066_H2S_4_F_2H3C,H2X100,-0.001914977728095887,-1.201666667,"0.1666666667,H2S_4_F_2H3C,-0.1666666667,H2S_4_F_2H3C_mon1,-0.1666666667,H2S_4_F_2H3C_mon2,-0.1666666667,H2S_4_F_2H3C_mon3,-0.1666666667,H2S_4_F_2H3C_mon4",0.001666666667
H2X100_067_H2Se_4_B_4H2C,H2X100,-0.002177921965306572,-1.366666667,"0.1666666667,H2Se_4_B_4H2C,-0.1666666667,H2Se_4_B_4H2C_mon1,-0.1666666667,H2Se_4_B_4H2C_mon2,-0.1666666667,H2Se_4_B_4H2C_mon3,-0.1666666667,H2Se_4_B_4H2C_mon4",0.01166666667
H2X100_068_H2Se_4_P_6H,H2X100,-0.002161985950930167,-1.356666667,"0.1666666667,H2Se_4_P_6H,-0.1666666667,H2Se_4_P_6H_mon1,-0.1666666667,H2Se_4_P_6H_mon2,-0.1666666667,H2Se_4_P_6H_mon3,-0.1666666667,H2Se_4_P_6H_mon4",0.015
H2X100_069_H2Se_4_P_5H1C_I,H2X100,-0.002154017943741964,-1.351666667,"0.1666666667,H2Se_4_P_5H1C_I,-0.1666666667,H2Se_4_P_5H1C_I_mon1,-0.1666666667,H2Se_4_P_5H1C_I_mon2,-0.1666666667,H2Se_4_P_5H1C_I_mon3,-0.1666666667,H2Se_4_P_5H1C_I_mon4",0.01166666667
H2X100_070_H2Se_4_P_4H2C,H2X100,-0.002130113922177356,-1.336666667,"0.1666666667,H2Se_4_P_4H2C,-0.1666666667,H2Se_4_P_4H2C_mon1,-0.1666666667,H2Se_4_P_4H2C_mon2,-0.1666666667,H2Se_4_P_4H2C_mon3,-0.1666666667,H2Se_4_P_4H2C_mon4",0.015
H2X100_071_H2Se_4_B_4H1C,H2X100,-0.002122145914989154,-1.331666667,"0.1666666667,H2Se_4_B_4H1C,-0.1666666667,H2Se_4_B_4H1C_mon1,-0.1666666667,H2Se_4_B_4H1C_mon2,-0.1666666667,H2Se_4_B_4H1C_mon3,-0.1666666667,H2Se_4_B_4H1C_mon4",0.015
H2X100_072_H2Se_4_P_5H1C_II,H2X100,-0.002111521904873683,-1.325,"0.1666666667,H2Se_4_P_5H1C_II,-0.1666666667,H2Se_4_P_5H1C_II_mon1,-0.1666666667,H2Se_4_P_5H1C_II_mon2,-0.1666666667,H2Se_4_P_5H1C_II_mon3,-0.1666666667,H2Se_4_P_5H1C_II_mon4",0.01333333333
H2X100_073_H2Se_4_P_2H4C,H2X100,-0.002084961880381807,-1.308333333,"0.1666666667,H2Se_4_P_2H4C,-0.1666666667,H2Se_4_P_2H4C_mon1,-0.1666666667,H2Se_4_P_2H4C_mon2,-0.1666666667,H2Se_4_P_2H4C_mon3,-0.1666666667,H2Se_4_P_2H4C_mon4",0.015
H2X100_074_H2Se_4_B_2H3C_I,H2X100,-0.002053089851628997,-1.288333333,"0.1666666667,H2Se_4_B_2H3C_I,-0.1666666667,H2Se_4_B_2H3C_I_mon1,-0.1666666667,H2Se_4_B_2H3C_I_mon2,-0.1666666667,H2Se_4_B_2H3C_I_mon3,-0.1666666667,H2Se_4_B_2H3C_I_mon4",0.015
H2X100_075_H2Se_4_B_3H2C,H2X100,-0.002018561821542520,-1.266666667,"0.1666666667,H2Se_4_B_3H2C,-0.1666666667,H2Se_4_B_3H2C_mon1,-0.1666666667,H2Se_4_B_3H2C_mon2,-0.1666666667,H2Se_4_B_3H2C_mon3,-0.1666666667,H2Se_4_B_3H2C_mon4",0.01333333333
H2X100_076_H2Se_4_B_1H4C,H2X100,-0.002010593814354318,-1.261666667,"0.1666666667,H2Se_4_B_1H4C,-0.1666666667,H2Se_4_B_1H4C_mon1,-0.1666666667,H2Se_4_B_1H4C_mon2,-0.1666666667,H2Se_4_B_1H4C_mon3,-0.1666666667,H2Se_4_B_1H4C_mon4",0.01166666667
H2X100_077_H2Se_4_F_2H3C_I,H2X100,-0.001954817764036900,-1.226666667,"0.1666666667,H2Se_4_F_2H3C_I,-0.1666666667,H2Se_4_F_2H3C_I_mon1,-0.1666666667,H2Se_4_F_2H3C_I_mon2,-0.1666666667,H2Se_4_F_2H3C_I_mon3,-0.1666666667,H2Se_4_F_2H3C_I_mon4",0.01166666667
H2X100_078_H2Se_4_B_2H3C_II,H2X100,-0.001941537750994161,-1.218333333,"0.1666666667,H2Se_4_B_2H3C_II,-0.1666666667,H2Se_4_B_2H3C_II_mon1,-0.1666666667,H2Se_4_B_2H3C_II_mon2,-0.1666666667,H2Se_4_B_2H3C_II_mon3,-0.1666666667,H2Se_4_B_2H3C_II_mon4",0.01666666667
H2X100_079_H2Se_4_F_2H3C_II,H2X100,-0.001936225746733226,-1.215,"0.1666666667,H2Se_4_F_2H3C_II,-0.1666666667,H2Se_4_F_2H3C_II_mon1,-0.1666666667,H2Se_4_F_2H3C_II_mon2,-0.1666666667,H2Se_4_F_2H3C_II_mon3,-0.1666666667,H2Se_4_F_2H3C_II_mon4",0.01333333333
H2X100_080_H2Se_4_F_4H1C,H2X100,-0.001907009720907684,-1.196666667,"0.1666666667,H2Se_4_F_4H1C,-0.1666666667,H2Se_4_F_4H1C_mon1,-0.1666666667,H2Se_4_F_4H1C_mon2,-0.1666666667,H2Se_4_F_4H1C_mon3,-0.1666666667,H2Se_4_F_4H1C_mon4",0.01333333333
H2X100_081_H2Se_4_B_4C,H2X100,-0.001877793693488540,-1.178333333,"0.1666666667,H2Se_4_B_4C,-0.1666666667,H2Se_4_B_4C_mon1,-0.1666666667,H2Se_4_B_4C_mon2,-0.1666666667,H2Se_4_B_4C_mon3,-0.1666666667,H2Se_4_B_4C_mon4",0.01
H2X100_082_H2Se_4_R_4H_tctc,H2X100,-0.001859201677778469,-1.166666667,"0.1666666667,H2Se_4_R_4H_tctc,-0.1666666667,H2Se_4_R_4H_tctc_mon1,-0.1666666667,H2Se_4_R_4H_tctc_mon2,-0.1666666667,H2Se_4_R_4H_tctc_mon3,-0.1666666667,H2Se_4_R_4H_tctc_mon4",0.008333333333
H2X100_083_H2Se_4_R_4C_tctc,H2X100,-0.001739681569955430,-1.091666667,"0.1666666667,H2Se_4_R_4C_tctc,-0.1666666667,H2Se_4_R_4C_tctc_mon1,-0.1666666667,H2Se_4_R_4C_tctc_mon2,-0.1666666667,H2Se_4_R_4C_tctc_mon3,-0.1666666667,H2Se_4_R_4C_tctc_mon4",0.01333333333
H2X100_084_H2Te_4_B_1H4C_I,H2X100,-0.002650690390744190,-1.663333333,"0.1666666667,H2Te_4_B_1H4C_I,-0.1666666667,H2Te_4_B_1H4C_I_mon1,-0.1666666667,H2Te_4_B_1H4C_I_mon2,-0.1666666667,H2Te_4_B_1H4C_I_mon3,-0.1666666667,H2Te_4_B_1H4C_I_mon4",0.03333333333
H2X100_085_H2Te_4_B_4C_II,H2X100,-0.002634754376367785,-1.653333333,"0.1666666667,H2Te_4_B_4C_II,-0.1666666667,H2Te_4_B_4C_II_mon1,-0.1666666667,H2Te_4_B_4C_II_mon2,-0.1666666667,H2Te_4_B_4C_II_mon3,-0.1666666667,H2Te_4_B_4C_II_mon4",0.03
H2X100_086_H2Te_4_B_4C_I,H2X100,-0.002626786369179583,-1.648333333,"0.1666666667,H2Te_4_B_4C_I,-0.1666666667,H2Te_4_B_4C_I_mon1,-0.1666666667,H2Te_4_B_4C_I_mon2,-0.1666666667,H2Te_4_B_4C_I_mon3,-0.1666666667,H2Te_4_B_4C_I_mon4",0.02666666667
H2X100_087_H2Te_4_B_1H4C_II,H2X100,-0.002555074304485760,-1.603333333,"0.1666666667,H2Te_4_B_1H4C_II,-0.1666666667,H2Te_4_B_1H4C_II_mon1,-0.1666666667,H2Te_4_B_1H4C_II_mon2,-0.1666666667,H2Te_4_B_1H4C_II_mon3,-0.1666666667,H2Te_4_B_1H4C_II_mon4",0.035
