Reaction,Dataset,Reference,Reference_in_kcal_mol,Stoichiometry,Reference_Method,Source
atmospheric218_011_2sa-2sa-10,atmospheric218,-0.02326600961969208,-14.59964146,"1,2sa-2sa-10,-1,1sa-1sa-1,-1,1sa-1sa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_012_2na-2nta-2,atmospheric218,-0.009586647374498576,-6.015712052,"1,2na-2nta-2,-1,1na-1nta-1,-1,1na-1nta-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_013_2na-2nta-1,atmospheric218,-0.01623932139863644,-10.19032803,"1,2na-2nta-1,-1,1na-1nta-1,-1,1na-1nta-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_014_2msa-conf4,atmospheric218,-0.03119281677655074,-19.57378805,"1,2msa-conf4,-1,1msa-1msa-1,-1,1msa-1msa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_015_2msa-conf3,atmospheric218,-0.03194897506517012,-20.04828454,"1,2msa-conf3,-1,1msa-1msa-1,-1,1msa-1msa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_016_2fa-2fa-7,atmospheric218,-0.009383857256962910,-5.888459332,"1,2fa-2fa-7,-1,1fa-1fa-1,-1,1fa-1fa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_017_2fa-2fa-5,atmospheric218,-0.01074862004764212,-6.744860913,"1,2fa-2fa-5,-1,1fa-1fa-1,-1,1fa-1fa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_018_2fa-2fa-2,atmospheric218,-0.01608171306906076,-10.09142731,"1,2fa-2fa-2,-1,1fa-1fa-1,-1,1fa-1fa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_019_2fa-2fa-1,atmospheric218,-0.02604303261620028,-16.3422497,"1,2fa-2fa-1,-1,1fa-1fa-1,-1,1fa-1fa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_020_2fa-2fa-12,atmospheric218,-0.001590539152082407,-0.9980783868,"1,2fa-2fa-12,-1,1fa-1fa-1,-1,1fa-1fa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_021_1sa1w-1sa1w-4,atmospheric218,-0.01757573108591978,-11.02893777,"1,1sa1w-1sa1w-4,-1,1sa-1sa-1,-1,1w-1w-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_022_1sa1w-1sa1w-3,atmospheric218,-0.01850243397095308,-11.61045261,"1,1sa1w-1sa1w-3,-1,1sa-1sa-1,-1,1w-1w-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_023_1sa1w-1sa1w-2,atmospheric218,-0.02024977627464831,-12.70692646,"1,1sa1w-1sa1w-2,-1,1sa-1sa-1,-1,1w-1w-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_024_1sa1w-1sa1w-1,atmospheric218,-0.02037210693764684,-12.78369011,"1,1sa1w-1sa1w-1,-1,1sa-1sa-1,-1,1w-1w-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_025_1sa1tma-conf7,atmospheric218,-0.03799811560709969,-23.84417754,"1,1sa1tma-conf7,-1,1sa-1sa-1,-1,1tma-1tma-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_026_1sa1tma-conf4,atmospheric218,-0.03800522375476019,-23.84863797,"1,1sa1tma-conf4,-1,1sa-1sa-1,-1,1tma-1tma-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_027_1sa1tma-conf1,atmospheric218,-0.04050980872910905,-25.42028877,"1,1sa1tma-conf1,-1,1sa-1sa-1,-1,1tma-1tma-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_028_1sa1na-conf9,atmospheric218,-0.01020917227037086,-6.406352322,"1,1sa1na-conf9,-1,1sa-1sa-1,-1,1na-1nta-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_029_1sa1na-conf8,atmospheric218,-0.01258773276338727,-7.898921566,"1,1sa1na-conf8,-1,1sa-1sa-1,-1,1na-1nta-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_030_1sa1na-conf7,atmospheric218,-0.01300100860338506,-8.158256071,"1,1sa1na-conf7,-1,1sa-1sa-1,-1,1na-1nta-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_031_1sa1na-conf4,atmospheric218,-0.01913235732085975,-12.00573548,"1,1sa1na-conf4,-1,1sa-1sa-1,-1,1na-1nta-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_032_1sa1na-conf22,atmospheric218,-0.01046442209148175,-6.566524003,"1,1sa1na-conf22,-1,1sa-1sa-1,-1,1na-1nta-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_033_1sa1na-conf21,atmospheric218,-0.007229333878620977,-4.5364755,"1,1sa1na-conf21,-1,1sa-1sa-1,-1,1na-1nta-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_034_1sa1na-conf1,atmospheric218,-0.02178364352252864,-13.66944269,"1,1sa1na-conf1,-1,1sa-1sa-1,-1,1na-1nta-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_035_1sa1na-conf19,atmospheric218,-0.01933751266164916,-12.1344724,"1,1sa1na-conf19,-1,1sa-1sa-1,-1,1na-1nta-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_036_1sa1na-conf18,atmospheric218,-0.01114114778814797,-6.991175789,"1,1sa1na-conf18,-1,1sa-1sa-1,-1,1na-1nta-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_037_1sa1na-conf16,atmospheric218,-0.008842166313559211,-5.548543133,"1,1sa1na-conf16,-1,1sa-1sa-1,-1,1na-1nta-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_038_1sa1na-conf15,atmospheric218,-0.01153877961254797,-7.240693526,"1,1sa1na-conf15,-1,1sa-1sa-1,-1,1na-1nta-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_039_1sa1na-conf12,atmospheric218,-0.01308562597602199,-8.211354274,"1,1sa1na-conf12,-1,1sa-1sa-1,-1,1na-1nta-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_040_1sa1na-conf11,atmospheric218,-0.01235739812148278,-7.754384396,"1,1sa1na-conf11,-1,1sa-1sa-1,-1,1na-1nta-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_041_1sa1msa-conf6,atmospheric218,-0.03068499406921110,-19.25512449,"1,1sa1msa-conf6,-1,1sa-1sa-1,-1,1msa-1msa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_042_1sa1msa-conf5,atmospheric218,-0.02634212736736754,-16.52993449,"1,1sa1msa-conf5,-1,1sa-1sa-1,-1,1msa-1msa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_043_1sa1msa-conf4,atmospheric218,-0.03063531642881126,-19.2239513,"1,1sa1msa-conf4,-1,1sa-1sa-1,-1,1msa-1msa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_044_1sa1msa-conf20,atmospheric218,-0.01441139791475187,-9.043288726,"1,1sa1msa-conf20,-1,1sa-1sa-1,-1,1msa-1msa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_045_1sa1msa-conf1,atmospheric218,-0.03531927061832911,-22.16317693,"1,1sa1msa-conf1,-1,1sa-1sa-1,-1,1msa-1msa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_046_1sa1msa-conf19,atmospheric218,-0.02877662699349810,-18.05760607,"1,1sa1msa-conf19,-1,1sa-1sa-1,-1,1msa-1msa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_047_1sa1msa-conf18,atmospheric218,-0.02602712225880703,-16.3322658,"1,1sa1msa-conf18,-1,1sa-1sa-1,-1,1msa-1msa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_048_1sa1msa-conf16,atmospheric218,-0.01976893497667348,-12.40519399,"1,1sa1msa-conf16,-1,1sa-1sa-1,-1,1msa-1msa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_049_1sa1msa-conf15,atmospheric218,-0.02050067680524997,-12.86436892,"1,1sa1msa-conf15,-1,1sa-1sa-1,-1,1msa-1msa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_050_1sa1msa-conf14,atmospheric218,-0.02959207363000346,-18.56930656,"1,1sa1msa-conf14,-1,1sa-1sa-1,-1,1msa-1msa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_051_1sa1msa-conf11,atmospheric218,-0.02705240757575079,-16.97564205,"1,1sa1msa-conf11,-1,1sa-1sa-1,-1,1msa-1msa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_052_1sa1msa-conf10,atmospheric218,-0.02878665661099415,-18.06389975,"1,1sa1msa-conf10,-1,1sa-1sa-1,-1,1msa-1msa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_053_1sa1fa-conf9,atmospheric218,-0.01078126501771303,-6.765345941,"1,1sa1fa-conf9,-1,1sa-1sa-1,-1,1fa-1fa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_054_1sa1fa-conf8,atmospheric218,-0.01320363707395890,-8.285407356,"1,1sa1fa-conf8,-1,1sa-1sa-1,-1,1fa-1fa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_055_1sa1fa-conf7,atmospheric218,-0.01813055716327872,-11.37709639,"1,1sa1fa-conf7,-1,1sa-1sa-1,-1,1fa-1fa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_056_1sa1fa-conf5,atmospheric218,-0.02066472483042711,-12.96731061,"1,1sa1fa-conf5,-1,1sa-1sa-1,-1,1fa-1fa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_057_1sa1fa-conf4,atmospheric218,-0.02460444290988897,-15.43952103,"1,1sa1fa-conf4,-1,1sa-1sa-1,-1,1fa-1fa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_058_1sa1fa-conf2,atmospheric218,-0.02584693382393308,-16.21919585,"1,1sa1fa-conf2,-1,1sa-1sa-1,-1,1fa-1fa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_059_1sa1fa-conf1,atmospheric218,-0.02864846923122675,-17.97718586,"1,1sa1fa-conf1,-1,1sa-1sa-1,-1,1fa-1fa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_060_1sa1fa-conf15,atmospheric218,-0.01056923329309460,-6.632294025,"1,1sa1fa-conf15,-1,1sa-1sa-1,-1,1fa-1fa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_061_1sa1fa-conf14,atmospheric218,-0.01287917647309867,-8.081805255,"1,1sa1fa-conf14,-1,1sa-1sa-1,-1,1fa-1fa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_062_1sa1fa-conf13,atmospheric218,-0.01000249245379336,-6.276658779,"1,1sa1fa-conf13,-1,1sa-1sa-1,-1,1fa-1fa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_063_1sa1fa-conf12,atmospheric218,-0.01181478762383512,-7.413891168,"1,1sa1fa-conf12,-1,1sa-1sa-1,-1,1fa-1fa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_064_1sa1fa-conf11,atmospheric218,-0.01551066126695846,-9.733086894,"1,1sa1fa-conf11,-1,1sa-1sa-1,-1,1fa-1fa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_065_1sa1fa-conf10,atmospheric218,-0.01210160885831723,-7.59387421,"1,1sa1fa-conf10,-1,1sa-1sa-1,-1,1fa-1fa-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_066_1sa1eda-conf96,atmospheric218,-0.02794547327939887,-17.53604924,"1,1sa1eda-conf96,-1,1sa-1sa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_067_1sa1eda-conf91,atmospheric218,-0.03636883873996319,-22.82179087,"1,1sa1eda-conf91,-1,1sa-1sa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_068_1sa1eda-conf90,atmospheric218,-0.03009513785938632,-18.88498413,"1,1sa1eda-conf90,-1,1sa-1sa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_069_1sa1eda-conf8,atmospheric218,-0.02938440699645253,-18.43899378,"1,1sa1eda-conf8,-1,1sa-1sa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_070_1sa1eda-conf89,atmospheric218,-0.02749357673963207,-17.25247988,"1,1sa1eda-conf89,-1,1sa-1sa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_071_1sa1eda-conf86,atmospheric218,-0.03087563335824910,-19.37475245,"1,1sa1eda-conf86,-1,1sa-1sa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_072_1sa1eda-conf83,atmospheric218,-0.03298129361457080,-20.69607421,"1,1sa1eda-conf83,-1,1sa-1sa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_073_1sa1eda-conf79,atmospheric218,-0.03232347825550183,-20.28328884,"1,1sa1eda-conf79,-1,1sa-1sa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_074_1sa1eda-conf73,atmospheric218,-0.03278929452136207,-20.57559296,"1,1sa1eda-conf73,-1,1sa-1sa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_075_1sa1eda-conf71,atmospheric218,-0.03366714486907588,-21.12645237,"1,1sa1eda-conf71,-1,1sa-1sa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_076_1sa1eda-conf62,atmospheric218,-0.03840984770148082,-24.10254333,"1,1sa1eda-conf62,-1,1sa-1sa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_077_1sa1eda-conf5,atmospheric218,-0.03751085521879000,-23.53841703,"1,1sa1eda-conf5,-1,1sa-1sa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_078_1sa1eda-conf57,atmospheric218,-0.03080398586628553,-19.32979297,"1,1sa1eda-conf57,-1,1sa-1sa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_079_1sa1eda-conf55,atmospheric218,-0.03663139001099537,-22.98654428,"1,1sa1eda-conf55,-1,1sa-1sa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_080_1sa1eda-conf54,atmospheric218,-0.03855369818299709,-24.19281087,"1,1sa1eda-conf54,-1,1sa-1sa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
