Reaction,Dataset,Reference,Stoichiometry
GDB_W1-F12_64,GDB_W1-F12,2.2217285118896806,"-1,dsgdb9nsd_000085,4,dsgdb9nsd_c,10,dsgdb9nsd_h,1,dsgdb9nsd_o"
GDB_W1-F12_65,GDB_W1-F12,2.3081108060872295,"-1,dsgdb9nsd_000086,5,dsgdb9nsd_c,10,dsgdb9nsd_h"
GDB_W1-F12_66,GDB_W1-F12,1.9929851320147893,"-1,dsgdb9nsd_000087,4,dsgdb9nsd_c,8,dsgdb9nsd_h,1,dsgdb9nsd_o"
GDB_W1-F12_67,GDB_W1-F12,1.995555512330427,"-1,dsgdb9nsd_000088,4,dsgdb9nsd_c,8,dsgdb9nsd_h,1,dsgdb9nsd_o"
GDB_W1-F12_68,GDB_W1-F12,1.5861148855018452,"-1,dsgdb9nsd_000089,3,dsgdb9nsd_c,5,dsgdb9nsd_h,1,dsgdb9nsd_n,1,dsgdb9nsd_o"
GDB_W1-F12_69,GDB_W1-F12,1.7908480038224077,"-1,dsgdb9nsd_000090,4,dsgdb9nsd_c,6,dsgdb9nsd_h,1,dsgdb9nsd_o"
GDB_W1-F12_70,GDB_W1-F12,1.6096832059995623,"-1,dsgdb9nsd_000091,3,dsgdb9nsd_c,5,dsgdb9nsd_h,1,dsgdb9nsd_n,1,dsgdb9nsd_o"
GDB_W1-F12_71,GDB_W1-F12,1.5020414621020965,"-1,dsgdb9nsd_000092,3,dsgdb9nsd_c,4,dsgdb9nsd_h,2,dsgdb9nsd_o"
GDB_W1-F12_72,GDB_W1-F12,1.5743726850975601,"-1,dsgdb9nsd_000093,3,dsgdb9nsd_c,5,dsgdb9nsd_h,1,dsgdb9nsd_n,1,dsgdb9nsd_o"
GDB_W1-F12_73,GDB_W1-F12,1.4622467803765224,"-1,dsgdb9nsd_000094,3,dsgdb9nsd_c,4,dsgdb9nsd_h,2,dsgdb9nsd_o"
GDB_W1-F12_74,GDB_W1-F12,2.30767977514478,"-1,dsgdb9nsd_000095,5,dsgdb9nsd_c,10,dsgdb9nsd_h"
GDB_W1-F12_75,GDB_W1-F12,1.9897370519709727,"-1,dsgdb9nsd_000096,4,dsgdb9nsd_c,8,dsgdb9nsd_h,1,dsgdb9nsd_o"
GDB_W1-F12_76,GDB_W1-F12,1.9844857113359387,"-1,dsgdb9nsd_000097,4,dsgdb9nsd_c,8,dsgdb9nsd_h,1,dsgdb9nsd_o"
GDB_W1-F12_77,GDB_W1-F12,1.998062652166613,"-1,dsgdb9nsd_000098,4,dsgdb9nsd_c,8,dsgdb9nsd_h,1,dsgdb9nsd_o"
GDB_W1-F12_78,GDB_W1-F12,2.3045589856093973,"-1,dsgdb9nsd_000100,5,dsgdb9nsd_c,10,dsgdb9nsd_h"
GDB_W1-F12_79,GDB_W1-F12,1.9907407021564036,"-1,dsgdb9nsd_000101,4,dsgdb9nsd_c,8,dsgdb9nsd_h,1,dsgdb9nsd_o"
GDB_W1-F12_80,GDB_W1-F12,2.0821425157878517,"-1,dsgdb9nsd_000102,4,dsgdb9nsd_c,9,dsgdb9nsd_h,1,dsgdb9nsd_n"
GDB_W1-F12_81,GDB_W1-F12,1.9911275823710233,"-1,dsgdb9nsd_000103,4,dsgdb9nsd_c,8,dsgdb9nsd_h,1,dsgdb9nsd_o"
GDB_W1-F12_82,GDB_W1-F12,1.676142229685972,"-1,dsgdb9nsd_000104,3,dsgdb9nsd_c,6,dsgdb9nsd_h,2,dsgdb9nsd_o"
GDB_W1-F12_83,GDB_W1-F12,1.7128151309747892,"-1,dsgdb9nsd_000106,4,dsgdb9nsd_c,6,dsgdb9nsd_h,1,dsgdb9nsd_o"
GDB_W1-F12_84,GDB_W1-F12,1.5746228650653369,"-1,dsgdb9nsd_000107,5,dsgdb9nsd_c,4,dsgdb9nsd_h"
GDB_W1-F12_85,GDB_W1-F12,1.4298322090579465,"-1,dsgdb9nsd_000108,4,dsgdb9nsd_c,3,dsgdb9nsd_h,1,dsgdb9nsd_n"
GDB_W1-F12_86,GDB_W1-F12,1.281133733007403,"-1,dsgdb9nsd_000109,3,dsgdb9nsd_c,2,dsgdb9nsd_h,2,dsgdb9nsd_n"
GDB_W1-F12_87,GDB_W1-F12,1.5336286333232034,"-1,dsgdb9nsd_000110,4,dsgdb9nsd_c,4,dsgdb9nsd_h,1,dsgdb9nsd_o"
GDB_W1-F12_88,GDB_W1-F12,1.3877628273333993,"-1,dsgdb9nsd_000111,3,dsgdb9nsd_c,3,dsgdb9nsd_h,1,dsgdb9nsd_n,1,dsgdb9nsd_o"
GDB_W1-F12_89,GDB_W1-F12,1.4111980483267224,"-1,dsgdb9nsd_000112,2,dsgdb9nsd_c,4,dsgdb9nsd_h,2,dsgdb9nsd_n,1,dsgdb9nsd_o"
GDB_W1-F12_90,GDB_W1-F12,1.29721723360334,"-1,dsgdb9nsd_000113,2,dsgdb9nsd_c,3,dsgdb9nsd_h,1,dsgdb9nsd_n,2,dsgdb9nsd_o"
GDB_W1-F12_91,GDB_W1-F12,1.3195588346142268,"-1,dsgdb9nsd_000114,2,dsgdb9nsd_c,3,dsgdb9nsd_h,1,dsgdb9nsd_n,2,dsgdb9nsd_o"
GDB_W1-F12_92,GDB_W1-F12,1.5907696357817123,"-1,dsgdb9nsd_000115,5,dsgdb9nsd_c,4,dsgdb9nsd_h"
GDB_W1-F12_93,GDB_W1-F12,1.441313119542672,"-1,dsgdb9nsd_000116,4,dsgdb9nsd_c,3,dsgdb9nsd_h,1,dsgdb9nsd_n"
GDB_W1-F12_94,GDB_W1-F12,1.5381203435148658,"-1,dsgdb9nsd_000117,4,dsgdb9nsd_c,4,dsgdb9nsd_h,1,dsgdb9nsd_o"
GDB_W1-F12_95,GDB_W1-F12,1.7501942128366788,"-1,dsgdb9nsd_000118,4,dsgdb9nsd_c,6,dsgdb9nsd_h,1,dsgdb9nsd_o"
GDB_W1-F12_96,GDB_W1-F12,2.070291496309397,"-1,dsgdb9nsd_000119,5,dsgdb9nsd_c,8,dsgdb9nsd_h"
GDB_W1-F12_97,GDB_W1-F12,1.7927395035512017,"-1,dsgdb9nsd_000120,3,dsgdb9nsd_c,7,dsgdb9nsd_h,1,dsgdb9nsd_n,1,dsgdb9nsd_o"
GDB_W1-F12_98,GDB_W1-F12,2.0637758146041527,"-1,dsgdb9nsd_000121,5,dsgdb9nsd_c,8,dsgdb9nsd_h"
GDB_W1-F12_99,GDB_W1-F12,1.9219431894739543,"-1,dsgdb9nsd_000122,4,dsgdb9nsd_c,7,dsgdb9nsd_h,1,dsgdb9nsd_n"
GDB_W1-F12_100,GDB_W1-F12,1.7000406306184273,"-1,dsgdb9nsd_000123,3,dsgdb9nsd_c,6,dsgdb9nsd_h,2,dsgdb9nsd_n"
GDB_W1-F12_101,GDB_W1-F12,1.7276513914375433,"-1,dsgdb9nsd_000124,4,dsgdb9nsd_c,6,dsgdb9nsd_h,1,dsgdb9nsd_o"
GDB_W1-F12_102,GDB_W1-F12,1.5825158553782235,"-1,dsgdb9nsd_000125,3,dsgdb9nsd_c,5,dsgdb9nsd_h,1,dsgdb9nsd_n,1,dsgdb9nsd_o"
GDB_W1-F12_103,GDB_W1-F12,1.7496118216296814,"-1,dsgdb9nsd_000126,4,dsgdb9nsd_c,6,dsgdb9nsd_h,1,dsgdb9nsd_o"
GDB_W1-F12_104,GDB_W1-F12,1.606757466905742,"-1,dsgdb9nsd_000127,3,dsgdb9nsd_c,5,dsgdb9nsd_h,1,dsgdb9nsd_n,1,dsgdb9nsd_o"
GDB_W1-F12_105,GDB_W1-F12,2.018985254203287,"-1,dsgdb9nsd_000128,4,dsgdb9nsd_c,8,dsgdb9nsd_h,1,dsgdb9nsd_o"
GDB_W1-F12_106,GDB_W1-F12,1.839855356334602,"-1,dsgdb9nsd_000129,3,dsgdb9nsd_c,7,dsgdb9nsd_h,1,dsgdb9nsd_n,1,dsgdb9nsd_o"
GDB_W1-F12_107,GDB_W1-F12,1.7203874803916934,"-1,dsgdb9nsd_000130,3,dsgdb9nsd_c,6,dsgdb9nsd_h,2,dsgdb9nsd_o"
GDB_W1-F12_108,GDB_W1-F12,1.6864239804271297,"-1,dsgdb9nsd_000131,3,dsgdb9nsd_c,6,dsgdb9nsd_h,2,dsgdb9nsd_o"
GDB_W1-F12_109,GDB_W1-F12,1.703170729973409,"-1,dsgdb9nsd_000132,3,dsgdb9nsd_c,6,dsgdb9nsd_h,2,dsgdb9nsd_o"
GDB_W1-F12_110,GDB_W1-F12,2.5460546446622043,"-1,dsgdb9nsd_000133,5,dsgdb9nsd_c,12,dsgdb9nsd_h"
GDB_W1-F12_111,GDB_W1-F12,2.2320586316216744,"-1,dsgdb9nsd_000134,4,dsgdb9nsd_c,10,dsgdb9nsd_h,1,dsgdb9nsd_o"
GDB_W1-F12_112,GDB_W1-F12,2.2173705920286357,"-1,dsgdb9nsd_000135,4,dsgdb9nsd_c,10,dsgdb9nsd_h,1,dsgdb9nsd_o"
GDB_W1-F12_113,GDB_W1-F12,2.222539691674277,"-1,dsgdb9nsd_000136,4,dsgdb9nsd_c,10,dsgdb9nsd_h,1,dsgdb9nsd_o"
GDB_W1-F12_114,GDB_W1-F12,1.9059217293755868,"-1,dsgdb9nsd_000137,3,dsgdb9nsd_c,8,dsgdb9nsd_h,2,dsgdb9nsd_o"
GDB_W1-F12_115,GDB_W1-F12,1.916845989937977,"-1,dsgdb9nsd_000138,3,dsgdb9nsd_c,8,dsgdb9nsd_h,2,dsgdb9nsd_o"
GDB_W1-F12_116,GDB_W1-F12,1.8215216347326555,"-1,dsgdb9nsd_000139,5,dsgdb9nsd_c,6,dsgdb9nsd_h"
GDB_W1-F12_117,GDB_W1-F12,1.6085413571038572,"-1,dsgdb9nsd_000140,4,dsgdb9nsd_c,5,dsgdb9nsd_h,1,dsgdb9nsd_n"
GDB_W1-F12_118,GDB_W1-F12,1.4961346719208768,"-1,dsgdb9nsd_000141,4,dsgdb9nsd_c,4,dsgdb9nsd_h,1,dsgdb9nsd_o"
GDB_W1-F12_119,GDB_W1-F12,1.6788763589237339,"-1,dsgdb9nsd_000142,4,dsgdb9nsd_c,5,dsgdb9nsd_h,1,dsgdb9nsd_n"
GDB_W1-F12_120,GDB_W1-F12,1.4631640505115469,"-1,dsgdb9nsd_000143,3,dsgdb9nsd_c,4,dsgdb9nsd_h,2,dsgdb9nsd_n"
GDB_W1-F12_121,GDB_W1-F12,1.3490022358117575,"-1,dsgdb9nsd_000144,3,dsgdb9nsd_c,3,dsgdb9nsd_h,1,dsgdb9nsd_n,1,dsgdb9nsd_o"
GDB_W1-F12_122,GDB_W1-F12,1.569513454877064,"-1,dsgdb9nsd_000146,3,dsgdb9nsd_c,5,dsgdb9nsd_h,1,dsgdb9nsd_n,1,dsgdb9nsd_o"
GDB_W1-F12_123,GDB_W1-F12,1.4553573200915189,"-1,dsgdb9nsd_000147,3,dsgdb9nsd_c,4,dsgdb9nsd_h,2,dsgdb9nsd_o"
GDB_W1-F12_124,GDB_W1-F12,1.5741026550709158,"-1,dsgdb9nsd_000148,3,dsgdb9nsd_c,5,dsgdb9nsd_h,1,dsgdb9nsd_n,1,dsgdb9nsd_o"
GDB_W1-F12_125,GDB_W1-F12,2.3041684257690584,"-1,dsgdb9nsd_000149,5,dsgdb9nsd_c,10,dsgdb9nsd_h"
GDB_W1-F12_126,GDB_W1-F12,2.0846040961525367,"-1,dsgdb9nsd_000151,4,dsgdb9nsd_c,9,dsgdb9nsd_h,1,dsgdb9nsd_n"
GDB_W1-F12_127,GDB_W1-F12,1.9734918916643966,"-1,dsgdb9nsd_000152,4,dsgdb9nsd_c,8,dsgdb9nsd_h,1,dsgdb9nsd_o"
GDB_W1-F12_128,GDB_W1-F12,1.9897324321204048,"-1,dsgdb9nsd_000153,4,dsgdb9nsd_c,8,dsgdb9nsd_h,1,dsgdb9nsd_o"
GDB_W1-F12_129,GDB_W1-F12,1.7778262131757556,"-1,dsgdb9nsd_000154,3,dsgdb9nsd_c,7,dsgdb9nsd_h,1,dsgdb9nsd_n,1,dsgdb9nsd_o"
GDB_W1-F12_130,GDB_W1-F12,1.6718860596831195,"-1,dsgdb9nsd_000155,3,dsgdb9nsd_c,6,dsgdb9nsd_h,2,dsgdb9nsd_o"
GDB_W1-F12_131,GDB_W1-F12,2.1081487669674783,"-1,dsgdb9nsd_000156,5,dsgdb9nsd_c,8,dsgdb9nsd_h"
GDB_W1-F12_132,GDB_W1-F12,1.6014015461763624,"-1,dsgdb9nsd_000157,3,dsgdb9nsd_c,5,dsgdb9nsd_h,1,dsgdb9nsd_n,1,dsgdb9nsd_o"
GDB_W1-F12_133,GDB_W1-F12,1.7819794540553524,"-1,dsgdb9nsd_000158,4,dsgdb9nsd_c,6,dsgdb9nsd_h,1,dsgdb9nsd_o"
GDB_W1-F12_134,GDB_W1-F12,2.0134466828451316,"-1,dsgdb9nsd_000160,4,dsgdb9nsd_c,8,dsgdb9nsd_h,1,dsgdb9nsd_o"
GDB_W1-F12_135,GDB_W1-F12,1.6937088106790519,"-1,dsgdb9nsd_000161,3,dsgdb9nsd_c,6,dsgdb9nsd_h,2,dsgdb9nsd_o"
GDB_W1-F12_136,GDB_W1-F12,2.061717965195689,"-1,dsgdb9nsd_000162,5,dsgdb9nsd_c,8,dsgdb9nsd_h"
GDB_W1-F12_137,GDB_W1-F12,1.7332449818853337,"-1,dsgdb9nsd_000163,4,dsgdb9nsd_c,6,dsgdb9nsd_h,1,dsgdb9nsd_o"
GDB_W1-F12_138,GDB_W1-F12,1.7423736026262093,"-1,dsgdb9nsd_000164,4,dsgdb9nsd_c,6,dsgdb9nsd_h,1,dsgdb9nsd_o"
GDB_W1-F12_139,GDB_W1-F12,1.4994208919466205,"-1,dsgdb9nsd_000165,3,dsgdb9nsd_c,4,dsgdb9nsd_h,2,dsgdb9nsd_n"
GDB_W1-F12_140,GDB_W1-F12,1.2808175729999431,"-1,dsgdb9nsd_000166,2,dsgdb9nsd_c,3,dsgdb9nsd_h,3,dsgdb9nsd_n"
GDB_W1-F12_141,GDB_W1-F12,1.3084151241380224,"-1,dsgdb9nsd_000167,2,dsgdb9nsd_c,3,dsgdb9nsd_h,3,dsgdb9nsd_n"
GDB_W1-F12_142,GDB_W1-F12,1.2984144136158415,"-1,dsgdb9nsd_000168,2,dsgdb9nsd_c,3,dsgdb9nsd_h,3,dsgdb9nsd_n"
GDB_W1-F12_143,GDB_W1-F12,1.2872581332895772,"-1,dsgdb9nsd_000169,2,dsgdb9nsd_c,3,dsgdb9nsd_h,3,dsgdb9nsd_n"
GDB_W1-F12_144,GDB_W1-F12,1.356570786082834,"-1,dsgdb9nsd_000170,3,dsgdb9nsd_c,3,dsgdb9nsd_h,1,dsgdb9nsd_n,1,dsgdb9nsd_o"
GDB_W1-F12_145,GDB_W1-F12,1.1427700472159465,"-1,dsgdb9nsd_000171,2,dsgdb9nsd_c,2,dsgdb9nsd_h,2,dsgdb9nsd_n,1,dsgdb9nsd_o"
GDB_W1-F12_146,GDB_W1-F12,1.1674072581889905,"-1,dsgdb9nsd_000172,2,dsgdb9nsd_c,2,dsgdb9nsd_h,2,dsgdb9nsd_n,1,dsgdb9nsd_o"
GDB_W1-F12_147,GDB_W1-F12,1.1771856986008928,"-1,dsgdb9nsd_000173,2,dsgdb9nsd_c,2,dsgdb9nsd_h,2,dsgdb9nsd_n,1,dsgdb9nsd_o"
GDB_W1-F12_148,GDB_W1-F12,0.931458398577282,"-1,dsgdb9nsd_000174,1,dsgdb9nsd_c,1,dsgdb9nsd_h,3,dsgdb9nsd_n,1,dsgdb9nsd_o"
GDB_W1-F12_149,GDB_W1-F12,1.1257358765111742,"-1,dsgdb9nsd_000175,2,dsgdb9nsd_c,2,dsgdb9nsd_h,2,dsgdb9nsd_n,1,dsgdb9nsd_o"
GDB_W1-F12_150,GDB_W1-F12,1.7611080831176955,"-1,dsgdb9nsd_000178,4,dsgdb9nsd_c,5,dsgdb9nsd_h,1,dsgdb9nsd_n,1,dsgdb9nsd_o"
