Index,Molecule,TBE in common unit,fd step
V30_196,HF_HCN,2152.48 ,0.001
V30_197,HF_HCN,3434.33 ,0.001
V30_198,HF_HCN,3887.28 ,0.001
V30_199,HF_HF,161.07 ,0.003
V30_200,HF_HF,218.31 ,0.003
V30_201,HF_HF,466.08 ,0.003
V30_202,HF_HF,568.48 ,0.003
V30_203,HF_HF,4025.09 ,0.001
V30_204,HF_HF,4104.24 ,0.001
V30_205,C2H4_Ar,45.88 ,0.01
V30_206,C2H4_Ar,67.70 ,0.01
V30_207,C2H4_Ar,824.83 ,0.003
V30_208,C2H4_Ar,951.38 ,0.003
V30_209,C2H4_Ar,964.84 ,0.003
V30_210,C2H4_Ar,1048.18 ,0.001
V30_211,C2H4_Ar,1246.84 ,0.001
V30_212,C2H4_Ar,1367.53 ,0.001
V30_213,C2H4_Ar,1476.87 ,0.001
V30_214,C2H4_Ar,1669.46 ,0.001
V30_215,C2H4_Ar,3139.80 ,0.001
V30_216,C2H4_Ar,3154.40 ,0.001
V30_217,C2H4_Ar,3221.82 ,0.001
V30_218,C2H4_Ar,3246.98 ,0.001
V30_219,HF_N2,77.22 ,0.01
V30_220,HF_N2,118.25 ,0.003
V30_221,HF_N2,384.47 ,0.003
V30_222,HF_N2,2364.93 ,0.001
V30_223,HF_N2,4079.13 ,0.001
V30_224,HF_Ar,62.17 ,0.01
V30_225,HF_Ar,157.53 ,0.003
V30_226,HF_Ar,4124.09 ,0.001
V30_227,CH4_Ar,47.12 ,0.01
V30_228,CH4_Ar,60.81 ,0.01
V30_229,CH4_Ar,60.81 ,0.01
V30_230,CH4_Ar,1344.71 ,0.001
V30_231,CH4_Ar,1345.44 ,0.001
V30_232,CH4_Ar,1569.63 ,0.001
V30_233,CH4_Ar,3031.96 ,0.001
V30_234,CH4_Ar,3153.45 ,0.001
V30_235,CH4_Ar,3153.78 ,0.001
V30_236,H2O_CH4,74.36 ,0.01
V30_237,H2O_CH4,82.60 ,0.01
V30_238,H2O_CH4,89.94 ,0.01
V30_239,H2O_CH4,170.76 ,0.003
V30_240,H2O_CH4,1346.34 ,0.001
V30_241,H2O_CH4,1348.41 ,0.001
V30_242,H2O_CH4,1350.18 ,0.001
V30_243,H2O_CH4,1571.69 ,0.001
V30_244,H2O_CH4,1574.36 ,0.001
V30_245,H2O_CH4,1651.85 ,0.001
V30_246,H2O_CH4,3026.43 ,0.001
V30_247,H2O_CH4,3144.42 ,0.001
V30_248,H2O_CH4,3148.10 ,0.001
V30_249,H2O_CH4,3155.48 ,0.001
V30_250,H2O_CH4,3828.88 ,0.001
V30_251,H2O_CH4,3937.10 ,0.001
V30_252,NH3_Ar,48.23 ,0.01
V30_253,NH3_Ar,58.85 ,0.01
V30_254,NH3_Ar,71.36 ,0.01
V30_255,NH3_Ar,1060.91 ,0.001
V30_256,NH3_Ar,1672.88 ,0.001
V30_257,NH3_Ar,1673.98 ,0.001
V30_258,NH3_Ar,3475.27 ,0.001
V30_259,NH3_Ar,3606.32 ,0.001
V30_260,NH3_Ar,3606.53 ,0.001
V30_261,N2_N2,55.15 ,0.01
V30_262,N2_N2,2354.48 ,0.001
V30_263,N2_N2,2354.73 ,0.001
V30_264,HF_C2H2,94.78 ,0.01
V30_265,HF_C2H2,142.50 ,0.003
V30_266,HF_C2H2,423.07 ,0.003
V30_267,HF_C2H2,488.94 ,0.003
V30_268,HF_C2H2,615.39 ,0.003
V30_269,HF_C2H2,648.87 ,0.003
V30_270,HF_C2H2,752.99 ,0.003
V30_271,HF_C2H2,772.64 ,0.003
V30_272,HF_C2H2,1999.79 ,0.001
V30_273,HF_C2H2,3397.72 ,0.001
V30_274,HF_C2H2,3490.21 ,0.001
V30_275,HF_C2H2,3967.56 ,0.001
Pol130_1,AlF,5.97 ,0.01
Pol130_2,AlF,5.13 ,0.01
Pol130_3,Ar,1.63 ,0.01
Pol130_4,Be,5.62 ,0.01
Pol130_5,BeH,5.40 ,0.01
Pol130_6,BeH,3.83 ,0.01
Pol130_7,BeH2,2.91 ,0.01
Pol130_8,BeH2,2.97 ,0.01
Pol130_9,BF,2.95 ,0.01
Pol130_10,BF,2.69 ,0.01
Pol130_11,BH2,2.83 ,0.01
Pol130_12,BH2,3.02 ,0.01
Pol130_13,BH2,2.91 ,0.01
Pol130_14,BH2Cl,3.55 ,0.01
Pol130_15,BH2Cl,4.04 ,0.01
Pol130_16,BH2Cl,5.49 ,0.01
Pol130_17,BH2F,2.08 ,0.01
Pol130_18,BH2F,2.65 ,0.01
Pol130_19,BH2F,2.62 ,0.01
Pol130_20,BH3,2.73 ,0.01
Pol130_21,BH3,2.10 ,0.01
Pol130_22,BHF2,2.05 ,0.01
Pol130_23,BHF2,2.60 ,0.01
Pol130_24,BHF2,2.50 ,0.01
Pol130_25,BO,2.25 ,0.01
Pol130_26,BO,2.80 ,0.01
Pol130_27,BS,4.34 ,0.01
Pol130_28,BS,6.28 ,0.01
Pol130_29,C2H,3.02 ,0.01
Pol130_30,C2H,3.87 ,0.01
Pol130_31,C2H2,2.76 ,0.01
Pol130_32,C2H2,4.50 ,0.01
Pol130_33,C2H3,3.44 ,0.01
Pol130_34,C2H3,5.00 ,0.01
Pol130_35,C2H3,3.13 ,0.01
Pol130_36,C2H4,3.25 ,0.01
Pol130_37,C2H4,3.70 ,0.01
Pol130_38,C2H4,5.07 ,0.01
Pol130_39,CH2BH,4.12 ,0.01
Pol130_40,CH2BH,3.61 ,0.01
Pol130_41,CH2BH,5.76 ,0.01
Pol130_42,CH2F,2.23 ,0.01
Pol130_43,CH2F,2.55 ,0.01
Pol130_44,CH2F,2.32 ,0.01
Pol130_45,CH2NH,3.21 ,0.01
Pol130_46,CH2NH,2.52 ,0.01
Pol130_47,CH2NH,4.03 ,0.01
Pol130_48,CH2PH,7.61 ,0.01
Pol130_49,CH2PH,4.93 ,0.01
Pol130_50,CH2PH,5.64 ,0.01
Pol130_51,CH2-t,2.11 ,0.01
Pol130_52,CH2-t,2.30 ,0.01
Pol130_53,CH2-t,2.02 ,0.01
Pol130_54,CH3,2.34 ,0.01
Pol130_55,CH3,2.34 ,0.01
Pol130_56,CH3BH2,3.70 ,0.01
Pol130_57,CH3BH2,4.87 ,0.01
Pol130_58,CH3BH2,4.25 ,0.01
Pol130_59,CH3Cl,3.93 ,0.01
Pol130_60,CH3Cl,5.39 ,0.01
Pol130_61,CH3F,2.37 ,0.01
Pol130_62,CH3F,2.56 ,0.01
Pol130_63,CH3NH2,4.11 ,0.01
Pol130_64,CH3NH2,3.61 ,0.01
Pol130_65,CH3NH2,3.51 ,0.01
Pol130_66,CH3O,4.18 ,0.01
Pol130_67,CH3O,3.40 ,0.01
Pol130_68,CH3OH,3.00 ,0.01
Pol130_69,CH3OH,3.40 ,0.01
Pol130_70,CH3OH,2.92 ,0.01
Pol130_71,CH3SH,6.29 ,0.01
Pol130_72,CH3SH,4.98 ,0.01
Pol130_73,CH3SH,4.98 ,0.01
Pol130_74,CH4,2.43 ,0.01
Pol130_75,Cl2,3.67 ,0.01
Pol130_76,Cl2,6.17 ,0.01
Pol130_77,ClCN,3.39 ,0.01
Pol130_78,ClCN,6.64 ,0.01
Pol130_79,ClF,2.36 ,0.01
Pol130_80,ClF,3.34 ,0.01
Pol130_81,CN,2.41 ,0.01
Pol130_82,CN,3.78 ,0.01
Pol130_83,CO,1.75 ,0.01
Pol130_84,CO,2.28 ,0.01
Pol130_85,CO2,1.89 ,0.01
Pol130_86,CO2,3.95 ,0.01
Pol130_87,CS,3.51 ,0.01
Pol130_88,CS,5.61 ,0.01
Pol130_89,CSO,3.78 ,0.01
Pol130_90,CSO,7.78 ,0.01
Pol130_91,F2,0.95 ,0.01
Pol130_92,F2,1.84 ,0.01
Pol130_93,FCN,2.16 ,0.01
Pol130_94,FCN,3.72 ,0.01
Pol130_95,FCO,3.32 ,0.01
Pol130_96,FCO,2.40 ,0.01
Pol130_97,FCO,2.03 ,0.01
Pol130_98,FH-OH,1.89 ,0.01
Pol130_99,FH-OH,1.60 ,0.01
Pol130_100,FH-OH,2.28 ,0.01
Pol130_101,FNO,3.45 ,0.01
Pol130_102,FNO,2.47 ,0.01
Pol130_103,FNO,1.75 ,0.01
Pol130_104,H,0.67 ,0.01
Pol130_105,H2,0.68 ,0.01
Pol130_106,H2,0.95 ,0.01
Pol130_107,H2CN,2.26 ,0.01
Pol130_108,H2CN,2.77 ,0.01
Pol130_109,H2CN,3.66 ,0.01
Pol130_110,H2O,1.36 ,0.01
Pol130_111,H2O,1.46 ,0.01
Pol130_112,H2O,1.41 ,0.01
Pol130_113,H2O-Li,38.53 ,0.001
Pol130_114,H2O-Li,33.53 ,0.001
Pol130_115,H2O-Li,43.73 ,0.001
Pol130_116,HBO,2.10 ,0.01
Pol130_117,HBO,3.17 ,0.01
Pol130_118,HBS,4.21 ,0.01
Pol130_119,HBS,6.68 ,0.01
Pol130_120,HCCCl,3.98 ,0.01
Pol130_121,HCCCl,8.16 ,0.01
Pol130_122,HCCF,2.75 ,0.01
Pol130_123,HCCF,4.77 ,0.01
Pol130_124,HCHO,1.91 ,0.01
Pol130_125,HCHO,2.63 ,0.01
Pol130_126,HCHO,3.29 ,0.01
Pol130_127,HCHS,3.89 ,0.01
Pol130_128,HCHS,4.57 ,0.01
Pol130_129,HCHS,6.67 ,0.01
Pol130_130,HCl,2.46 ,0.01
Pol130_131,HCl,2.71 ,0.01
Pol130_132,HCN,2.06 ,0.01
Pol130_133,HCN,3.30 ,0.01
Pol130_134,HCO,2.63 ,0.01
Pol130_135,HCO,2.89 ,0.01
Pol130_136,HCO,1.93 ,0.01
Pol130_137,HCONH2,5.19 ,0.01
Pol130_138,HCONH2,4.09 ,0.01
Pol130_139,HCONH2,2.97 ,0.01
Pol130_140,HCOOH,4.01 ,0.01
Pol130_141,HCOOH,3.52 ,0.01
Pol130_142,HCOOH,2.40 ,0.01
Pol130_143,HCP,4.44 ,0.01
Pol130_144,HCP,6.90 ,0.01
Pol130_145,He,0.21 ,0.01
Pol130_146,HF,0.76 ,0.01
Pol130_147,HF,0.93 ,0.01
Pol130_148,HNC,2.31 ,0.01
Pol130_149,HNC,3.48 ,0.01
Pol130_150,HNO,1.59 ,0.01
Pol130_151,HNO,2.29 ,0.01
Pol130_152,HNO,2.77 ,0.01
Pol130_153,HNS,5.63 ,0.01
Pol130_154,HNS,3.92 ,0.01
Pol130_155,HNS,3.44 ,0.01
Pol130_156,HO2,1.74 ,0.01
Pol130_157,HO2,2.70 ,0.01
Pol130_158,HO2,1.48 ,0.01
Pol130_159,HOCl,2.93 ,0.01
Pol130_160,HOCl,2.79 ,0.01
Pol130_161,HOCl,4.21 ,0.01
Pol130_162,HOF,1.52 ,0.01
Pol130_163,HOF,1.35 ,0.01
Pol130_164,HOF,2.35 ,0.01
Pol130_165,HOOH,2.01 ,0.01
Pol130_166,HOOH,2.79 ,0.01
Pol130_167,HOOH,1.86 ,0.01
Pol130_168,Li2,24.44 ,0.001
Pol130_169,Li2,43.92 ,0.001
Pol130_170,LiBH4,4.30 ,0.01
Pol130_171,LiBH4,4.67 ,0.01
Pol130_172,LiCl,3.78 ,0.01
Pol130_173,LiCl,3.98 ,0.01
Pol130_174,LiCN,3.72 ,0.01
Pol130_175,LiCN,3.87 ,0.01
Pol130_176,LiCN,3.15 ,0.01
Pol130_177,LiH,4.37 ,0.001
Pol130_178,LiH,3.81 ,0.001
Pol130_179,Mg,10.59 ,0.001
Pol130_180,Mg2,18.40 ,0.001
Pol130_181,Mg2,32.40 ,0.001
Pol130_182,N,1.08 ,0.01
Pol130_183,N2,1.51 ,0.01
Pol130_184,N2,2.18 ,0.01
Pol130_185,N2H2,3.50 ,0.01
Pol130_186,N2H2,2.07 ,0.01
Pol130_187,N2H2,2.87 ,0.01
Pol130_188,N2H4,3.12 ,0.01
Pol130_189,N2H4,3.72 ,0.01
Pol130_190,N2H4,3.16 ,0.01
Pol130_191,Na,24.32 ,0.003
Pol130_192,Na2,30.43 ,0.001
Pol130_193,Na2,55.12 ,0.001
Pol130_194,NaCl,4.18 ,0.001
Pol130_195,NaCl,4.84 ,0.001
Pol130_196,NaCN,4.46 ,0.01
Pol130_197,NaCN,4.10 ,0.01
Pol130_198,NaCN,3.47 ,0.01
Pol130_199,NaH,5.81 ,0.001
Pol130_200,NaH,8.17 ,0.001
Pol130_201,NaLi,27.51 ,0.001
Pol130_202,NaLi,50.35 ,0.001
Pol130_203,NCO,2.28 ,0.01
Pol130_204,NCO,4.83 ,0.01
Pol130_205,Ne,0.39 ,0.01
Pol130_206,NH,1.33 ,0.01
Pol130_207,NH,1.70 ,0.01
Pol130_208,NH2,1.57 ,0.01
Pol130_209,NH2,1.86 ,0.01
Pol130_210,NH2,1.92 ,0.01
Pol130_211,NH2Cl,3.43 ,0.01
Pol130_212,NH2Cl,3.43 ,0.01
Pol130_213,NH2Cl,5.00 ,0.01
Pol130_214,NH2F,2.09 ,0.01
Pol130_215,NH2F,2.42 ,0.01
Pol130_216,NH2F,2.06 ,0.01
Pol130_217,NH2OH,2.65 ,0.01
Pol130_218,NH2OH,3.24 ,0.01
Pol130_219,NH2OH,2.48 ,0.01
Pol130_220,NH3,2.00 ,0.01
Pol130_221,NH3,2.24 ,0.01
Pol130_222,NH3O,2.66 ,0.01
Pol130_223,NH3O,3.70 ,0.01
Pol130_224,NO,1.49 ,0.01
Pol130_225,NO,2.19 ,0.01
Pol130_226,NOCl,4.70 ,0.01
Pol130_227,NOCl,7.05 ,0.01
Pol130_228,NOCl,3.39 ,0.01
Pol130_229,NP,3.52 ,0.01
Pol130_230,NP,5.42 ,0.01
Pol130_231,O2,1.21 ,0.01
Pol130_232,O2,2.26 ,0.01
Pol130_233,O3,1.75 ,0.01
Pol130_234,O3,4.59 ,0.01
Pol130_235,O3,2.13 ,0.01
Pol130_236,OCl,2.42 ,0.01
Pol130_237,OCl,4.17 ,0.01
Pol130_238,OCl2,4.21 ,0.01
Pol130_239,OCl2,7.73 ,0.01
Pol130_240,OCl2,4.63 ,0.01
Pol130_241,OF,1.09 ,0.01
Pol130_242,OF,2.03 ,0.01
Pol130_243,OF2,1.45 ,0.01
Pol130_244,OF2,2.95 ,0.01
Pol130_245,OF2,1.98 ,0.01
Pol130_246,OH,1.26 ,0.01
Pol130_247,P,3.71 ,0.01
Pol130_248,P2,5.92 ,0.01
Pol130_249,P2,10.16 ,0.01
Pol130_250,P2H4,7.39 ,0.01
Pol130_251,P2H4,10.70 ,0.01
Pol130_252,P2H4,7.41 ,0.01
Pol130_253,PH,3.91 ,0.01
Pol130_254,PH,4.36 ,0.01
Pol130_255,PH2,4.08 ,0.01
Pol130_256,PH2,4.41 ,0.01
Pol130_257,PH2,4.50 ,0.01
Pol130_258,PH2OH,4.87 ,0.01
Pol130_259,PH2OH,4.95 ,0.01
Pol130_260,PH2OH,4.85 ,0.01
Pol130_261,PH3,4.41 ,0.01
Pol130_262,PH3,4.62 ,0.01
Pol130_263,PH3O,4.09 ,0.01
Pol130_264,PH3O,4.92 ,0.01
Pol130_265,PS,9.37 ,0.01
Pol130_266,S2,4.66 ,0.01
Pol130_267,S2,8.69 ,0.01
Pol130_268,S2H2,5.66 ,0.01
Pol130_269,S2H2,8.29 ,0.01
Pol130_270,S2H2,5.63 ,0.01
Pol130_271,SCl,7.20 ,0.01
Pol130_272,SCl2,5.58 ,0.01
Pol130_273,SCl2,10.07 ,0.01
Pol130_274,SCl2,7.04 ,0.01
Pol130_275,SF,3.60 ,0.01
Pol130_276,SF2,3.17 ,0.01
Pol130_277,SF2,3.82 ,0.01
Pol130_278,SF2,3.45 ,0.01
Pol130_279,SH,3.45 ,0.01
Pol130_280,SH2,3.63 ,0.01
Pol130_281,SH2,3.57 ,0.01
Pol130_282,SH2,3.56 ,0.01
Pol130_283,SiH3,5.01 ,0.01
Pol130_284,SiH3,4.98 ,0.01
Pol130_285,SiH3Cl,5.66 ,0.01
Pol130_286,SiH3Cl,7.16 ,0.01
Pol130_287,SiH3F,4.23 ,0.01
Pol130_288,SiH3F,3.88 ,0.01
Pol130_289,SiH4,4.59 ,0.01
Pol130_290,SiO,4.02 ,0.01
Pol130_291,SiO,5.08 ,0.01
Pol130_292,SO2,2.89 ,0.01
Pol130_293,SO2,5.02 ,0.01
Pol130_294,SO2,3.38 ,0.01
Pol130_295,SO-trip,2.94 ,0.01
Pol130_296,SO-trip,4.35 ,0.01
