Name,Datatype_Short,Datatype,Description,Theory level,#datapoints,RMS energy(kcal/mol),min,max,year for last update,MGCDB84,GMTKN55,Error(kcal/mol)
Dip146,EF,Electric field,Dipole moments (including individual components) for 146 small systems at equilibrium,CCSD(T)/aCV[TQ]Z or aCV[Q5]Z,190,0.12 ,-0.44 ,0.33 ,2018,,,
HR46,EF,Electric field,Static polarizabilities (including individual components) for 46 systems at equilibrium,FPA-a[DT]Z to FPA-a[Q5]Z,128,0.47 ,0.08 ,1.08 ,2023,,,
OEEF,EF,Electric field,Relative energies in oriented external electric fields compared to zero field,CCSD(T)/aQZ,136,18.02 ,-77.52 ,18.88 ,2023,,,
Pol130,EF,Electric field,Static polarizabilities (including individual components) for 130 small systems at equilibrium,CCSD(T)/aCV[TQ]Z or aCV[Q5]Z,296,1.64 ,0.02 ,4.53 ,2018,,,
T144,EF,Electric field,Static polarizabilities (including individual components) for 144 systems at equilibrium,FPA-a[DT]Z to FPA-a[TQ]Z,421,0.69 ,0.15 ,1.85 ,2023,,,
V30,FREQ,Frequency,"Frequencies of small molecular dimers with different polarity combinations (polar-polar, polar-nonpolar, and nonpolar-nonpolar).",CCSD(T)/haQZ,275,6.00E-04,7.00E-06,1.44E-03,2022,,,
ACONF,INC,Intramolecular Noncovalent,Isomerization energies of alkane conformers ,W1h-val,15,2.23 ,0.60 ,4.93 ,2009,ACONF,ACONF,
Amino20x4,INC,Intramolecular Noncovalent,Isomerization energies of amino acid conformers,MP2-F12/TZ-F12 + CCSD(Ts)-F12b/DZ-F12,80,2.98 ,0.06 ,7.37 ,2016,"CYCONF, YMPJ519 ",AMINO20x4,
BUT14DIOL,INC,Intramolecular Noncovalent,"Isomerization energies of butane-1,4-diol conformers",W1-F12,64,2.91 ,0.15 ,4.70 ,2017,Butanediol165,BUT14DIOL,
ICONF,INC,Intramolecular Noncovalent,Isomerization energies in conformers of inorganic systems,W1-F12,17,4.54 ,0.10 ,12.16 ,2017,,ICONF,
IDISP,INC,Intramolecular Noncovalent,Intramolecular dispersion interactions,DLPNO-CCSD(T)/aug-cc-pV[TQ]Z,6,25.23 ,-60.28 ,9.10 ,2017,,IDISP,
MCONF,INC,Intramolecular Noncovalent,Isomerization energies of melatonin conformers,DLPNO-CCSD(T)/a[TQ]Z,51,5.36 ,0.39 ,8.75 ,2017,Melatonin52,MCONF,
PCONF21,INC,Intramolecular Noncovalent,Isomerization energies of tri- and tetrapeptide conformers,DLPNO-CCSD(T)/a[TQ]Z,18,1.79 ,0.02 ,2.80 ,2017,,PCONF,<0.05 on ACONF
Pentane13,INC,Intramolecular Noncovalent,Isomerization energies of stationary points on the n-pentane torsional surface ,CCSD(T)-F12b/TZ,13,6.75 ,0.60 ,16.56 ,2013,Pentane14 ,,
SCONF,INC,Intramolecular Noncovalent,Isomerization energies of sugar conformers,DLPNO-CCSD(T)/aug-cc-pV[TQ]Z,17,4.96 ,0.20 ,6.31 ,2017,,SCONF,
UPU23,INC,Intramolecular Noncovalent,Isomerization energies of RNA-backbone conformers ,"HF/CBS(2,3) + DLPNO-CCSD(T)/def2-TZVP corrected by MP2/CBS(2,3)",23,6.52 ,0.57 ,14.41 ,2017,,UPU23,
AlkIsomer11,ISO,Isomerization,Isomerization energies of alkanes with 4-8 carbon atoms.,W1h and W3.2lite,11,1.81 ,-3.69 ,-0.23 ,2009,AlkIsomer11 ,,
C20C246,ISO,Isomerization,Isomerization energies of C20 and C24 ,MP2-F12/[DT]Z (or MP2/[Q5]Z) +CCSD(T)/TZ,6,41.54 ,-5.84 ,84.64 ,2016,C20C24 ,,
C60ISO7,ISO,Isomerization,Isomerization energies of C60 isomers,"HF/CBS(2,3) + DLPNO-CCSD(T)/def2-TZVP corrected by MP2/CBS(2,3)",7,105.80 ,37.40 ,164.88 ,2017,,C60ISO,
DIE60,ISO,Isomerization,Isomerization energies for double-bond migration in conjugated dienes,W1-F12 or W2-F12,60,5.06 ,-6.14 ,8.60 ,2014,DIE60,CDIE20,
EIE22,ISO,Isomerization,Isomerization energies of enecarbonyls ,W1-F12,22,4.97 ,-2.75 ,9.23 ,2015,EIE22 ,,
ISO34,ISO,Isomerization,Isomerisation energies of small- and medium-sized organic molecules,W1-F12,34,20.30 ,1.06 ,66.06 ,2017,,ISO34,
ISOL23,ISO,Isomerization,Isomerisation energies of large organic molecules,PNO-LCCSD(T)-F12b/haQZ/Tight,23,28.03 ,0.14 ,71.01 ,2023,,ISOL24,a few tenths
ISOMERIZATION20,ISO,Isomerization,Isomerization energies from the W4-11 dataset,W4 etc,20,44.05 ,-91.87 ,-0.21 ,2011,ISOMERIZATION20,,
PArel,ISO,Isomerization,Isomerization energies of protonated isomers,CCSD(T)/def2-[TQ]ZVPP,20,6.23 ,0.60 ,17.88 ,2017,,PArel,
Styrene42,ISO,Isomerization,Isomerization energies of C8H8 ,W1-F12,42,67.58 ,11.52 ,124.46 ,2012,Styrene45 ,,
TAUT15,ISO,Isomerization,Isomerization energies of tautomers,"W1-F12//SCS(1.1,0.6)-MP2/def2-QZVP",15,4.52 ,-5.44 ,13.03 ,2017,,TAUT15,
3B-69,NC,Noncovalent,3-Body non-additive interaction energies in three different orientations of 23 molecular crystals ,"HF/aQZ+MP2/a[TQ]Z+CCSD(T) /aDZ. For dozen small cases, CCSD(T) /aTZ used",69,0.69 ,-2.42 ,1.69 ,2015,3B-69-TRIM ,,
3BHET,NC,Noncovalent,3-Body non-additive interaction energies in molecular trimers,"HF/a5Z+MP2/a[Q5]Z+CCSD(T) /aDZ. For small cases, CCSD(T) /aTZ used",20,2.01 ,-4.62 ,4.15 ,2023,,,
A19Rel6,NC,Noncovalent,Relative energies of 19 complexes from the A24 set on potential energy curves (PECs),HF/aQZ+G18+G20,114,1.65 ,0.08 ,5.98 ,2015,A21x12,,
A24,NC,Noncovalent,Highly accurate binding energies of small non-covalent complexes ,CCSD(T)/aug-cc-pV[TQ5(6)]Z + CCSDT(Q)/aDZ,24,2.65 ,-6.55 ,1.10 ,2015,A24,,
ADIM6,NC,Noncovalent,Interaction energies of n-alkane dimers,W1-F12,6,3.66 ,1.34 ,5.55 ,2017,,ADIM6,
AHB21,NC,Noncovalent,Interaction energies in anion-neutral dimers ,"CCSD(T)(many, like F12-[DT]Z, [TQ]Z)",21,26.17 ,-65.68 ,-7.97 ,2015,Ionic43,AHB21,
Bauza30,NC,Noncovalent,"Binding energies of halogen-, chalcogen-, and pnicogen-bonded dimers ",CCSD(T)/a[Q5]Z half CP,30,23.65 ,-46.42 ,-1.42 ,2014,Bauza30 ,,
BzDC215,NC,Noncovalent,PECs for benzene interacting with two rare-gas atoms and eight first- and second-row hydrides ,HF/aQZ+MP2/a[TQ]Z+CCSD(T) /aTZ,215,1.81 ,-4.20 ,4.01 ,2009,BzDC215,,
CARBHB8,NC,Noncovalent,"Binding energies of hydrogen-bonded complexes between carbene analogues and H2O, NH3, or HCl ",W2-F12,8,7.47 ,1.21 ,16.30 ,2017,,CARBHB12,
CHB6,NC,Noncovalent,Interaction energies in cation-neutral dimers ,"CCSD(T)(many, like F12-[DT]Z, [TQ]Z)",6,27.85 ,-39.09 ,-17.83 ,2015,Ionic43,CHB6,
CT20,NC,Noncovalent,Binding energies of charge-transfer complexes ,"CCSD(T)-F12b/TZ. For TTF-TCNQ, HF/aQZ+MP2/a[TQ]Z+CCSD(T) /6-31G*(0.25)",20,1.07 ,-1.83 ,-0.32 ,2012,CT20 ,,
DS14,NC,Noncovalent,Binding energies of complexes containing divalent sulfur,HF/aQZ+MP2/a[TQ]Z+CCSD(T) /aTZ,14,3.70 ,-6.33 ,-0.85 ,2012,DS14,,
FmH2O10,NC,Noncovalent,Binding energies of isomers of F-(H2O)10 ,HF/aQZ+MP2/a[TQ]Z+ CCSD(T)-F12/aDZ,10,168.50 ,-171.42 ,-163.59 ,2015,FmH2O10 ,,
H2O16Rel4,NC,Noncovalent,Isomerization energies of (H2O)16 (boat and fused cube structures) ,CCSD(T)/aTZ,4,0.45 ,0.25 ,0.54 ,2010,H2O16Rel5 ,,
H2O20Rel9,NC,Noncovalent,Isomerization energies of (H2O)20 (low-energy structures) ,HF/aQZ+MP2/a[TQ]Z+ CCSD(T)-F12/aDZ/GEBF,9,2.76 ,1.34 ,3.95 ,2015,H2O20Rel10 ,,GEBF of MP2 has a error about 1.75 kcal/mol
HB262,NC,Noncovalent,Binding energies of hydrogen-bonded systems ,HF/a5Z+MP2/a[Q5]Z+CCSD(T) /haTZ,262,7.20 ,-20.52 ,-2.12 ,2020,,,
HB49,NC,Noncovalent,Binding energies of small- and medium-sized hydrogen-bonded systems ,"W4-like for 16 small ones, then HF/a[56]Z+MP2/a[56]Z+CCSD(T) /a[TQ]Z",49,14.12 ,-33.85 ,-1.75 ,2015,HB49 ,,
HCP32,NC,Noncovalent,"Binding energies of halogen-, chalcogen-, and pnicogen-bonded dimers ",CCSD(T)/aTZ,32,4.39 ,-8.21 ,-1.02 ,2017,,,
He3,NC,Noncovalent,3-Body non-additive interaction energies in helium trimers,CCSD(T)/d[67]Z +….+ FCI/a3Z,49,25.79 ,-130.80 ,5.40 ,2023,,,
HEAVY28,NC,Noncovalent,Binding energies between heavy element hydrides,"CCSD(T)/awCV[TQ]Z-PP, CP-corrected",28,1.43 ,0.36 ,3.35 ,2017,,HEAVY28,
HSG,NC,Noncovalent,Binding energies of small ligands interacting with protein receptors,HF/aQZ+MP2/a[TQ]Z+CCSD(T) /haTZ,21,6.63 ,-19.08 ,0.38 ,2011,HSG,,
HW30,NC,Noncovalent,Binding energies of hydrocarbon-water dimers ,MP2-R12/K2--+CCSD(T) /haTZ,30,2.34 ,-3.81 ,-0.66 ,2012,HW30,,
HW6Cl5,NC,Noncovalent,Binding energies of Cl-(H2O)n (n = 1-6) ,CCSD(T)-F12/[DT]Z,5,62.84 ,-86.86 ,-31.01 ,2015,HW6Cl ,,
HW6F,NC,Noncovalent,Binding energies of F-(H2O)n (n =1-6) ,CCSD(T)-F12/[DT]Z,6,81.42 ,-116.58 ,-32.31 ,2015,HW6F ,,
IHB100,NC,Noncovalent,Binding energies of equilibrium ionic hydrogen-bonded dimers in the HCNO chemical space.,HF/a5Z+MP2/a[Q5]Z+CCSD(T) /haTZ,100,20.69 ,-40.93 ,-2.59 ,2020,,,
IHB100x2,NC,Noncovalent,Binding energies of ionic hydrogen bonds at 0.8 and 1.5 times the equilibrium disctance in IHB100 ,HF/a5Z+MP2/a[Q5]Z+CCSD(T) /haTZ,200,13.87 ,-31.07 ,0.41 ,2020,,,
IL16,NC,Noncovalent,Interaction energies in anion-cation dimers ,"CCSD(T)(many, like F12-[DT]Z, [TQ]Z)",16,109.34 ,-120.80 ,-87.42 ,2015,Ionic43,IL16,
NBC10,NC,Noncovalent,"PECs for BzBz (5), BzMe (1), MeMe (1), BzH2S (1), and PyPy (2)",HF/aQZ+MP2/a[TQ]Z+CCSD(T) /aTZ,184,1.91 ,-2.95 ,9.34 ,2011,NBC10,,0.023 on A24
NC11,NC,Noncovalent,Binding energies of very small non-covalent complexes ,CCSD(T)/CBS + T(Q)/aug-cc-pVTZ,11,0.48 ,-1.14 ,-0.03 ,2014,NC15,,
O24,NC,Noncovalent,Interaction energies in 24 small high-spin open-shell dimers,CCSD(T)/a[Q5]Z,24,7.13 ,-29.52 ,-0.06 ,2021,,,
O24x4,NC,Noncovalent,PECs for O24,CCSD(T)/a[Q5]Z,96,4.20 ,-25.51 ,0.15 ,2021,,,
PNICO23,NC,Noncovalent,Interaction energies in pnicogen-containing dimers,"W2-F12, W1-F12 for 3 large systems",23,5.02 ,0.64 ,10.97 ,2017,,PNICO23,
RG10N,NC,Noncovalent,PECs for the 10 rare-gas dimers involving helium through krypton ,,275,22.04 ,-0.39 ,238.40 ,,RG10 ,,
RG18,NC,Noncovalent,Interaction energies in rare-gas complexes,CCSD(T)/a[TQ]Z for all dimer interaction energies and otherwise CCSD(T)/aug-cc-pwCV[TQ]Z,18,0.71 ,0.08 ,1.51 ,2017,,RG18,
S22,NC,Noncovalent,Binding energies of noncovalently bound dimers,at least HF/aQZ+MP2/a[TQ]Z+CCSD(T) /aTZ,22,9.65 ,0.53 ,20.64 ,2011,S22,S22,
S66,NC,Noncovalent,Binding energies of noncovalently bound dimers,half-CP HF+CABS/aQZ-F12 + CP MP2-F12/a[TQ]Z-F12+ CP CCSD(F12*)/ha[DT]Z-F12+CP (T)/ha[TQ]Z+T(Q) correction,66,6.91 ,-19.83 ,-1.36 ,2022,S66,S66,extrapolation of aDZ and aTZ is worse than aTZ alone
S66Rel7,NC,Noncovalent,Relative energies of 66 complexes from the S66 set on PECs,"MP2(F12,CBS)+ CCSD(F12,TZ)+CCSD(T)(sano-V[DT]Z+)",462,2.74 ,-0.11 ,15.80 ,2022,S66x8,,
Shields38,NC,Noncovalent,Binding energies of (H2O)n (n = 2 - 10) ,PLATINUM: through (H2O)6; GOLD: (H2O)7; and SILVER: (H2O)n=8–10,38,51.61 ,-93.14 ,-4.97 ,2023,Shields38 ,,
SW49Bind22,NC,Noncovalent,Binding energies of isomers of SO42-(H2O) (n = 3 -5) ,HF/aQZ+MP2/a[TQ]Z+CCSD(T) /aTZ,22,34.20 ,-43.32 ,-19.98 ,2013,SW49Bind345 ,,
SW49Rel28,NC,Noncovalent,Isomerization energies of SO42-(H2O)n (n = 3-5) ,HF/aQZ+MP2/a[TQ]Z+CCSD(T) /aTZ,28,1.55 ,0.34 ,3.62 ,2013,SW49Rel345 ,,
TA13,NC,Noncovalent,Binding energies of dimers involving radicals ,CCSD(T)/a'[Q5]Z+T/TZ+ (Q) /DZ+ core/aQZ,13,22.00 ,-64.20 ,-1.69 ,2013,TA13 ,,
WATER27,NC,Noncovalent,"Binding energies in (H2O)n, H+(H2O)n and OH-(H2O)n","MP2-F12/[Q5]Z CP + CCSD(F12*)/a[DT]Z CP + CCSD(T)/ha[DT]Z CP for neutral and protonated water clusters, [TQ]Z anionic clusters. MP2-F12/[TQ]Z CP + Two-body{CCSD(F12*)/QZ + (T)/ha[TQ]Z} + Three-body{CCSD(F12*)/TZ + (T)/ha[DT]Z} for (H2O)20 ",27,101.19 ,4.97 ,210.76 ,2023,"WATER27, H2O20Bind4, H2O20Rel4 ",WATER27,(H2O)20 RMS difference is 0.51 kcal/mol with another paper
X40,NC,Noncovalent,Binding energies of complexes containing halogenated molecules ,half-CP MP2-F12/[TQ]Z-F12 + half-CP CCSD(T)/ha[TQ]Z (or ha[DT]Z),40,4.90 ,-14.14 ,-0.46 ,2012,X40,HAL59,
X40x5,NC,Noncovalent,PECs for X40,half-CP MP2-F12/[TQ]Z-F12 + half-CP CCSD(T)/ha[TQ]Z (or ha[DT]Z),200,4.02 ,-14.12 ,11.95 ,2012,X40,HAL59,
XB25,NC,Noncovalent,"Binding energies of halogen-bonded dimers, compiled from XB51 and XB18 after excluding same systems in X40","CCSD(T)/a[Q5]Z, CCSD(T)/aTZ+MP2/a[Q5]Z",25,5.88 ,-15.30 ,-0.74 ,2013,"XB51,XB18",HAL59,
AE11,TC,Thermochemistry,Absolute atomic energies of closed shell atoms from Ca to Rn,CCSD(T) corrected by MP2,11,6518017 ,-13725071 ,-425191 ,,,,
AE18,TC,Thermochemistry,Absolute atomic energies of hydrogen through argon ,Experimental fitting,18,148739 ,-331036 ,-314 ,1993,AE18 ,,0.06-2.4 difference of two estimates
AL2X6,TC,Thermochemistry,Dimerisation energies of AlX3 compounds,W2-F12,6,36.93 ,23.10 ,51.60 ,2017,,AL2X6 ,
ALK8,TC,Thermochemistry,Dissociation and other reactions of alkaline compounds,CCSD(T)/awCV[TQ]Z//PBEh-3c,8,69.97 ,25.30 ,131.13 ,2017,,ALK8,
AlkAtom19,TC,Thermochemistry,Atomization energies of n=1-8 alkane,"quasi-W4,W1h and W3.2lite for reaction energies and W4 values for ethane and propane",19,1829.31 ,-2484.26 ,-420.43 ,2009,AlkAtom19,,0.24 vs Exp.
ALKBDE10,TC,Thermochemistry,Dissociation energies in group-1 and -2 diatomics (many MR),Exp.,10,105.53 ,56.70 ,142.10 ,2017(15),,ALKBDE10,
AlkIsod14,TC,Thermochemistry,Isodesmic reaction energies in n = 3–8 alkanes.,W1h and W3.2lite,14,10.35 ,2.20 ,15.40 ,2009,AlkIsod14,,
BDE99MR,TC,Thermochemistry,Multi-reference (MR) bond dissociation energies from W4-11,W4 etc,16,54.51 ,-105.58 ,-5.27 ,2011,BDE99MR ,,
BDE99nonMR,TC,Thermochemistry,Single-reference (SR) bond dissociation energies from W4-11,W4 etc,83,114.98 ,-237.08 ,-19.69 ,2011,BDE99nonMR ,,
BH76RC,TC,Thermochemistry,Reaction energies of the BH76 set,W2-F12,30,30.36 ,-103.28 ,5.44 ,2017,BH76RC,BH76RC,
BSR36,TC,Thermochemistry,Hydrocarbon bond separation reaction energies,DLPNO-CCSD(T)/TightPNO/CBS(aug-cc-pVTZ/aug-cc-pVQZ),36,19.45 ,2.24 ,49.82 ,2017,BSR36,BSR36,
CR20,TC,Thermochemistry,Cycloreversion reaction energies,W1w and W1-F12,20,22.31 ,-35.70 ,-7.66 ,2016,CR20 ,,
DARC,TC,Thermochemistry,Reaction energies of Diels-Alder reactions,W1-F12,14,34.94 ,-60.80 ,-14.00 ,2017,,DARC,
DC13,TC,Thermochemistry,13 difficult cases for DFT methods,Various,13,71.32 ,-106.00 ,152.60 ,2017,,DC13,
DIPCS9,TC,Thermochemistry,Double-ionisation potentials of closed-shell systems,W1-F12,9,650.43 ,522.10 ,776.50 ,2017,,DIPCS10,"0.72, 2.13 (MR) vs W4"
EA50,TC,Thermochemistry,Vertical electron affinities,EKT-CCSD(T)/aQZ,50,45.42 ,-1.15 ,103.77 ,2021,,,
FH51,TC,Thermochemistry,Reaction energies in various (in-)organic systems,HF/QZ-F12+CABS +MP2/QZ-F12+CCSD(F12*)/TZ-F12 +(T)/[DT]Z-F12,51,45.35 ,-150.81 ,-0.18 ,2015(13),,FH51,
G21EA,TC,Thermochemistry,Adiabatic electron affinities,W3,25,41.05 ,0.19 ,89.09 ,1999,G21EA,G21EA,
G21IP,TC,Thermochemistry,Adiabatic ionisation potentials,W3,36,265.65 ,118.13 ,402.15 ,1999,G21EA,G21EA,
G2RC24,TC,Thermochemistry,Reaction energies of selected systems from G2/97 set,W2-F12,24,71.05 ,-216.11 ,-2.18 ,2017,,G2RC,
HAT707MR,TC,Thermochemistry,Heavy-atom transfer energies (MR) from W4-11,W4 etc,202,83.41 ,-242.64 ,233.12 ,2011,HAT707MR ,,
HAT707nonMR,TC,Thermochemistry,Heavy-atom transfer energies (SR) from W4-11,W4 etc,505,74.79 ,-194.28 ,242.71 ,2011,HAT707nonMR ,,
HEAVYSB11,TC,Thermochemistry,Dissociation energies in heavy-element (i.e. Ge Se Sb) compounds,CCSD(T)/awCV[TQ]Z-PP,11,58.56 ,43.79 ,73.82 ,2017,,HEAVYSB11,
HNBrBDE18,TC,Thermochemistry,Homolytic N-Br bond dissociation energies,W2,18,56.95 ,44.57 ,68.21 ,2015,HNBrBDE18,,"0.57,1.85 vs W4"
IP23,TC,Thermochemistry,Vertical ionization potentials,,23,307.03 ,230.77 ,496.56 ,2024,,,
IP30,TC,Thermochemistry,Vertical ionization potentials,IP-EOM-CCSD(T)/QZ + T/TZ,30,281.77 ,216.06 ,379.26 ,2019,,,
MB08-165,TC,Thermochemistry,"Decomposition energies of 165 artificially constructed molecules, each containing 8 atoms",CCSD(T)/[TQ]Z + core/cc-pCVTZ,165,154.46 ,-570.62 ,433.66 ,,,,
MB16-43,TC,Thermochemistry,"Decomposition energies of 43 artificially constructed molecules, each containing 16 atoms",W1-F12,43,539.03 ,-362.98 ,1290.74 ,2017,,MB16-43,
MX34,TC,Thermochemistry,Electronic atomization energies for a range of ionic clusters with the NaCl structure,W2 and W1X-2,34,833.23 ,52.27 ,1674.86 ,2023,,,
NBPRC,TC,Thermochemistry,"Oligomerizations and H2 fragmentations of NH3/BH3, H2 activation reactions with PH3/BH3 systems",W2-F12,12,30.91 ,-48.90 ,40.40 ,2017,NBPRC,NBPRC,
P34AE,TC,Thermochemistry,The atomization energies of systems containing heavy p-block elements up to xenon,W1-P34,44,617.89 ,32.32 ,1467.89 ,2021,,,1.1
P34EA,TC,Thermochemistry,The electron affinities of systems containing heavy p-block elements up to xenon,W1-P34,9,44.28 ,7.37 ,80.80 ,2021,,,1.1
P34IP,TC,Thermochemistry,The ionization potentials of systems containing heavy p-block elements up to xenon,W1-P34,15,224.49 ,129.17 ,327.90 ,2021,,,1.1
PA26,TC,Thermochemistry,Adiabatic proton affinities including amino acids,"W1-F12,W2-F12, CCSD(T)/def2-[TQ]ZVPP//PBEh-3c ",26,191.81 ,106.20 ,236.00 ,2017,,PA26,
PlatonicRE18,TC,Thermochemistry,"Reaction energies of homodesmotic, isodesmic, and isogyric reactions involving platonic hydrocarbon cages, CnHn (n = 4, 6, 8, 10, 12, 20)",W1-F12,18,227.24 ,-43.64 ,501.85 ,2015,PlatonicHD6,,
PlatonicTAE6,TC,Thermochemistry,"Total atomization energies of platonic hydrocarbon cages, CnHn (n = 4, 6, 8, 10, 12, 20)",W1-F12,6,2539.27 ,793.90 ,4621.46 ,2015,PlatonicTAE6,,
RC21,TC,Thermochemistry,Fragmentations and rearrangements in organic radical cations,W1-F12,21,43.94 ,-6.72 ,126.56 ,2017,,RC21,
RSE43,TC,Thermochemistry,Radical stabilization energies,W1-F12,43,9.96 ,-26.40 ,6.90 ,2017,,RSE43,
SIE4x4,TC,Thermochemistry,Self-interaction-error related problems,W2-F12,16,38.07 ,4.90 ,64.40 ,2017,,SIE4x4,"0.55,1.39 (MR) vs W4"
SN13,TC,Thermochemistry,Nucleophilic substitution energies ,W4 etc,13,25.67 ,-48.06 ,-2.54 ,2011,SN13 ,,
TAE_W4-17MR,TC,Thermochemistry,Total atomization energies (MR) from W4-17,W4 etc,17,141.49 ,53.07 ,234.33 ,2017,TAE140MR ,,
TAE_W4-17nonMR,TC,Thermochemistry,Total atomization energies (SR) from W4-17 ,W4 etc,183,518.60 ,39.05 ,1597.31 ,2017,TAE140nonMR ,,sigma =0.08
WCPT6,TC,Thermochemistry,Tautomerization energies for water-catalyzed proton-transfer reactions ,W2.2,6,7.53 ,-0.86 ,11.14 ,2012,WCPT6,,
YBDE18,TC,Thermochemistry,Bond-dissociation energies in ylides,W2-F12,18,53.11 ,12.31 ,91.14 ,2017(12),,YBDE18,
3d4dIPSS,TM,Transition Metal,Spin-state relative energies and ionization potentials for first-row (3d) and second-row (4d) transition metals,Mixed,32,138.97 ,1.92 ,212.28 ,,,,
CUAGAU83,TM,Transition Metal,"Atomization, ionization, isomerization, and binding energies  of molecular systems containing Cu, Ag, and Au","CM3 values for reactions 1-3 and CM1 energies for 4-14,W1X-G0 for CUAGAU2",83,114.12 ,-31.92 ,460.71 ,2020,,,good agreement with CM1
DAPD,TM,Transition Metal,Difficult bonding energies of Pd-containing diatomic molecules,W4X-L: up to CCSDTQ(5),12,64.93 ,18.24 ,87.00 ,2023,,,
MME52,TM,Transition Metal,Reaction energies and barrier heights of metalloenzyme models,DLPNO–CCSD(T)/def2-[TQ]ZVPP,52,21.71 ,-77.32 ,65.06 ,2023,,,
MOBH28,TM,Transition Metal,Barrier heights involving organometallic complexes compiled from real-life organometallic catalytic problems,"LNO-CCSD/def2-[TQ]ZVPP+(T)/def2-{SVP,TZVPP}+canonical/def2-SVP",56,26.91 ,-4.29 ,82.34 ,2022,,,
MOR13,TM,Transition Metal,"Statistically significant subsets from MOR41, which contain the reaction energies of closed-shell organometallic reactions",,13,33.90 ,-64.40 ,27.00 ,2019,,, 
ROST61,TM,Transition Metal,Reaction energies of reactions involving open-shell single-reference transition-metal complexes,"Open-Shell DLPNO-CCSD(T, or T1)/def2-[TQ]ZVPP",61,64.10 ,-203.09 ,-0.65 ,2021,,,"2.5, 1.0 from local approximation, 0.5 from BSIE and BSSE, 1 from frozen core, more from open-shell"
TMB11,TM,Transition Metal,"Statistically significant subsets from TMB50, which contain reaction barriers involving transition metal complexes",,11,16.14 ,3.35 ,37.14 ,2019,,, 
TMD10,TM,Transition Metal,"Statistically significant subsets from TMD60, which contain bonding energies for diatomic transition-metal species",,10,88.94 ,34.30 ,151.00 ,2019,,, 
,,,,Basis set abbreviation:,,,,,,,,
,,,,"XZ means cc-pVXZ,",,,,,,,,
,,,,aXZ means aug-cc-pVXZ,,,,,,,,
,,,,haXZ means  aug-cc-pVXZ for non-hydrogen atoms and cc-pVXZ for hydrogens,,,,,,,,
,,,,"[XY] means extrapolation from two basis sets, X and Y",,,,,,,,
