Name,Description,#,RMS energy(kcal/mol),Ref value Resource,Ref original paper
AE11,Absolute atomic energies of closed shell atoms from Ar to Rn,11,6518016.62001181,"J. Chem. Phys. 134, 044102 (2011)",
AE18,Absolute atomic energies of hydrogen through argon ,18,148738.610099001,"Phys. Rev. A 47, 3649–3670 (1993)",
AL2X6,Dimerisation energies of AlX3 compounds,6,36.9293973378511,GMTKN55,
ALK8,Dissociation and other reactions of alkaline compounds,8,69.9711964785446,GMTKN55,
AlkAtom19,Atomization energies of n=1-8 alkane,19,1829.30552515211,"J. Phys. Chem. A 2009, 113, 29, 8434–8447",
ALKBDE10,Dissociation energies in group-1 and -2 diatomics (many MR),10,105.533017657834,"J. Chem. Theory Comput. 2015, 11, 7, 2968",
AlkIsod14,Isodesmic reaction energies in n = 3–8 alkanes.,14,10.3537918378731,"J. Phys. Chem. A 2009, 113, 29, 8434–8447",
BDE99MR,Multi-reference (MR) bond dissociation energies from W4-11,16,54.5131878546517,W4-11,
BDE99nonMR,Single-reference (SR) bond dissociation energies from W4-11,83,114.983949183756,W4-11,
BH76RC,Reaction energies of the BH76 set,30,30.3647381480489,GMTKN55,
BSR36,Hydrocarbon bond separation reaction energies,36,19.4480038097907,GMTKN55,
CR20,Cycloreversion reaction energies,20,22.3052376037578,"Mol. Phys. 114, 21–33 (2016)",
DARC,Reaction energies of Diels-Alder reactions,14,34.941119655197,GMTKN55,
DC13,13 difficult cases for DFT methods,13,71.3183147217153,GMTKN55 and other,
DIPCS10,Double-ionisation potentials of closed-shell systems,10,659.154419250941,GMTKN55,
EA52,Vertical electron affinities,52,46.3610219497858,"J. Chem. Theory Comput. 2021, 17, 12, 7648–7656",
FH51,Reaction energies in various (in-)organic systems,51,45.3538151424734,"J. Chem. Theory Comput. 2015, 11, 8, 3596",
G21EA,Adiabatic electron affinities,25,41.04888643337,G2-1 set,
G21IP,Adiabatic ionisation potentials,36,265.653985355767,G2-1 set,
G2RC,Reaction energies of selected G2/97 systems,25,72.9524927969568,GMTKN55,
HAT707MR,Heavy-atom transfer energies (MR) from W4-11,202,83.4117603962007,W4-11,
HAT707nonMR,Heavy-atom transfer energies (SR) from W4-11,505,74.7943382717632,W4-11,
HEAVYSB11,Dissociation energies in heavy-element (i.e. Ge Se Sb) compounds,11,58.5606610796812,GMTKN55,
HNBrBDE18,Homolytic N-Br bond dissociation energies,18,56.9483969829961,"Int. J. Quantum Chem. 116, 52–60 (2016)",
IP23,Vertical ionization potentials,23,307.031152103522,Reference Energies for Valence Ionizations and Satellite Transitions,
IP30,Vertical ionization potentials,30,281.769774235434,"J. Chem. Phys. 156, 054114 (2022); J. Chem. Phys. 150, 074108 (2019)",
MB08-165,Decomposition energies of artificial molecules that consisted of 8 atoms each,165,154.461240225388,"J. Chem. Theory Comput. 2009, 5, 4, 993",
MB16-43,Decomposition energies of artificial molecules that consisted of 16 atoms each,43,539.030820676396,GMTKN55,
MX35,Electronic atomization energies for a range of ionic clusters with the NaCl structure,35,821.309362950933,"J. Phys. Chem. A 2023, 127, 27, 5652",
NBPRC,"Oligomerisations and H2 fragmentations of NH3/BH3, H2 activation reactions with PH3/BH3 systems",12,30.9092354052886,GMTKN55,
P34,"The atomization energies, ionization potentials, and electron affinities of systems containing heavy p-block elements up to xenon",68,508.344479006317,"J. Chem. Theory Comput. 2021, 17, 9, 5704–5714",
PA26,Adiabatic proton affinities (incl. of amino acids),26,191.813640050595,GMTKN55,
PlatonicHD6,"Reaction energies of homodesmotic reactions involving platonic hydrocarbon cages, CnHn (n = 4, 6, 8, 10, 12, 20)",6,136.70797524616,"J. Comput. Chem. 37, 49–58 (2016)",
PlatonicID6,"Reaction energies of isodesmic reactions involving platonic hydrocarbon cages, CnHn (n = 4, 6, 8, 10, 12, 20)",6,96.1900351517758,"J. Comput. Chem. 37, 49–58 (2016)",
PlatonicIG6,"Reaction energies of isogyric reactions involving platonic hydrocarbon cages, CnHn (n = 4, 6, 8, 10, 12, 20)",6,356.327843020002,"J. Comput. Chem. 37, 49–58 (2016)",
PlatonicTAE6,"Total atomization energies of platonic hydrocarbon cages, CnHn (n = 4, 6, 8, 10, 12, 20)",6,2539.27390187193,"J. Comput. Chem. 37, 49–58 (2016)",
RC21,Fragmentations and rearrangements in organic radical cations,21,43.9412749252386,QCEIMS,
RSE43,Radical-stabilisation energies,43,9.95613220782854,GMTKN55,
SIE4x4,Self-interaction-error related problems,16,38.0748400183326,GMTKN55,
SN13,Nucleophilic substitution energies ,13,25.6659336819812,W4-11,
TAE_W4-17MR,Total atomization energies (MR) from W4-17,17,141.494045938472,W4-17,
TAE_W4-17nonMR,Total atomization energies (SR) from W4-17 ,183,518.60345439805,W4-17,
WCPT6,Tautomerization energies for water-catalyzed proton-transfer reactions ,6,7.52632789802353,"J. Phys. Chem. A 2012, 116, 16, 4211–4221",
YBDE18,Bond-dissociation energies in ylides,18,53.1140808698644,GMTKN55,
3d4dIPSS,Spin state relative energies and ionization potentials for first-row (3d) and second-row (4d) transition metals.,35,132.889129290908,,
CUAGAU,"Reaction energies of molecular systems containing Cu, Ag, and Au",42,134.253149297146,"J. Phys. Chem. A 2019, 123, 5781−5788",
CUAGAU2,"atomization, ionization, isomerization, and binding energies for copper, silver, and gold clusters and their complexes with prototypical ligands",123,116.502763423999,Int J Quantum Chem. 2021;121:e26453.,
DAPD,Bonding energies of Pd-containing diatomic molecules.,12,271.686228334575,"J. Chem. Theory Comput. 2023, 19, 9260",
MME55,Reaction energies and barrier heights of metalloenzyme models,55,22.576368574754,"J. Chem. Theory Comput. 2023, 19, 22, 8365–8383; J. Phys. Chem. A 2024, 128, 1, 62–72",
MOBH28,Barrier heights involving organometallic complexes,56,26.9104878257864,"J. Chem. Theory Comput. 2022, 18, 883; Isr. J. Chem. 2023, 63, e202200021",
ROST61,Reaction energies of reactions involving open-shell single-reference transition-metal complexes,61,64.10141009227,"J. Chem. Theory Comput. 2021, 17, 6134−6151",
TMC34,"Statistically significant subsets from MOR41, TMD60, and TMB50 datasets, including the reaction energies of closed-shell organometallic reactions, bonding energies for diatomic transition-metal species, and reaction barriers involving transition metal complexes",34,53.3865903026433,,
