TMD60,Experimental for the spieces not in TMD20,60,,,,,bond energies for 60 diatomic transition-metal species,2018,,,"J. Chem. Theory Comput. 2018, 14, 7, 3479",,,,,,,
TMD20,all-electron CCSD(T)/a[Q5]Z + T/a[TQ]Z + Q/DZ,20,,,,,A subset of TMD60,2017,,,"J. Chem. Theory Comput. 2017, 13, 3, 1044",,,,,,,
TMB50,Some like CCSD(T)/a[DT]Z or local  CCSD(T),50 hard to summarize,,,,,"reaction barriers involving complexes of second- and third-row transition metals, contained in TMC151",2012-2015,,,"J. Chem. Theory Comput. 2019, 15, 6, 3610",,,,,,,
RuLRLC,CCSD(T)/def2-TZVPP,"80. No stoichiometry info, hard to summarize
TZ is not big enough, either",,,,,"ligand replacement and ligand coordination energies of Ru(II, III) chloride carbonyl catalysis",2021,def2-TZVPP,,"J. Phys. Chem. A 2021, 125, 8987",,,,,,,
EA25,CCSD(T)/CBS or better,25,,,,,"Adiabatic electron affinities
No breakdown energies for molecules",2016,,,"J. Chem. Phys. 144, 014105 (2016)",,,,,,,
,,,,,,,,,,,,,,,,,,
OPV24,CCSD(T)/a[DT]Z+MP2/a[TQ]Z,24,(Added if I am short of EA data),,,±0.03 eV,IP and EA of organic photovoltaics,,2016,,,,,,"J. Chem. Theory Comput. 2016, 12, 2, 595",,,
3B-69-DIM ,"HF/aQZ+MP2/a[TQ]Z+CCSD(T) /aDZ. For dozen small cases, CCSD(T) /aTZ used",207 ,deleted due to low accuracy,,,,Binding energies of all relevant pairs of monomers from 3B-69-TRIM ,,2015,5.87 ,,,3B-69-DIM ,," J. Chem. Theory Comput. 2015, 11, 7, 3065–3079",,,
AlkBind12 ,HF/aQZ+MP2/a[TQ]Z+CCSD(T) /aDZ,12 ,deleted due to low accuracy,,,,Binding energies of saturated and unsaturated hydrocarbon dimers ,,2012,3.14 ,,,AlkBind12 ,,"J. Chem. Theory Comput. 2012, 8, 7, 2282–2292",,,
CO2Nitrogen16 ,"HF/a5Z+MP2/a[Q5]Z+CCSD(T) /aDZ (or aTZ for small molecules, or laDZ for C22)",16 ,deleted due to low accuracy,,,,Binding energies of CO2 to molecular models of pyridinic N-doped graphene ,,2015,3.84 ,,,CO2Nitrogen16 ,,"Phys. Chem. Chem. Phys. 17, 16560–16574 (2015).",,,
SW49Bind6 ,HF/aQZ+MP2/a[TQ]Z+CCSD(T) /aDZ,18 ,deleted due to low accuracy,,,,Binding energies of isomers of SO42-(H2O)6 ,,2013,62.11 ,,,SW49Bind6 ,,"J. Chem. Theory Comput. 2013, 9, 3, 1368–1380",,,
SW49Rel6 ,HF/aQZ+MP2/a[TQ]Z+CCSD(T) /aDZ,18 ,deleted due to low accuracy,,,,Isomerization energies of SO42-(H2O)6 ,,2013,1.22 ,,,SW49Rel6 ,,"J. Chem. Theory Comput. 2013, 9, 3, 1368–1380",,,
CE20,W1-F12,20,deleted due to overlap with NC15 and A24,,,,"Binding energies of water, ammonia, and hydrogen fluoride clusters",kept,2012,30.21,,,CE20,,"J. Chem. Theory Comput. 2012, 8, 9, 3128–3136",,,
H2O20Bind10,HF/aQZ+MP2/a[TQ]Z+ CCSD(T)-F12/aDZ/GEBF,Binding energies of isomers of (H2O)20 (low-energy structures) ,deleted due to low accuracy,HF/aQZ+MP2/a[TQ]Z+ CCSD(T)-F12/aDZ/GEBF,10,0.3,GEBF of MP2 has a error 1.75 kcal/mol,2015,198.16 ,-200.54 ,-196.59 ,451.32 ,2.29 ,Easy,Easy,1.18 ,0.01 ,H2O20Bind10 
H2O6Bind8,CCSD(T)-F12/[DT]Z,Binding energies of isomers of (H2O)6 ,deleted due to overlap with Shields38,CCSD(T)-F12/[DT]Z,8,1,,2015,46.96 ,-48.31 ,-45.42 ,94.91 ,2.00 ,Easy,Easy,0.43 ,0.01 ,H2O6Bind8 
