Reaction,Dataset,Reference,Reference_in_eV,Stoichiometry,Label
3dCIPEA_TiH4_IP,3dCIPEA,0.4163698202502781,11.33,"1,TiH4_cation,-1,TiH4",IP_EXTRA
3dCIPEA_TiH4_EA,3dCIPEA,-0.05512398326349667,-1.5,"1,TiH4_anion,-1,TiH4",EA_EXTRA
3dCIPEA_TiO2_IP,3dCIPEA,0.3594083708779983,9.78,"1,TiO2_cation,-1,TiO2",IP_EXTRA
3dCIPEA_TiO2_EA,3dCIPEA,-0.05549147648525331,-1.51,"1,TiO2_anion,-1,TiO2",EA_EXTRA
3dCIPEA_TiCl4_IP,3dCIPEA,0.4406243728862167,11.99,"1,TiCl4_cation,-1,TiCl4",IP_EXTRA
3dCIPEA_TiCl4_EA,3dCIPEA,-0.09959066309605064,-2.71,"1,TiCl4_anion,-1,TiCl4",EA_EXTRA
3dCIPEA_TiCO4_IP,3dCIPEA,0.2440154992464119,6.64,"1,TiCO4_cation,-1,TiCO4",IP_EXTRA
3dCIPEA_TiCO4_EA,3dCIPEA,-0.05218403748944351,-1.42,"1,TiCO4_anion,-1,TiCO4",EA_EXTRA
3dCIPEA_VO_IP,3dCIPEA,0.2605526942254609,7.09,"1,VO_cation,-1,VO",IP_EXTRA
3dCIPEA_VO_EA,3dCIPEA,-0.02021212719661544,-0.55,"1,VO_anion,-1,VO",EA_EXTRA
3dCIPEA_VH5_IP,3dCIPEA,0.3998326252712291,10.88,"1,VH5_cation,-1,VH5",IP_EXTRA
3dCIPEA_VH5_EA,3dCIPEA,-0.06614877991619600,-1.8,"1,VH5_anion,-1,VH5",EA_EXTRA
3dCIPEA_CrH_IP,3dCIPEA,0.2539378162338413,6.91,"1,CrH_cation,-1,CrH",IP_EXTRA
3dCIPEA_CrH_EA,3dCIPEA,-0.04226172050201411,-1.15,"1,CrH_anion,-1,CrH",EA_EXTRA
3dCIPEA_CrCl3_IP,3dCIPEA,0.3946877201666361,10.74,"1,CrCl3_cation,-1,CrCl3",IP_EXTRA
3dCIPEA_CrCl3_EA,3dCIPEA,-0.1286226276148256,-3.5,"1,CrCl3_anion,-1,CrCl3",EA_EXTRA
3dCIPEA_CrO3_IP,3dCIPEA,0.4942783832626868,13.45,"1,CrO3_cation,-1,CrO3",IP_EXTRA
3dCIPEA_CrO3_EA,3dCIPEA,-0.1300926005018521,-3.54,"1,CrO3_anion,-1,CrO3",EA_EXTRA
3dCIPEA_CrCO6_IP,3dCIPEA,0.3270689673634135,8.9,"1,CrCO6_cation,-1,CrCO6",IP_EXTRA
3dCIPEA_MnO_IP,3dCIPEA,0.3175141435977408,8.64,"1,MnO_cation,-1,MnO",IP_EXTRA
3dCIPEA_MnO_EA,3dCIPEA,-0.05108155782417358,-1.39,"1,MnO_anion,-1,MnO",EA_EXTRA
3dCIPEA_MnS_IP,3dCIPEA,0.2950970570705855,8.03,"1,MnS_cation,-1,MnS",IP_EXTRA
3dCIPEA_MnS_EA,3dCIPEA,-0.07092619179903238,-1.93,"1,MnS_anion,-1,MnS",EA_EXTRA
3dCIPEA_MnF2_IP,3dCIPEA,0.4299670694552740,11.7,"1,MnF2_cation,-1,MnF2",IP_EXTRA
3dCIPEA_MnF2_EA,3dCIPEA,-0.03233940351458471,-0.88,"1,MnF2_anion,-1,MnF2",EA_EXTRA
3dCIPEA_MnF3_IP,3dCIPEA,0.4398893864427034,11.97,"1,MnF3_cation,-1,MnF3",IP_EXTRA
3dCIPEA_MnF3_EA,3dCIPEA,-0.1069405275311835,-2.91,"1,MnF3_anion,-1,MnF3",EA_EXTRA
3dCIPEA_MnO2_IP,3dCIPEA,0.3325813656897632,9.05,"1,MnO2_cation,-1,MnO2",IP_EXTRA
3dCIPEA_MnO2_EA,3dCIPEA,-0.1076755139746968,-2.93,"1,MnO2_anion,-1,MnO2",EA_EXTRA
3dCIPEA_FeO_IP,3dCIPEA,0.3068568401667981,8.35,"1,FeO_cation,-1,FeO",IP_EXTRA
3dCIPEA_FeO_EA,3dCIPEA,-0.05291902393295680,-1.44,"1,FeO_anion,-1,FeO",EA_EXTRA
3dCIPEA_FeF2_IP,3dCIPEA,0.3715356471959675,10.11,"1,FeF2_cation,-1,FeF2",IP_EXTRA
3dCIPEA_FeF2_EA,3dCIPEA,-0.07313115112957224,-1.99,"1,FeF2_anion,-1,FeF2",EA_EXTRA
3dCIPEA_FeF3_IP,3dCIPEA,0.5042007002501162,13.72,"1,FeF3_cation,-1,FeF3",IP_EXTRA
3dCIPEA_FeF3_EA,3dCIPEA,-0.1150253784098297,-3.13,"1,FeF3_anion,-1,FeF3",EA_EXTRA
3dCIPEA_FeCO5_IP,3dCIPEA,0.3219240622588205,8.76,"1,FeCO5_cation,-1,FeCO5",IP_EXTRA
3dCIPEA_CoO_IP,3dCIPEA,0.3439736555642192,9.36,"1,CoO_cation,-1,CoO",IP_EXTRA
3dCIPEA_CoO_EA,3dCIPEA,-0.05916640870281975,-1.61,"1,CoO_anion,-1,CoO",EA_EXTRA
3dCIPEA_CoF2_IP,3dCIPEA,0.4134298744762250,11.25,"1,CoF2_cation,-1,CoF2",IP_EXTRA
3dCIPEA_CoF2_EA,3dCIPEA,-0.07202867146430231,-1.96,"1,CoF2_anion,-1,CoF2",EA_EXTRA
3dCIPEA_CoCl2_IP,3dCIPEA,0.3792530048528571,10.32,"1,CoCl2_cation,-1,CoCl2",IP_EXTRA
3dCIPEA_CoCl2_EA,3dCIPEA,-0.1139228987445598,-3.1,"1,CoCl2_anion,-1,CoCl2",EA_EXTRA
3dCIPEA_CoF3_IP,3dCIPEA,0.5358051173211876,14.58,"1,CoF3_cation,-1,CoF3",IP_EXTRA
3dCIPEA_CoF3_EA,3dCIPEA,-0.1378099581587417,-3.75,"1,CoF3_anion,-1,CoF3",EA_EXTRA
3dCIPEA_CoCl3_IP,3dCIPEA,0.4237196846854110,11.53,"1,CoCl3_cation,-1,CoCl3",IP_EXTRA
3dCIPEA_CoCl3_EA,3dCIPEA,-0.1727218142256229,-4.7,"1,CoCl3_anion,-1,CoCl3",EA_EXTRA
3dCIPEA_NiO_IP,3dCIPEA,0.3116342520496345,8.48,"1,NiO_cation,-1,NiO",IP_EXTRA
3dCIPEA_NiO_EA,3dCIPEA,-0.06651627313795264,-1.81,"1,NiO_anion,-1,NiO",EA_EXTRA
3dCIPEA_NiS_IP,3dCIPEA,0.3274364605851702,8.91,"1,NiS_cation,-1,NiS",IP_EXTRA
3dCIPEA_NiS_EA,3dCIPEA,-0.05512398326349667,-1.5,"1,NiS_anion,-1,NiS",EA_EXTRA
3dCIPEA_NiF2_IP,3dCIPEA,0.4597340204175622,12.51,"1,NiF2_cation,-1,NiF2",IP_EXTRA
3dCIPEA_NiF2_EA,3dCIPEA,-0.07607109690362540,-2.07,"1,NiF2_anion,-1,NiF2",EA_EXTRA
3dCIPEA_NiCl2_IP,3dCIPEA,0.4137973676979816,11.26,"1,NiCl2_cation,-1,NiCl2",IP_EXTRA
3dCIPEA_NiCl2_EA,3dCIPEA,-0.1190678038491528,-3.24,"1,NiCl2_anion,-1,NiCl2",EA_EXTRA
3dCIPEA_NiCO4_IP,3dCIPEA,0.3358888046855730,9.14,"1,NiCO4_cation,-1,NiCO4",IP_EXTRA
3dCIPEA_CuH_IP,3dCIPEA,0.3502210403340821,9.53,"1,CuH_cation,-1,CuH",IP_EXTRA
3dCIPEA_CuF_IP,3dCIPEA,0.3895428150620431,10.6,"1,CuF_cation,-1,CuF",IP_EXTRA
3dCIPEA_CuF_EA,3dCIPEA,-0.04520166627606727,-1.23,"1,CuF_anion,-1,CuF",EA_EXTRA
3dCIPEA_CuCl_IP,3dCIPEA,0.3788855116311004,10.31,"1,CuCl_cation,-1,CuCl",IP_EXTRA
3dCIPEA_CuCl_EA,3dCIPEA,-0.05218403748944351,-1.42,"1,CuCl_anion,-1,CuCl",EA_EXTRA
3dCIPEA_CuCN_IP,3dCIPEA,0.4101224354804152,11.16,"1,CuCN_cation,-1,CuCN",IP_EXTRA
3dCIPEA_CuCN_EA,3dCIPEA,-0.05291902393295680,-1.44,"1,CuCN_anion,-1,CuCN",EA_EXTRA
3dCIPEA_CuCl2_IP,3dCIPEA,0.4266596304594642,11.61,"1,CuCl2_cation,-1,CuCl2",IP_EXTRA
3dCIPEA_CuCl2_EA,3dCIPEA,-0.1866865566523754,-5.08,"1,CuCl2_anion,-1,CuCl2",EA_EXTRA
3dCIPEA_ZnH2_IP,3dCIPEA,0.3976276659406893,10.82,"1,ZnH2_cation,-1,ZnH2",IP_EXTRA
3dCIPEA_ZnCl2_IP,3dCIPEA,0.4384194135556768,11.93,"1,ZnCl2_cation,-1,ZnCl2",IP_EXTRA
3dCIPEA_ZnMe2_IP,3dCIPEA,0.3498535471123255,9.52,"1,ZnMe2_cation,-1,ZnMe2",IP_EXTRA
